date,net_income_annual_cs_rev
"Dec. 31, 2019",5.99%
"Dec. 31, 2018",6.67%
"Dec. 31, 2017",7.37%
"Dec. 31, 2016",5.55%
"Dec. 31, 2015",8.30%
"Dec. 31, 2014",5.21%
"Dec. 31, 2013",7.89%
"Dec. 31, 2012",1.49%
"Dec. 31, 2011",7.16%
"Dec. 31, 2010",6.74%
"Dec. 31, 2009",4.75%
"Dec. 31, 2008",5.83%
"Dec. 31, 2007",0.77%
"Dec. 31, 2006",8.84%
"Dec. 31, 2005",9.09%
"Dec. 31, 2004",9.11%
"Dec. 31, 2003",8.65%
"Dec. 31, 2002",10.18%
"Dec. 31, 2001",7.91%
"Dec. 31, 2000",9.95%
"Dec. 31, 1999",3.26%
"Dec. 31, 1998",7.02%
