date,historical_monthly_var_5_all
"April 30, 2003",8.98%
"March 31, 2003",9.05%
"Feb. 28, 2003",9.05%
"Jan. 31, 2003",9.01%
"Dec. 31, 2002",9.26%
"Nov. 30, 2002",9.33%
"Oct. 31, 2002",9.67%
"Sept. 30, 2002",9.76%
"Aug. 31, 2002",9.90%
"July 31, 2002",10.14%
"June 30, 2002",10.43%
"May 31, 2002",10.68%
"April 30, 2002",10.91%
"March 31, 2002",11.01%
"Feb. 28, 2002",11.04%
"Jan. 31, 2002",11.12%
"Dec. 31, 2001",11.18%
"Nov. 30, 2001",11.42%
"Oct. 31, 2001",11.81%
"Sept. 30, 2001",12.36%
"Aug. 31, 2001",12.36%
"July 31, 2001",12.69%
"June 30, 2001",13.15%
"May 31, 2001",13.33%
"April 30, 2001",13.69%
"March 31, 2001",13.84%
"Feb. 28, 2001",14.33%
"Jan. 31, 2001",14.81%
"Dec. 31, 2000",15.06%
"Nov. 30, 2000",15.25%
"Oct. 31, 2000",15.34%
"Sept. 30, 2000",15.59%
"Aug. 31, 2000",15.75%
"July 31, 2000",15.98%
"June 30, 2000",16.62%
"May 31, 2000",17.08%
"April 30, 2000",17.76%
"March 31, 2000",18.18%
"Feb. 29, 2000",18.23%
"Jan. 31, 2000",8.52%
"Dec. 31, 1999",8.53%
