date,book_value_of_tangible_equity_per_share
"Dec. 31, 2019",-3.166
"Sept. 30, 2019",-0.4149
"June 30, 2019",-1.778
"March 31, 2019",-2.836
"Dec. 31, 2018",-3.340
"Sept. 30, 2018",-3.256
"June 30, 2018",-4.113
"March 31, 2018",-5.310
"Dec. 31, 2017",-5.637
"Sept. 30, 2017",-4.903
"June 30, 2017",-5.121
"March 31, 2017",-5.786
"Dec. 31, 2016",-5.885
"Sept. 30, 2016",-2.554
"June 30, 2016",-2.675
"March 31, 2016",-2.887
"Dec. 31, 2015",-2.819
"Sept. 30, 2015",-3.407
"June 30, 2015",-1.275
"March 31, 2015",-1.282
"Dec. 31, 2014",-0.9834
"Sept. 30, 2014",2.913
"June 30, 2014",2.775
"March 31, 2014",3.529
"Dec. 31, 2013",3.802
"Sept. 30, 2013",0.7438
"June 30, 2013",0.8422
"March 31, 2013",1.294
"Dec. 31, 2012",1.970
"Sept. 30, 2012",4.984
"June 30, 2012",5.092
"March 31, 2012",4.809
"Dec. 31, 2011",4.516
"Sept. 30, 2011",5.290
"June 30, 2011",5.668
"March 31, 2011",5.536
"Dec. 31, 2010",5.347
"Sept. 30, 2010",5.830
"June 30, 2010",5.224
"March 31, 2010",4.888
"Dec. 31, 2009",4.965
"Sept. 30, 2009",4.383
"June 30, 2009",4.318
"March 31, 2009",4.327
"Dec. 31, 2008",4.304
"Sept. 30, 2008",7.967
"June 30, 2008",7.730
"March 31, 2008",8.162
"Dec. 31, 2007",8.624
"Sept. 30, 2007",11.74
"June 30, 2007",11.45
"March 31, 2007",11.39
"Dec. 31, 2006",11.46
"Sept. 30, 2006",13.02
"June 30, 2006",12.70
"March 31, 2006",12.37
"Dec. 31, 2005",12.44
"Sept. 30, 2005",12.24
"June 30, 2005",13.06
"March 31, 2005",12.91
"Dec. 31, 2004",12.84
"Sept. 30, 2004",12.61
"June 30, 2004",12.32
"March 31, 2004",12.11
"Dec. 31, 2003",11.49
"Sept. 30, 2003",12.19
"June 30, 2003",11.86
"March 31, 2003",11.45
"Dec. 31, 2002",10.05
"Sept. 30, 2002",9.827
"June 30, 2002",9.568
"March 31, 2002",9.227
"Dec. 31, 2001",9.152
"Sept. 30, 2001",8.681
"June 30, 2001",8.807
"March 31, 2001",8.352
"Dec. 31, 2000",8.579
"Sept. 30, 2000",8.164
"June 30, 2000",8.102
"March 31, 2000",7.863
"Dec. 31, 1999",11.33
