date,fulmer_h_score
"Dec. 31, 2019",4.464
"Sept. 30, 2019",4.689
"June 30, 2019",4.648
"March 31, 2019",4.630
"Dec. 31, 2018",4.869
"Sept. 30, 2018",4.654
"June 30, 2018",4.650
"March 31, 2018",4.602
"Dec. 31, 2017",4.428
"Sept. 30, 2017",4.465
"June 30, 2017",4.404
"March 31, 2017",4.305
"Dec. 31, 2016",4.647
"Sept. 30, 2016",5.237
"June 30, 2016",5.445
"March 31, 2016",5.352
"Dec. 31, 2015",5.381
"Sept. 30, 2015",5.204
"June 30, 2015",5.412
"March 31, 2015",5.018
"Dec. 31, 2014",4.996
"Sept. 30, 2014",5.359
"June 30, 2014",5.222
"March 31, 2014",5.740
"Dec. 31, 2013",5.822
"Sept. 30, 2013",4.591
"June 30, 2013",4.092
"March 31, 2013",4.172
"Dec. 31, 2012",4.321
"Sept. 30, 2012",5.725
"June 30, 2012",6.179
"March 31, 2012",6.259
"Dec. 31, 2011",6.187
"Sept. 30, 2011",6.484
"June 30, 2011",6.453
"March 31, 2011",6.347
"Dec. 31, 2010",5.823
"Sept. 30, 2010",6.464
"June 30, 2010",6.164
"March 31, 2010",5.691
"Dec. 31, 2009",5.755
"Sept. 30, 2009",5.525
"June 30, 2009",5.730
"March 31, 2009",5.993
"Dec. 31, 2008",6.291
"Sept. 30, 2008",3.044
"June 30, 2008",3.299
"March 31, 2008",3.936
"Dec. 31, 2007",4.241
"Sept. 30, 2007",9.444
"June 30, 2007",9.702
