date,cash_operations_ttm
"Dec. 31, 2019",8.639B
"Sept. 30, 2019",8.982B
"June 30, 2019",9.718B
"March 31, 2019",10.92B
"Dec. 31, 2018",12.71B
"Sept. 30, 2018",6.483B
"June 30, 2018",6.058B
"March 31, 2018",5.307B
"Dec. 31, 2017",1.479B
"Sept. 30, 2017",5.528B
"June 30, 2017",4.401B
"March 31, 2017",4.042B
"Dec. 31, 2016",6.473B
"Sept. 30, 2016",6.378B
"June 30, 2016",7.884B
"March 31, 2016",7.349B
"Dec. 31, 2015",7.43B
"Sept. 30, 2015",7.95B
"June 30, 2015",8.133B
"March 31, 2015",6.21B
"Dec. 31, 2014",5.726B
"Sept. 30, 2014",6.435B
"June 30, 2014",5.705B
"March 31, 2014",7.813B
"Dec. 31, 2013",7.304B
"Sept. 30, 2013",7.173B
"June 30, 2013",6.797B
"March 31, 2013",6.694B
"Dec. 31, 2012",7.216B
"Sept. 30, 2012",6.814B
"June 30, 2012",7.609B
"March 31, 2012",8.072B
"Dec. 31, 2011",7.073B
"Sept. 30, 2011",5.274B
"June 30, 2011",4.137B
"March 31, 2011",3.567B
"Dec. 31, 2010",3.835B
"Sept. 30, 2010",4.975B
"June 30, 2010",5.142B
"March 31, 2010",4.638B
"Dec. 31, 2009",5.285B
"Sept. 30, 2009",5.711B
"June 30, 2009",6.553B
"March 31, 2009",7.317B
"Dec. 31, 2008",8.426B
"Sept. 30, 2008",2.803B
"June 30, 2008",2.555B
"March 31, 2008",1.935B
"Dec. 31, 2007",1.123B
"Sept. 30, 2007",6.781B
"June 30, 2007",5.221B
"March 31, 2007",5.554B
"Dec. 31, 2006",5.589B
"Sept. 30, 2006",5.318B
"June 30, 2006",5.681B
"March 31, 2006",5.995B
"Dec. 31, 2005",5.793B
"Sept. 30, 2005",5.488B
"June 30, 2005",5.985B
"March 31, 2005",5.552B
"Dec. 31, 2004",5.331B
"Sept. 30, 2004",4.81B
"June 30, 2004",5.419B
"March 31, 2004",5.206B
"Dec. 31, 2003",4.576B
"Sept. 30, 2003",5.337B
"June 30, 2003",5.245B
"March 31, 2003",5.445B
"Dec. 31, 2002",5.688B
"Sept. 30, 2002",4.932B
"June 30, 2002",4.257B
"March 31, 2002",4.542B
"Dec. 31, 2001",4.53B
"Sept. 30, 2001",3.876B
"June 30, 2001",3.421B
"March 31, 2001",3.15B
"Dec. 31, 2000",2.804B
