date,ca_score
"Dec. 31, 2019",-1.339
"Sept. 30, 2019",-1.221
"June 30, 2019",-1.267
"March 31, 2019",-1.306
"Dec. 31, 2018",-1.295
"Sept. 30, 2018",-1.195
"June 30, 2018",-1.195
"March 31, 2018",-1.181
"Dec. 31, 2017",-1.186
"Sept. 30, 2017",-1.321
"June 30, 2017",-1.285
"March 31, 2017",-1.287
"Dec. 31, 2016",-1.248
"Sept. 30, 2016",-0.9274
"June 30, 2016",-0.95
"March 31, 2016",-0.9747
"Dec. 31, 2015",-0.9712
"Sept. 30, 2015",-1.030
"June 30, 2015",-0.9016
"March 31, 2015",-0.9375
"Dec. 31, 2014",-0.8301
"Sept. 30, 2014",-0.6786
"June 30, 2014",-0.7652
"March 31, 2014",-0.727
"Dec. 31, 2013",-0.7803
"Sept. 30, 2013",-1.345
"June 30, 2013",-1.374
"March 31, 2013",-1.271
"Dec. 31, 2012",-1.175
"Sept. 30, 2012",-0.5758
"June 30, 2012",-0.3931
"March 31, 2012",-0.3518
"Dec. 31, 2011",-0.3224
"Sept. 30, 2011",-0.2166
"June 30, 2011",-0.2033
"March 31, 2011",-0.2438
"Dec. 31, 2010",-0.2885
"Sept. 30, 2010",-0.3524
"June 30, 2010",-0.5032
"March 31, 2010",-0.6281
"Dec. 31, 2009",-0.6938
"Sept. 30, 2009",-0.733
"June 30, 2009",-0.5841
"March 31, 2009",-0.4225
"Dec. 31, 2008",-0.2364
"Sept. 30, 2008",-0.6544
"June 30, 2008",-0.4936
"March 31, 2008",-0.2911
"Dec. 31, 2007",-0.1613
"Sept. 30, 2007",0.8137
"June 30, 2007",0.8191
"March 31, 2007",0.8138
"Dec. 31, 2006",0.8443
"Sept. 30, 2006",1.419
"June 30, 2006",1.450
"March 31, 2006",1.438
"Dec. 31, 2005",1.431
"Sept. 30, 2005",0.1645
"June 30, 2005",-0.081
"March 31, 2005",-0.4717
"Dec. 31, 2004",-0.8761
"Sept. 30, 2004",-1.509
"June 30, 2004",-1.299
"March 31, 2004",-0.9943
"Dec. 31, 2003",-1.065
"Sept. 30, 2003",0.0531
"June 30, 2003",-0.0327
"March 31, 2003",-0.4285
"Dec. 31, 2002",-0.07
"Sept. 30, 2002",0.0028
"June 30, 2002",0.0059
"March 31, 2002",0.7953
"Dec. 31, 2001",0.8653
"Sept. 30, 2001",0.513
"June 30, 2001",0.2667
"March 31, 2001",-0.5065
"Dec. 31, 2000",-0.7443
"Sept. 30, 2000",-5.182
"June 30, 2000",-3.597
