date,revenues_growth
"Dec. 31, 2019",3.63%
"Sept. 30, 2019",5.01%
"June 30, 2019",3.39%
"March 31, 2019",0.27%
"Dec. 31, 2018",4.60%
"Sept. 30, 2018",7.86%
"June 30, 2018",9.60%
"March 31, 2018",10.34%
"Dec. 31, 2017",7.60%
"Sept. 30, 2017",8.34%
"June 30, 2017",8.87%
"March 31, 2017",7.57%
"Dec. 31, 2016",9.85%
"Sept. 30, 2016",4.85%
"June 30, 2016",3.79%
"March 31, 2016",3.16%
"Dec. 31, 2015",1.00%
"Sept. 30, 2015",-0.37%
"June 30, 2015",-1.21%
"March 31, 2015",1.44%
"Dec. 31, 2014",6.14%
"Sept. 30, 2014",5.69%
"June 30, 2014",5.63%
"March 31, 2014",2.57%
"Dec. 31, 2013",2.78%
"Sept. 30, 2013",3.44%
"June 30, 2013",1.18%
"March 31, 2013",2.27%
"Dec. 31, 2012",2.86%
"Sept. 30, 2012",-0.72%
"June 30, 2012",1.20%
"March 31, 2012",4.40%
"Dec. 31, 2011",5.55%
"Sept. 30, 2011",7.99%
"June 30, 2011",8.09%
"March 31, 2011",7.28%
"Dec. 31, 2010",8.44%
"Sept. 30, 2010",9.32%
"June 30, 2010",12.70%
"March 31, 2010",7.22%
"Dec. 31, 2009",-2.52%
"Sept. 30, 2009",-14.95%
"June 30, 2009",-16.71%
"March 31, 2009",-13.70%
"Dec. 31, 2008",-5.19%
"Sept. 30, 2008",7.44%
"June 30, 2008",6.66%
"March 31, 2008",6.46%
"Dec. 31, 2007",6.05%
"Sept. 30, 2007",4.66%
"June 30, 2007",3.86%
"March 31, 2007",3.34%
"Dec. 31, 2006",5.64%
"Sept. 30, 2006",10.54%
"June 30, 2006",15.16%
"March 31, 2006",16.54%
"Dec. 31, 2005",21.48%
"Sept. 30, 2005",17.85%
"June 30, 2005",14.88%
"March 31, 2005",10.84%
"Dec. 31, 2004",10.17%
"Sept. 30, 2004",7.70%
"June 30, 2004",7.84%
"March 31, 2004",11.28%
"Dec. 31, 2003",8.17%
"Sept. 30, 2003",7.20%
"June 30, 2003",7.08%
"March 31, 2003",5.75%
"Dec. 31, 2002",3.25%
"Sept. 30, 2002",4.81%
"June 30, 2002",2.55%
"March 31, 2002",0.92%
"Dec. 31, 2001",4.85%
"Sept. 30, 2001",0.42%
"June 30, 2001",2.84%
"March 31, 2001",4.02%
"Dec. 31, 2000",2.43%
"Sept. 30, 2000",9.71%
"June 30, 2000",11.04%
"March 31, 2000",14.04%
