date,operating_margin_ttm
"Dec. 31, 2019",10.52%
"Sept. 30, 2019",10.45%
"June 30, 2019",10.02%
"March 31, 2019",9.59%
"Dec. 31, 2018",9.77%
"Sept. 30, 2018",9.98%
"June 30, 2018",10.28%
"March 31, 2018",10.90%
"Dec. 31, 2017",11.31%
"Sept. 30, 2017",11.13%
"June 30, 2017",11.69%
"March 31, 2017",11.93%
"Dec. 31, 2016",12.48%
"Sept. 30, 2016",13.24%
"June 30, 2016",13.31%
"March 31, 2016",13.30%
"Dec. 31, 2015",13.14%
"Sept. 30, 2015",10.95%
"June 30, 2015",10.88%
"March 31, 2015",8.78%
"Dec. 31, 2014",8.53%
"Sept. 30, 2014",10.68%
"June 30, 2014",10.56%
"March 31, 2014",12.49%
"Dec. 31, 2013",12.69%
"Sept. 30, 2013",4.26%
"June 30, 2013",2.39%
"March 31, 2013",2.49%
"Dec. 31, 2012",2.48%
"Sept. 30, 2012",9.91%
"June 30, 2012",11.56%
"March 31, 2012",11.51%
"Dec. 31, 2011",11.45%
"Sept. 30, 2011",12.35%
"June 30, 2011",12.48%
"March 31, 2011",12.05%
"Dec. 31, 2010",11.39%
"Sept. 30, 2010",10.97%
"June 30, 2010",9.76%
"March 31, 2010",9.54%
"Dec. 31, 2009",8.99%
"Sept. 30, 2009",7.93%
"June 30, 2009",9.08%
"March 31, 2009",9.26%
"Dec. 31, 2008",10.45%
"Sept. 30, 2008",0.62%
"June 30, 2008",0.78%
"March 31, 2008",1.41%
"Dec. 31, 2007",1.16%
"Sept. 30, 2007",13.57%
"June 30, 2007",13.45%
"March 31, 2007",13.43%
"Dec. 31, 2006",13.95%
"Sept. 30, 2006",24.18%
"June 30, 2006",24.60%
"March 31, 2006",25.13%
"Dec. 31, 2005",25.69%
"Sept. 30, 2005",3.40%
"June 30, 2005",-1.58%
"March 31, 2005",-8.88%
"Dec. 31, 2004",-16.50%
"Sept. 30, 2004",-27.96%
"June 30, 2004",-23.80%
"March 31, 2004",-17.69%
"Dec. 31, 2003",-18.47%
"Sept. 30, 2003",3.24%
"June 30, 2003",2.69%
"March 31, 2003",-3.29%
"Dec. 31, 2002",4.23%
"Sept. 30, 2002",6.78%
"June 30, 2002",6.83%
"March 31, 2002",20.17%
"Dec. 31, 2001",20.21%
"Sept. 30, 2001",13.60%
"June 30, 2001",8.20%
"March 31, 2001",-4.66%
"Dec. 31, 2000",-10.27%
"Sept. 30, 2000",-83.03%
"June 30, 2000",-59.13%
"March 31, 2000",-34.94%
"Dec. 31, 1999",-10.11%
