date,three_year_return
"March 19, 2020",-11.00%
"March 18, 2020",-8.22%
"March 17, 2020",-10.50%
"March 16, 2020",-19.24%
"March 13, 2020",-12.34%
"March 12, 2020",-19.26%
"March 11, 2020",-17.56%
"March 10, 2020",-13.03%
"March 9, 2020",-17.68%
"March 6, 2020",-11.40%
"March 5, 2020",-12.22%
"March 4, 2020",-9.54%
"March 3, 2020",-13.81%
"March 2, 2020",-12.46%
"Feb. 28, 2020",-14.44%
"Feb. 27, 2020",-15.45%
"Feb. 26, 2020",-11.73%
"Feb. 25, 2020",-11.57%
"Feb. 24, 2020",-7.24%
"Feb. 21, 2020",-4.44%
"Feb. 20, 2020",-0.39%
"Feb. 19, 2020",-0.13%
"Feb. 18, 2020",-0.45%
"Feb. 14, 2020",-2.79%
"Feb. 13, 2020",-3.00%
"Feb. 12, 2020",-1.68%
"Feb. 11, 2020",-2.30%
"Feb. 10, 2020",-3.98%
"Feb. 7, 2020",-2.43%
"Feb. 6, 2020",0.42%
"Feb. 5, 2020",-0.85%
"Feb. 4, 2020",-3.34%
"Feb. 3, 2020",-4.60%
"Jan. 31, 2020",-5.14%
"Jan. 30, 2020",-7.72%
"Jan. 29, 2020",-1.97%
"Jan. 28, 2020",-2.30%
"Jan. 27, 2020",-2.68%
"Jan. 24, 2020",0.53%
"Jan. 23, 2020",2.16%
"Jan. 22, 2020",2.00%
"Jan. 21, 2020",2.11%
"Jan. 17, 2020",3.97%
"Jan. 16, 2020",3.83%
"Jan. 15, 2020",3.23%
"Jan. 14, 2020",2.65%
"Jan. 13, 2020",2.20%
"Jan. 10, 2020",1.71%
"Jan. 9, 2020",1.88%
"Jan. 8, 2020",1.09%
"Jan. 7, 2020",0.52%
"Jan. 6, 2020",0.69%
"Jan. 3, 2020",1.43%
"Jan. 2, 2020",1.88%
"Dec. 31, 2019",2.11%
"Dec. 30, 2019",1.57%
"Dec. 27, 2019",2.42%
"Dec. 26, 2019",2.65%
"Dec. 24, 2019",2.04%
"Dec. 23, 2019",2.56%
"Dec. 20, 2019",-0.10%
"Dec. 19, 2019",1.35%
"Dec. 18, 2019",1.85%
"Dec. 17, 2019",3.87%
"Dec. 16, 2019",2.86%
"Dec. 13, 2019",-1.28%
"Dec. 12, 2019",-2.65%
"Dec. 11, 2019",-2.35%
"Dec. 10, 2019",-0.89%
"Dec. 9, 2019",-1.22%
"Dec. 6, 2019",0.85%
"Dec. 5, 2019",-1.33%
"Dec. 4, 2019",0.10%
"Dec. 3, 2019",0.50%
"Dec. 2, 2019",1.61%
"Nov. 29, 2019",2.97%
