date,shares_outstanding
"Feb. 6, 2020",858.49M
"Dec. 31, 2019",857.00M
"Oct. 16, 2019",857.82M
"Sept. 30, 2019",858.00M
"July 16, 2019",858.70M
"June 30, 2019",858.60M
"April 17, 2019",860.76M
"March 31, 2019",860.00M
"March 11, 2019",860.18M
"Feb. 25, 2019",860.56M
"Feb. 6, 2019",860.23M
"Dec. 31, 2018",858.00M
"Oct. 24, 2018",859.23M
"Sept. 30, 2018",859.00M
"July 25, 2018",860.34M
"June 30, 2018",860.00M
"April 24, 2018",861.69M
"March 31, 2018",861.42M
"March 12, 2018",861.42M
"Feb. 9, 2018",861.64M
"Feb. 8, 2018",861.61M
"Dec. 31, 2017",859.00M
"Oct. 24, 2017",861.73M
"Sept. 30, 2017",862.00M
"July 24, 2017",865.97M
"June 30, 2017",865.00M
"May 1, 2017",867.76M
"March 31, 2017",868.00M
"March 6, 2017",869.30M
"Feb. 8, 2017",870.03M
"Dec. 31, 2016",868.36M
"Oct. 24, 2016",872.66M
"Sept. 30, 2016",873.00M
"July 27, 2016",878.07M
"June 30, 2016",879.00M
"April 25, 2016",882.67M
"March 31, 2016",884.00M
"March 10, 2016",883.70M
"Feb. 16, 2016",884.39M
"Dec. 31, 2015",886.00M
"Oct. 26, 2015",890.41M
"Sept. 30, 2015",891.00M
"July 27, 2015",896.19M
"June 30, 2015",896.00M
"April 27, 2015",901.25M
"March 31, 2015",901.00M
"March 9, 2015",902.27M
"Feb. 18, 2015",902.54M
"Dec. 31, 2014",905.00M
"Nov. 3, 2014",905.23M
"Sept. 30, 2014",908.00M
"July 29, 2014",913.50M
"June 30, 2014",914.00M
"April 29, 2014",915.40M
"March 31, 2014",919.00M
"March 10, 2014",919.34M
"Jan. 31, 2014",922.91M
"Dec. 31, 2013",923.00M
"Oct. 28, 2013",928.35M
"Sept. 30, 2013",929.00M
"July 23, 2013",938.28M
"June 30, 2013",938.00M
"April 24, 2013",944.34M
"March 31, 2013",945.00M
"March 15, 2013",946.00M
"March 8, 2013",948.72M
"Jan. 31, 2013",953.45M
"Dec. 31, 2012",953.00M
"Oct. 25, 2012",954.01M
"Sept. 30, 2012",952.00M
"July 20, 2012",958.44M
"June 30, 2012",958.00M
"April 20, 2012",959.50M
"March 31, 2012",959.00M
"March 5, 2012",959.88M
"Feb. 10, 2012",958.72M
"Dec. 31, 2011",963.00M
"Oct. 27, 2011",964.99M
"Sept. 30, 2011",966.00M
"July 28, 2011",980.79M
"June 30, 2011",981.00M
"April 26, 2011",986.21M
"March 31, 2011",986.00M
"March 7, 2011",986.38M
"Feb. 15, 2011",987.12M
"Dec. 31, 2010",991.00M
"Oct. 28, 2010",988.93M
"Sept. 30, 2010",989.00M
"July 29, 2010",990.70M
"June 30, 2010",993.00M
"April 29, 2010",990.48M
"March 31, 2010",992.00M
"March 8, 2010",993.06M
"Feb. 17, 2010",992.85M
"Dec. 31, 2009",996.00M
"Oct. 29, 2009",992.80M
"Sept. 30, 2009",995.00M
"July 30, 2009",994.46M
"June 30, 2009",997.00M
"April 30, 2009",995.04M
"Feb. 17, 2009",995.44M
"Oct. 30, 2008",995.18M
"Sept. 30, 2008",998.00M
"July 31, 2008",1.008B
"June 30, 2008",1.009B
"April 29, 2008",1.021B
"March 31, 2008",1.026B
"Feb. 14, 2008",1.034B
"Dec. 31, 2007",1.041B
"Sept. 30, 2007",1.051B
"June 30, 2007",1.050B
"March 31, 2007",1.059B
"Feb. 26, 2007",1.066B
"Dec. 31, 2006",1.07B
"Oct. 27, 2006",1.074B
"Sept. 30, 2006",1.074B
"Aug. 1, 2006",1.081B
"June 30, 2006",1.082B
"May 4, 2006",1.085B
"March 31, 2006",1.088B
"Feb. 28, 2006",1.092B
"Dec. 31, 2005",1.097B
"Nov. 2, 2005",1.104B
"Sept. 30, 2005",1.102B
"Aug. 4, 2005",1.107B
"June 30, 2005",1.109B
"May 5, 2005",1.114B
"March 31, 2005",1.116B
"Feb. 28, 2005",1.119B
"Dec. 31, 2004",1.126B
"Nov. 3, 2004",1.121B
"Aug. 2, 2004",1.124B
"June 30, 2004",1.125B
"May 5, 2004",1.127B
"March 31, 2004",1.125B
"Feb. 2, 2004",1.129B
"Dec. 31, 2003",1.129B
"Nov. 10, 2003",1.124B
"Sept. 30, 2003",1.126B
"Aug. 12, 2003",1.125B
"June 30, 2003",1.123B
"May 13, 2003",1.125B
"March 31, 2003",1.119B
"Feb. 1, 2003",1.124B
"Dec. 31, 2002",1.122B
"Nov. 11, 2002",1.117B
"Sept. 30, 2002",1.115B
"Aug. 13, 2002",1.116B
"June 30, 2002",1.116B
"May 10, 2002",1.117B
"March 31, 2002",1.115B
"Feb. 1, 2002",1.115B
"Dec. 31, 2001",1.120B
"Nov. 8, 2001",1.114B
"Sept. 30, 2001",1.118B
"Aug. 9, 2001",1.126B
"June 30, 2001",1.127B
"May 9, 2001",1.124B
"March 31, 2001",1.125B
"Feb. 1, 2001",1.131B
"Dec. 31, 2000",1.135B
"Nov. 10, 2000",1.131B
"Sept. 30, 2000",1.135B
"Aug. 10, 2000",1.287B
"June 30, 2000",1.143B
"May 3, 2000",1.147B
"March 31, 2000",1.143B
"Feb. 29, 2000",1.211B
"Dec. 31, 1999",1.101B
