date,return_on_invested_capital
"Dec. 31, 2019",16.06%
"Sept. 30, 2019",18.36%
"June 30, 2019",18.06%
"March 31, 2019",17.75%
"Dec. 31, 2018",18.86%
"Sept. 30, 2018",22.32%
"June 30, 2018",22.61%
"March 31, 2018",23.67%
"Dec. 31, 2017",24.67%
"Sept. 30, 2017",19.31%
"June 30, 2017",20.12%
"March 31, 2017",19.79%
"Dec. 31, 2016",19.81%
"Sept. 30, 2016",28.94%
"June 30, 2016",29.89%
"March 31, 2016",30.41%
"Dec. 31, 2015",31.71%
"Sept. 30, 2015",25.60%
"June 30, 2015",25.04%
"March 31, 2015",19.29%
"Dec. 31, 2014",18.06%
"Sept. 30, 2014",21.46%
"June 30, 2014",21.36%
"March 31, 2014",25.21%
"Dec. 31, 2013",26.19%
"Sept. 30, 2013",8.21%
"June 30, 2013",4.45%
"March 31, 2013",4.50%
"Dec. 31, 2012",4.09%
"Sept. 30, 2012",16.18%
"June 30, 2012",19.56%
"March 31, 2012",19.53%
"Dec. 31, 2011",19.37%
"Sept. 30, 2011",20.63%
"June 30, 2011",20.66%
"March 31, 2011",19.98%
"Dec. 31, 2010",18.54%
"Sept. 30, 2010",17.66%
"June 30, 2010",15.25%
"March 31, 2010",12.88%
"Dec. 31, 2009",12.26%
"Sept. 30, 2009",8.90%
"June 30, 2009",10.66%
"March 31, 2009",12.39%
"Dec. 31, 2008",14.28%
"Sept. 30, 2008",0.50%
"June 30, 2008",1.00%
"March 31, 2008",2.14%
"Dec. 31, 2007",1.87%
"Sept. 30, 2007",20.54%
"June 30, 2007",20.28%
"March 31, 2007",19.94%
"Dec. 31, 2006",20.30%
"Sept. 30, 2006",19.53%
"June 30, 2006",19.38%
"March 31, 2006",19.06%
"Dec. 31, 2005",18.55%
"Sept. 30, 2005",17.95%
"June 30, 2005",18.08%
"March 31, 2005",17.53%
"Dec. 31, 2004",17.21%
"Sept. 30, 2004",17.71%
"June 30, 2004",17.25%
"March 31, 2004",16.99%
"Dec. 31, 2003",16.50%
"Sept. 30, 2003",20.87%
"June 30, 2003",20.46%
"March 31, 2003",20.50%
"Dec. 31, 2002",20.12%
"Sept. 30, 2002",15.17%
"June 30, 2002",15.37%
"March 31, 2002",15.94%
"Dec. 31, 2001",16.83%
"Sept. 30, 2001",18.11%
"June 30, 2001",19.72%
"March 31, 2001",20.93%
"Dec. 31, 2000",22.43%
"Sept. 30, 2000",22.05%
"June 30, 2000",20.84%
