date,enterprise_value
"March 19, 2020",102.14B
"March 18, 2020",104.73B
"March 17, 2020",102.61B
"March 16, 2020",94.25B
"March 13, 2020",100.41B
"March 12, 2020",93.49B
"March 11, 2020",95.05B
"March 10, 2020",99.20B
"March 9, 2020",94.36B
"March 6, 2020",100.21B
"March 5, 2020",99.34B
"March 4, 2020",101.77B
"March 3, 2020",97.89B
"March 2, 2020",99.14B
"Feb. 28, 2020",97.20B
"Feb. 27, 2020",96.98B
"Feb. 26, 2020",99.98B
"Feb. 25, 2020",100.12B
"Feb. 24, 2020",104.07B
"Feb. 21, 2020",107.89B
"Feb. 20, 2020",110.92B
"Feb. 19, 2020",111.17B
"Feb. 18, 2020",110.87B
"Feb. 14, 2020",110.47B
"Feb. 13, 2020",109.86B
"Feb. 12, 2020",110.12B
"Feb. 11, 2020",109.54B
"Feb. 10, 2020",108.00B
"Feb. 7, 2020",108.04B
"Feb. 6, 2020",110.95B
"Feb. 5, 2020",110.39B
"Feb. 4, 2020",108.11B
"Feb. 3, 2020",106.95B
"Jan. 31, 2020",108.23B
"Jan. 30, 2020",112.07B
"Jan. 29, 2020",118.72B
"Jan. 28, 2020",118.39B
"Jan. 27, 2020",118.00B
"Jan. 24, 2020",119.49B
"Jan. 23, 2020",119.72B
"Jan. 22, 2020",120.00B
"Jan. 21, 2020",120.12B
"Jan. 17, 2020",121.15B
"Jan. 16, 2020",121.16B
"Jan. 15, 2020",120.58B
"Jan. 14, 2020",120.01B
"Jan. 13, 2020",119.57B
"Jan. 10, 2020",118.81B
"Jan. 9, 2020",119.72B
"Jan. 8, 2020",119.49B
"Jan. 7, 2020",118.92B
"Jan. 6, 2020",119.10B
"Jan. 3, 2020",119.54B
"Jan. 2, 2020",119.60B
"Dec. 31, 2019",119.83B
"Dec. 30, 2019",119.26B
"Dec. 27, 2019",121.41B
"Dec. 26, 2019",121.49B
"Dec. 24, 2019",120.89B
"Dec. 23, 2019",121.41B
"Dec. 20, 2019",120.09B
"Dec. 19, 2019",121.08B
"Dec. 18, 2019",120.56B
"Dec. 17, 2019",122.57B
"Dec. 16, 2019",121.56B
"Dec. 13, 2019",121.13B
"Dec. 12, 2019",119.70B
"Dec. 11, 2019",119.56B
"Dec. 10, 2019",121.07B
"Dec. 9, 2019",120.72B
"Dec. 6, 2019",120.20B
"Dec. 5, 2019",118.04B
"Dec. 4, 2019",119.29B
"Dec. 3, 2019",119.68B
"Dec. 2, 2019",120.79B
"Nov. 29, 2019",122.09B
"Nov. 27, 2019",122.21B
"Nov. 26, 2019",123.35B
