date,tangible_common_equity_ratio
"Dec. 31, 2019",-5.23%
"Sept. 30, 2019",-0.75%
"June 30, 2019",-3.26%
"March 31, 2019",-5.28%
"Dec. 31, 2018",-6.49%
"Sept. 30, 2018",-6.86%
"June 30, 2018",-8.99%
"March 31, 2018",-11.87%
"Dec. 31, 2017",-12.18%
"Sept. 30, 2017",-11.86%
"June 30, 2017",-13.01%
"March 31, 2017",-15.30%
"Dec. 31, 2016",-14.66%
"Sept. 30, 2016",-6.68%
"June 30, 2016",-7.05%
"March 31, 2016",-7.47%
"Dec. 31, 2015",-7.49%
"Sept. 30, 2015",-8.92%
"June 30, 2015",-3.34%
"March 31, 2015",-3.36%
"Dec. 31, 2014",-2.75%
"Sept. 30, 2014",8.03%
"June 30, 2014",7.97%
"March 31, 2014",9.52%
"Dec. 31, 2013",10.55%
"Sept. 30, 2013",2.00%
"June 30, 2013",2.33%
"March 31, 2013",3.47%
"Dec. 31, 2012",5.20%
"Sept. 30, 2012",13.08%
"June 30, 2012",14.18%
"March 31, 2012",13.91%
"Dec. 31, 2011",13.58%
"Sept. 30, 2011",15.70%
"June 30, 2011",17.13%
"March 31, 2011",17.12%
"Dec. 31, 2010",17.14%
"Sept. 30, 2010",19.08%
"June 30, 2010",16.96%
"March 31, 2010",16.27%
"Dec. 31, 2009",16.94%
"Sept. 30, 2009",14.74%
"June 30, 2009",14.33%
"March 31, 2009",13.76%
"Dec. 31, 2008",14.58%
"Sept. 30, 2008",22.71%
"June 30, 2008",22.39%
"March 31, 2008",24.45%
"Dec. 31, 2007",25.05%
"Sept. 30, 2007",39.46%
"June 30, 2007",39.68%
"March 31, 2007",40.03%
"Dec. 31, 2006",40.88%
"Sept. 30, 2006",42.40%
"June 30, 2006",43.48%
"March 31, 2006",42.68%
"Dec. 31, 2005",43.04%
"Sept. 30, 2005",42.22%
"June 30, 2005",46.42%
"March 31, 2005",46.21%
"Dec. 31, 2004",46.49%
"Sept. 30, 2004",47.80%
"June 30, 2004",48.58%
"March 31, 2004",48.26%
"Dec. 31, 2003",46.57%
"Sept. 30, 2003",48.39%
"June 30, 2003",48.89%
"March 31, 2003",47.90%
"Dec. 31, 2002",44.78%
"Sept. 30, 2002",42.22%
"June 30, 2002",41.97%
"March 31, 2002",41.60%
"Dec. 31, 2001",41.60%
"Sept. 30, 2001",39.42%
"June 30, 2001",41.73%
"March 31, 2001",42.69%
"Dec. 31, 2000",44.94%
"Sept. 30, 2000",43.27%
"June 30, 2000",43.92%
"March 31, 2000",42.95%
"Dec. 31, 1999",54.17%
