date,altman_z_score
"Dec. 31, 2019",2.999
"Sept. 30, 2019",3.399
"June 30, 2019",3.162
"March 31, 2019",3.236
"Dec. 31, 2018",3.218
"Sept. 30, 2018",3.724
"June 30, 2018",3.664
"March 31, 2018",3.639
"Dec. 31, 2017",3.643
"Sept. 30, 2017",3.804
"June 30, 2017",3.805
"March 31, 2017",3.767
"Dec. 31, 2016",3.703
"Sept. 30, 2016",4.158
"June 30, 2016",4.148
"March 31, 2016",3.991
"Dec. 31, 2015",3.911
"Sept. 30, 2015",3.716
"June 30, 2015",3.927
"March 31, 2015",3.810
"Dec. 31, 2014",4.236
"Sept. 30, 2014",4.316
"June 30, 2014",4.499
"March 31, 2014",4.297
"Dec. 31, 2013",4.607
"Sept. 30, 2013",3.638
"June 30, 2013",3.550
"March 31, 2013",3.470
"Dec. 31, 2012",3.254
"Sept. 30, 2012",3.687
"June 30, 2012",4.151
"March 31, 2012",4.298
"Dec. 31, 2011",4.254
"Sept. 30, 2011",4.156
"June 30, 2011",4.417
"March 31, 2011",4.454
"Dec. 31, 2010",4.362
"Sept. 30, 2010",4.354
"June 30, 2010",3.894
"March 31, 2010",4.022
"Dec. 31, 2009",3.907
"Sept. 30, 2009",3.745
"June 30, 2009",3.677
"March 31, 2009",3.619
"Dec. 31, 2008",4.076
"Sept. 30, 2008",3.296
"June 30, 2008",3.241
"March 31, 2008",3.684
"Dec. 31, 2007",3.541
"Sept. 30, 2007",5.346
"June 30, 2007",5.422
"March 31, 2007",5.370
"Dec. 31, 2006",5.656
"Sept. 30, 2006",5.516
"June 30, 2006",6.192
"March 31, 2006",6.002
"Dec. 31, 2005",5.817
"Sept. 30, 2005",4.549
"June 30, 2005",4.79
"March 31, 2005",4.626
"Dec. 31, 2004",4.883
"Sept. 30, 2004",4.313
"June 30, 2004",4.603
"March 31, 2004",4.601
"Dec. 31, 2003",4.684
"Sept. 30, 2003",5.070
"June 30, 2003",5.23
"March 31, 2003",4.628
"Dec. 31, 2002",5.215
"Sept. 30, 2002",4.960
"June 30, 2002",5.023
"March 31, 2002",5.596
"Dec. 31, 2001",5.316
"Sept. 30, 2001",4.752
"June 30, 2001",5.149
"March 31, 2001",4.970
"Dec. 31, 2000",5.029
"Sept. 30, 2000",1.572
"June 30, 2000",2.914
"March 31, 2000",4.167
"Dec. 31, 1999",5.873
