date,ni_per_employee_annual
"Dec. 31, 2019",13842.36
"Dec. 31, 2018",11052.84
"Dec. 31, 2017",10301.33
"Dec. 31, 2016",21461.79
"Dec. 31, 2015",65660.05
"Dec. 31, 2014",25766.65
"Dec. 31, 2013",-19254.59
"Dec. 31, 2012",-23420.72
"Dec. 31, 2011",-24995.26
"Dec. 31, 2010",-5994.27
"Dec. 31, 2009",-17858.88
"Dec. 31, 2008",-24771.93
"Dec. 31, 2007",5857.06
"Dec. 31, 2006",2640.00
"Dec. 31, 2005",-9495.84
"Dec. 31, 2004",-8074.27
"Dec. 31, 2003",-11559.44
"Dec. 31, 2002",-30249.77
"Dec. 31, 2001",-15180.89
"Dec. 31, 2000",7004.57
"Dec. 31, 1999",8976.29
"Dec. 31, 1998",12093.88
"Dec. 31, 1997",8747.78
"Dec. 31, 1996",9182.11
"Dec. 31, 1995",1519.56
"Dec. 31, 1994",1993.88
"Dec. 31, 1993",-923.59
"Dec. 31, 1992",-7937.18
"Dec. 31, 1991",-2294.46
"Dec. 31, 1990",-435.40
