date,cash_operations_ttm
"Dec. 31, 2019",3.815B
"Sept. 30, 2019",3.931B
"June 30, 2019",3.026B
"March 31, 2019",3.384B
"Dec. 31, 2018",3.533B
"Sept. 30, 2018",3.254B
"June 30, 2018",3.70B
"March 31, 2018",4.294B
"Dec. 31, 2017",4.744B
"Sept. 30, 2017",4.934B
"June 30, 2017",5.629B
"March 31, 2017",6.154B
"Dec. 31, 2016",6.524B
"Sept. 30, 2016",6.125B
"June 30, 2016",6.241B
"March 31, 2016",6.375B
"Dec. 31, 2015",6.249B
"Sept. 30, 2015",6.825B
"June 30, 2015",5.284B
"March 31, 2015",4.318B
"Dec. 31, 2014",3.08B
"Sept. 30, 2014",1.064B
"June 30, 2014",1.442B
"March 31, 2014",1.231B
"Dec. 31, 2013",675.00M
"Sept. 30, 2013",1.605B
"June 30, 2013",1.433B
"March 31, 2013",918.00M
"Dec. 31, 2012",1.285B
"Sept. 30, 2012",1.964B
"June 30, 2012",1.812B
"March 31, 2012",1.102B
"Dec. 31, 2011",743.00M
"Sept. 30, 2011",497.00M
"June 30, 2011",721.00M
"March 31, 2011",1.493B
"Dec. 31, 2010",1.241B
"Sept. 30, 2010",1.094B
"June 30, 2010",1.165B
"March 31, 2010",927.00M
"Dec. 31, 2009",930.00M
"Sept. 30, 2009",-438.00M
"June 30, 2009",-1.61B
"March 31, 2009",-1.384B
"Dec. 31, 2008",-1.394B
"Sept. 30, 2008",-40.00M
"June 30, 2008",1.346B
"March 31, 2008",1.482B
"Dec. 31, 2007",1.935B
"Sept. 30, 2007",2.155B
"June 30, 2007",2.071B
"March 31, 2007",2.052B
"Dec. 31, 2006",1.939B
"Sept. 30, 2006",1.721B
"June 30, 2006",1.571B
"March 31, 2006",1.348B
"Dec. 31, 2005",1.024B
"Sept. 30, 2005",946.00M
"June 30, 2005",1.048B
"March 31, 2005",811.00M
"Dec. 31, 2004",717.00M
"Sept. 30, 2004",811.00M
"June 30, 2004",1.166B
"March 31, 2004",1.509B
"Dec. 31, 2003",601.00M
"Sept. 30, 2003",-46.00M
"June 30, 2003",-1.029B
"March 31, 2003",-1.201B
"Dec. 31, 2002",-1.111B
"Sept. 30, 2002",-1.236B
"June 30, 2002",-257.00M
"March 31, 2002",76.00M
"Dec. 31, 2001",542.00M
"Sept. 30, 2001",1.716B
"June 30, 2001",2.218B
"March 31, 2001",2.64B
"Dec. 31, 2000",3.142B
"Sept. 30, 2000",3.15B
"June 30, 2000",2.957B
"March 31, 2000",2.633B
"Dec. 31, 1999",2.264B
"Sept. 30, 1999",2.072B
"June 30, 1999",2.616B
"March 31, 1999",2.449B
"Dec. 31, 1998",2.797B
"Sept. 30, 1998",2.712B
"June 30, 1998",2.761B
"March 31, 1998",2.791B
"Dec. 31, 1997",2.523B
"Sept. 30, 1997",3.082B
"June 30, 1997",2.619B
"March 31, 1997",2.595B
"Dec. 31, 1996",2.688B
"Sept. 30, 1996",2.255B
"June 30, 1996",2.206B
"March 31, 1996",2.257B
"Dec. 31, 1995",2.185B
"Sept. 30, 1995",1.855B
"June 30, 1995",1.724B
"March 31, 1995",1.66B
"Dec. 31, 1994",1.609B
"Sept. 30, 1994",1.658B
"June 30, 1994",1.502B
"March 31, 1994",1.323B
"Dec. 31, 1993",1.377B
"Sept. 30, 1993",1.498B
"June 30, 1993",1.075B
"March 31, 1993",942.00M
"Dec. 31, 1992",843.00M
"Sept. 30, 1992",883.70M
"June 30, 1992",1.210B
"March 31, 1992",1.201B
"Dec. 31, 1991",744.00M
"Sept. 30, 1991",414.70M
"June 30, 1991",446.80M
"March 31, 1991",461.90M
"Dec. 31, 1990",685.80M
