date,cash_on_hand
"Dec. 31, 2019",3.826B
"Sept. 30, 2019",5.168B
"June 30, 2019",5.553B
"March 31, 2019",4.494B
"Dec. 31, 2018",4.76B
"Sept. 30, 2018",4.998B
"June 30, 2018",4.674B
"March 31, 2018",5.291B
"Dec. 31, 2017",5.066B
"Sept. 30, 2017",5.768B
"June 30, 2017",6.886B
"March 31, 2017",6.676B
"Dec. 31, 2016",6.359B
"Sept. 30, 2016",6.755B
"June 30, 2016",7.118B
"March 31, 2016",6.93B
"Dec. 31, 2015",6.254B
"Sept. 30, 2015",8.873B
"June 30, 2015",8.919B
"March 31, 2015",9.173B
"Dec. 31, 2014",7.303B
"Sept. 30, 2014",7.899B
"June 30, 2014",9.459B
"March 31, 2014",9.664B
"Dec. 31, 2013",9.251B
"Sept. 30, 2013",6.763B
"June 30, 2013",6.21B
"March 31, 2013",4.244B
"Dec. 31, 2012",3.892B
"Sept. 30, 2012",4.226B
"June 30, 2012",4.98B
"March 31, 2012",4.819B
"Dec. 31, 2011",4.001B
"Sept. 30, 2011",4.296B
"June 30, 2011",5.176B
"March 31, 2011",5.799B
"Dec. 31, 2010",4.496B
"Sept. 30, 2010",4.557B
"June 30, 2010",5.084B
"March 31, 2010",4.546B
"Dec. 31, 2009",4.399B
"Sept. 30, 2009",4.112B
"June 30, 2009",2.808B
"March 31, 2009",2.864B
"Dec. 31, 2008",3.107B
"Sept. 30, 2008",4.621B
"June 30, 2008",5.069B
"March 31, 2008",4.519B
"Dec. 31, 2007",4.535B
"Sept. 30, 2007",5.39B
"June 30, 2007",5.90B
"March 31, 2007",5.383B
"Dec. 31, 2006",4.715B
"Sept. 30, 2006",5.054B
"June 30, 2006",5.153B
"March 31, 2006",4.268B
"Dec. 31, 2005",3.814B
"Sept. 30, 2005",3.412B
"June 30, 2005",3.399B
"March 31, 2005",3.06B
"Dec. 31, 2004",2.929B
"Sept. 30, 2004",3.135B
"June 30, 2004",3.364B
"March 31, 2004",3.226B
"Dec. 31, 2003",2.606B
"Sept. 30, 2003",2.724B
"June 30, 2003",1.827B
"March 31, 2003",1.272B
"Dec. 31, 2002",1.95B
"Sept. 30, 2002",2.83B
"June 30, 2002",2.563B
"March 31, 2002",2.315B
"Dec. 31, 2001",2.488B
"Sept. 30, 2001",2.34B
"June 30, 2001",1.487B
"March 31, 2001",1.558B
"Dec. 31, 2000",2.233B
"Sept. 30, 2000",2.334B
"June 30, 2000",2.397B
"March 31, 2000",1.969B
"Dec. 31, 1999",1.791B
"Sept. 30, 1999",1.965B
"June 30, 1999",1.565B
"March 31, 1999",1.183B
"Dec. 31, 1998",1.535B
"Sept. 30, 1998",2.252B
"June 30, 1998",2.232B
"March 31, 1998",2.181B
"Dec. 31, 1997",2.432B
"Sept. 30, 1997",2.918B
"June 30, 1997",2.199B
"March 31, 1997",1.746B
"Dec. 31, 1996",1.811B
"Sept. 30, 1996",1.348B
"June 30, 1996",888.00M
"March 31, 1996",834.00M
"Dec. 31, 1995",901.00M
"Sept. 30, 1995",1.19B
"June 30, 1995",899.00M
"March 31, 1995",545.00M
"Dec. 31, 1994",777.00M
"Sept. 30, 1994",1.057B
"June 30, 1994",633.00M
"March 31, 1994",744.00M
"Dec. 31, 1993",63.00M
"Sept. 30, 1993",131.00M
"June 30, 1993",80.00M
"March 31, 1993",78.00M
"Dec. 31, 1992",45.00M
"Sept. 30, 1992",49.00M
"June 30, 1992",74.00M
"March 31, 1992",80.00M
"Dec. 31, 1991",94.00M
"Sept. 30, 1991",133.40M
"June 30, 1991",209.60M
"March 31, 1991",118.50M
"Dec. 31, 1990",113.50M
"Sept. 30, 1990",229.40M
"June 30, 1990",128.60M
"March 31, 1990",147.80M
"Dec. 31, 1989",120.30M
"Sept. 30, 1989",106.50M
"June 30, 1989",68.90M
"Dec. 31, 1988",1.287B
"Dec. 31, 1987",1.012B
"Dec. 31, 1986",1.083B
"Dec. 31, 1985",1.357B
"Dec. 31, 1984",1.354B
