date,net_income_ttm
"Dec. 31, 2019",1.686B
"Sept. 30, 2019",1.596B
"June 30, 2019",1.543B
"March 31, 2019",1.437B
"Dec. 31, 2018",1.411B
"Sept. 30, 2018",504.00M
"June 30, 2018",793.00M
"March 31, 2018",1.101B
"Dec. 31, 2017",1.282B
"Sept. 30, 2017",2.062B
"June 30, 2017",2.138B
"March 31, 2017",2.224B
"Dec. 31, 2016",2.584B
"Sept. 30, 2016",5.668B
"June 30, 2016",6.624B
"March 31, 2016",7.378B
"Dec. 31, 2015",7.61B
"Sept. 30, 2015",4.926B
"June 30, 2015",4.175B
"March 31, 2015",3.335B
"Dec. 31, 2014",2.883B
"Sept. 30, 2014",285.00M
"June 30, 2014",-368.00M
"March 31, 2014",-1.012B
"Dec. 31, 2013",-1.833B
"Sept. 30, 2013",431.00M
"June 30, 2013",-96.00M
"March 31, 2013",-557.00M
"Dec. 31, 2012",-1.876B
"Sept. 30, 2012",-3.234B
"June 30, 2012",-3.158B
"March 31, 2012",-3.203B
"Dec. 31, 2011",-1.979B
"Sept. 30, 2011",-982.00M
"June 30, 2011",-677.00M
"March 31, 2011",-402.00M
"Dec. 31, 2010",-471.00M
"Sept. 30, 2010",-717.00M
"June 30, 2010",-1.219B
"March 31, 2010",-1.598B
"Dec. 31, 2009",-1.468B
"Sept. 30, 2009",-1.471B
"June 30, 2009",-1.081B
"March 31, 2009",-2.152B
"Dec. 31, 2008",-2.118B
"Sept. 30, 2008",-1.84B
"June 30, 2008",-1.696B
"March 31, 2008",82.00M
"Dec. 31, 2007",504.00M
"Sept. 30, 2007",590.00M
"June 30, 2007",430.00M
"March 31, 2007",404.00M
"Dec. 31, 2006",231.00M
"Sept. 30, 2006",-386.00M
"June 30, 2006",-554.00M
"March 31, 2006",-787.00M
"Dec. 31, 2005",-857.00M
"Sept. 30, 2005",-644.00M
"June 30, 2005",-705.00M
"March 31, 2005",-757.00M
"Dec. 31, 2004",-761.00M
"Sept. 30, 2004",-485.00M
"June 30, 2004",-270.00M
"March 31, 2004",-351.00M
"Dec. 31, 2003",-1.228B
"Sept. 30, 2003",-1.646B
"June 30, 2003",-2.571B
"March 31, 2003",-2.991B
"Dec. 31, 2002",-3.511B
"Sept. 30, 2002",-3.78B
"June 30, 2002",-3.27B
"March 31, 2002",-3.282B
"Dec. 31, 2001",-1.762B
"Sept. 30, 2001",-917.00M
"June 30, 2001",-190.00M
"March 31, 2001",638.00M
"Dec. 31, 2000",813.00M
"Sept. 30, 2000",1.046B
"June 30, 2000",1.012B
"March 31, 2000",959.00M
"Dec. 31, 1999",985.00M
"Sept. 30, 1999",887.00M
"June 30, 1999",1.041B
"March 31, 1999",1.182B
"Dec. 31, 1998",1.314B
"Sept. 30, 1998",1.34B
"June 30, 1998",1.23B
"March 31, 1998",1.123B
"Dec. 31, 1997",985.00M
"Sept. 30, 1997",1.061B
"June 30, 1997",1.02B
"March 31, 1997",1.011B
"Dec. 31, 1996",1.016B
"Sept. 30, 1996",451.00M
"June 30, 1996",400.00M
"March 31, 1996",286.00M
"Dec. 31, 1995",167.00M
"Sept. 30, 1995",325.00M
"June 30, 1995",299.00M
"March 31, 1995",273.00M
"Dec. 31, 1994",228.00M
"Sept. 30, 1994",98.00M
"June 30, 1994",11.00M
"March 31, 1994",-95.00M
"Dec. 31, 1993",-110.00M
"Sept. 30, 1993",-561.00M
"June 30, 1993",-764.00M
"March 31, 1993",-977.00M
"Dec. 31, 1992",-935.00M
"Sept. 30, 1992",-356.00M
"June 30, 1992",-200.70M
"March 31, 1992",-24.40M
"Dec. 31, 1991",-240.00M
"Sept. 30, 1991",-330.10M
"June 30, 1991",-334.80M
"March 31, 1991",-215.90M
"Dec. 31, 1990",-39.60M
"Sept. 30, 1990",214.40M
"June 30, 1990",285.80M
"March 31, 1990",334.50M
"Dec. 31, 1989",454.80M
"Sept. 30, 1989",532.60M
"June 30, 1989",545.90M
"March 31, 1989",509.40M
"Dec. 31, 1988",476.80M
"Sept. 30, 1988",359.30M
"June 30, 1988",296.10M
"March 31, 1988",246.90M
"Dec. 31, 1987",198.40M
"Sept. 30, 1987",234.30M
"June 30, 1987",258.90M
"March 31, 1987",294.90M
"Dec. 31, 1986",279.20M
"Sept. 30, 1986",268.50M
"June 30, 1986",244.10M
"March 31, 1986",289.80M
"Dec. 31, 1985",345.80M
"Sept. 30, 1985",345.00M
"June 30, 1985",336.30M
"March 31, 1985",233.80M
"Dec. 31, 1984",233.90M
