date,return_on_invested_capital
"Dec. 31, 2019",6.88%
"Sept. 30, 2019",6.51%
"June 30, 2019",6.41%
"March 31, 2019",6.05%
"Dec. 31, 2018",5.89%
"Sept. 30, 2018",2.03%
"June 30, 2018",3.09%
"March 31, 2018",4.13%
"Dec. 31, 2017",4.66%
"Sept. 30, 2017",7.31%
"June 30, 2017",7.66%
"March 31, 2017",8.09%
"Dec. 31, 2016",9.52%
"Sept. 30, 2016",21.49%
"June 30, 2016",26.17%
"March 31, 2016",30.47%
"Dec. 31, 2015",33.27%
"Sept. 30, 2015",22.34%
"June 30, 2015",19.56%
"March 31, 2015",16.33%
"Dec. 31, 2014",15.26%
"Sept. 30, 2014",1.85%
"June 30, 2014",-3.29%
"March 31, 2014",-14.57%
"Dec. 31, 2013",-52.41%
"Sept. 30, 2013",59.06%
"June 30, 2013",-147.2%
"March 31, 2013",-77.64%
"Dec. 31, 2012",-181.4%
"Sept. 30, 2012",-150.9%
"June 30, 2012",-92.10%
"March 31, 2012",-53.45%
"Dec. 31, 2011",-30.71%
"Sept. 30, 2011",-12.87%
"June 30, 2011",-8.68%
"March 31, 2011",-4.65%
"Dec. 31, 2010",-6.04%
"Sept. 30, 2010",-8.14%
"June 30, 2010",-12.89%
"March 31, 2010",-15.74%
"Dec. 31, 2009",-14.43%
"Sept. 30, 2009",-12.44%
"June 30, 2009",-8.42%
"March 31, 2009",-15.15%
"Dec. 31, 2008",-13.65%
"Sept. 30, 2008",-11.72%
"June 30, 2008",-11.30%
"March 31, 2008",0.58%
"Dec. 31, 2007",3.86%
"Sept. 30, 2007",4.86%
"June 30, 2007",3.50%
"March 31, 2007",3.30%
"Dec. 31, 2006",1.89%
"Sept. 30, 2006",-3.13%
"June 30, 2006",-4.49%
"March 31, 2006",-6.40%
"Dec. 31, 2005",-6.92%
"Sept. 30, 2005",-5.15%
"June 30, 2005",-5.58%
"March 31, 2005",-5.95%
"Dec. 31, 2004",-5.97%
"Sept. 30, 2004",-3.84%
"June 30, 2004",-2.19%
"March 31, 2004",-2.91%
"Dec. 31, 2003",-9.98%
"Sept. 30, 2003",-13.19%
"June 30, 2003",-19.98%
"March 31, 2003",-22.24%
"Dec. 31, 2002",-25.10%
"Sept. 30, 2002",-27.39%
"June 30, 2002",-23.99%
"March 31, 2002",-24.64%
"Dec. 31, 2001",-13.70%
"Sept. 30, 2001",-7.63%
"June 30, 2001",-1.64%
"March 31, 2001",5.69%
"Dec. 31, 2000",7.39%
"Sept. 30, 2000",9.46%
"June 30, 2000",8.90%
"March 31, 2000",8.48%
"Dec. 31, 1999",8.95%
"Sept. 30, 1999",8.11%
"June 30, 1999",9.73%
"March 31, 1999",11.22%
"Dec. 31, 1998",12.54%
"Sept. 30, 1998",12.41%
"June 30, 1998",11.40%
"March 31, 1998",10.47%
"Dec. 31, 1997",9.18%
"Sept. 30, 1997",9.82%
"June 30, 1997",9.44%
"March 31, 1997",9.35%
"Dec. 31, 1996",9.70%
"Sept. 30, 1996",4.23%
"June 30, 1996",3.69%
"March 31, 1996",2.58%
"Dec. 31, 1995",1.48%
"Sept. 30, 1995",2.71%
"June 30, 1995",2.47%
"March 31, 1995",2.23%
"Dec. 31, 1994",1.86%
"Sept. 30, 1994",0.79%
"June 30, 1994",0.09%
"March 31, 1994",-0.76%
"Dec. 31, 1993",-0.89%
"Sept. 30, 1993",-4.51%
"June 30, 1993",-6.23%
"March 31, 1993",-8.10%
"Dec. 31, 1992",-8.01%
"Sept. 30, 1992",-3.14%
"June 30, 1992",-1.85%
"March 31, 1992",-0.23%
"Dec. 31, 1991",-2.46%
"Sept. 30, 1991",-3.58%
"June 30, 1991",-3.85%
"March 31, 1991",-2.65%
"Dec. 31, 1990",-0.53%
"Sept. 30, 1990",2.98%
"June 30, 1990",4.16%
"March 31, 1990",5.00%
"Dec. 31, 1989",7.08%
"Sept. 30, 1989",8.33%
