date,sales_est_0y
"March 19, 2020",43.13B
"March 17, 2020",43.81B
"March 16, 2020",43.81B
"March 13, 2020",45.48B
"March 12, 2020",45.94B
"March 11, 2020",46.22B
"March 10, 2020",46.54B
"March 9, 2020",46.51B
"March 6, 2020",46.97B
"March 5, 2020",47.11B
"March 3, 2020",47.71B
"March 2, 2020",47.70B
"Feb. 25, 2020",47.64B
"Feb. 24, 2020",47.67B
"Feb. 20, 2020",47.68B
"Feb. 7, 2020",47.68B
"Feb. 4, 2020",47.69B
"Jan. 29, 2020",47.77B
"Jan. 27, 2020",47.79B
"Jan. 24, 2020",47.75B
"Jan. 23, 2020",47.83B
"Jan. 22, 2020",47.84B
"Jan. 21, 2020",47.84B
"Jan. 17, 2020",47.84B
"Jan. 16, 2020",47.83B
"Jan. 15, 2020",47.83B
"Jan. 14, 2020",47.87B
"Jan. 13, 2020",47.86B
"Jan. 12, 2020",47.85B
"Jan. 11, 2020",47.85B
"Jan. 10, 2020",47.86B
"Jan. 8, 2020",47.91B
"Jan. 6, 2020",47.93B
"Jan. 3, 2020",47.93B
"Jan. 2, 2020",47.90B
"Dec. 31, 2019",45.80B
"Dec. 20, 2019",45.84B
"Dec. 19, 2019",45.84B
"Nov. 22, 2019",45.85B
"Nov. 13, 2019",45.84B
"Nov. 11, 2019",45.84B
"Nov. 6, 2019",45.84B
"Oct. 31, 2019",45.84B
"Oct. 28, 2019",45.84B
"Oct. 25, 2019",45.85B
"Oct. 24, 2019",45.78B
"Oct. 22, 2019",45.93B
"Oct. 21, 2019",45.94B
"Oct. 15, 2019",45.96B
"Oct. 14, 2019",45.96B
"Oct. 10, 2019",45.96B
"Oct. 9, 2019",45.96B
"Oct. 7, 2019",46.00B
"Oct. 3, 2019",46.02B
"Oct. 2, 2019",46.02B
"Oct. 1, 2019",46.02B
"Sept. 29, 2019",46.03B
"Sept. 24, 2019",46.06B
"Sept. 13, 2019",46.04B
"Sept. 6, 2019",46.05B
"Aug. 28, 2019",46.07B
"Aug. 19, 2019",46.07B
"Aug. 14, 2019",46.06B
"July 30, 2019",46.09B
"July 29, 2019",46.13B
"July 26, 2019",46.14B
"July 25, 2019",46.20B
"July 24, 2019",46.18B
"July 17, 2019",46.17B
"July 16, 2019",46.17B
"July 15, 2019",46.19B
"July 12, 2019",46.19B
"July 11, 2019",46.21B
"July 10, 2019",46.21B
"July 9, 2019",46.26B
"July 8, 2019",46.31B
"June 27, 2019",46.33B
"June 19, 2019",46.33B
"June 17, 2019",46.33B
"May 19, 2019",46.35B
"May 13, 2019",46.35B
"May 7, 2019",46.36B
"May 6, 2019",46.37B
"April 30, 2019",46.37B
"April 29, 2019",46.38B
"April 28, 2019",46.43B
"April 26, 2019",46.55B
"April 22, 2019",46.55B
"April 17, 2019",46.54B
"April 16, 2019",46.54B
"April 15, 2019",46.52B
"April 12, 2019",46.51B
"April 11, 2019",46.53B
"April 10, 2019",46.55B
"April 9, 2019",46.54B
"April 8, 2019",46.54B
"April 5, 2019",46.54B
"April 4, 2019",46.53B
"April 1, 2019",46.54B
"March 29, 2019",46.53B
"March 28, 2019",46.54B
"March 18, 2019",46.54B
"March 1, 2019",46.56B
"Feb. 22, 2019",46.56B
"Feb. 13, 2019",46.51B
"Feb. 8, 2019",46.54B
"Jan. 28, 2019",46.54B
"Jan. 25, 2019",46.55B
"Jan. 24, 2019",46.45B
"Jan. 23, 2019",46.21B
"Jan. 22, 2019",46.25B
"Jan. 17, 2019",46.29B
"Jan. 15, 2019",46.33B
"Jan. 14, 2019",46.35B
"Jan. 12, 2019",46.41B
"Jan. 11, 2019",46.42B
"Jan. 10, 2019",46.46B
"Jan. 9, 2019",46.60B
"Jan. 8, 2019",46.69B
"Jan. 4, 2019",46.74B
"Dec. 31, 2018",44.55B
"Dec. 10, 2018",44.69B
"Dec. 4, 2018",44.45B
"Nov. 28, 2018",44.44B
"Nov. 27, 2018",44.44B
"Nov. 19, 2018",44.42B
"Nov. 14, 2018",44.41B
"Nov. 12, 2018",44.40B
"Oct. 30, 2018",44.38B
"Oct. 26, 2018",44.36B
"Oct. 25, 2018",44.60B
"Oct. 19, 2018",44.58B
"Oct. 17, 2018",44.58B
"Oct. 16, 2018",44.58B
"Oct. 15, 2018",44.60B
"Oct. 14, 2018",44.60B
"Oct. 11, 2018",44.60B
"Oct. 10, 2018",44.60B
"Oct. 9, 2018",44.63B
"Oct. 5, 2018",44.62B
"Oct. 4, 2018",44.61B
"Oct. 1, 2018",44.61B
"Sept. 27, 2018",44.61B
"Sept. 26, 2018",44.60B
"Sept. 6, 2018",44.64B
"Sept. 4, 2018",44.66B
"Aug. 10, 2018",44.65B
"Aug. 1, 2018",44.66B
"July 31, 2018",44.66B
"July 30, 2018",44.69B
"July 27, 2018",44.68B
"July 26, 2018",44.73B
"July 25, 2018",45.02B
"July 24, 2018",45.00B
"July 23, 2018",45.00B
"July 16, 2018",45.02B
"July 13, 2018",45.02B
"July 12, 2018",45.02B
"July 11, 2018",45.14B
"July 6, 2018",45.21B
"July 3, 2018",45.21B
"June 20, 2018",45.21B
"June 15, 2018",45.21B
"June 13, 2018",45.21B
"June 8, 2018",45.23B
"June 5, 2018",45.23B
"June 4, 2018",45.23B
"June 1, 2018",45.23B
"May 21, 2018",45.23B
"May 16, 2018",45.21B
"May 14, 2018",45.21B
"May 11, 2018",45.20B
"May 8, 2018",45.19B
"May 3, 2018",45.18B
"May 2, 2018",45.20B
"April 30, 2018",45.21B
"April 27, 2018",45.21B
"April 26, 2018",45.19B
"April 20, 2018",45.01B
"April 19, 2018",45.01B
"April 17, 2018",45.02B
"April 16, 2018",45.03B
"April 11, 2018",45.03B
"April 10, 2018",45.09B
"April 5, 2018",45.15B
"April 3, 2018",45.14B
"March 29, 2018",45.11B
"March 19, 2018",45.10B
"March 15, 2018",45.09B
"March 13, 2018",45.08B
"March 12, 2018",45.08B
"March 9, 2018",45.08B
"Feb. 23, 2018",45.07B
"Feb. 16, 2018",44.78B
"Feb. 15, 2018",44.76B
"Feb. 10, 2018",44.76B
"Jan. 31, 2018",44.60B
"Jan. 30, 2018",44.55B
"Jan. 26, 2018",44.42B
"Jan. 25, 2018",44.72B
"Jan. 22, 2018",44.35B
"Jan. 18, 2018",44.30B
"Jan. 16, 2018",44.29B
"Jan. 11, 2018",44.24B
"Jan. 10, 2018",44.16B
"Jan. 9, 2018",44.03B
"Jan. 8, 2018",43.94B
"Jan. 2, 2018",43.93B
