date,enterprise_value
"March 19, 2020",24.87B
"March 18, 2020",25.45B
"March 17, 2020",27.13B
"March 16, 2020",27.27B
"March 13, 2020",26.59B
"March 12, 2020",26.22B
"March 11, 2020",27.42B
"March 10, 2020",27.73B
"March 9, 2020",26.77B
"March 6, 2020",27.29B
"March 5, 2020",27.32B
"March 4, 2020",28.38B
"March 3, 2020",28.09B
"March 2, 2020",28.52B
"Feb. 28, 2020",28.61B
"Feb. 27, 2020",29.27B
"Feb. 26, 2020",29.99B
"Feb. 25, 2020",30.34B
"Feb. 24, 2020",31.33B
"Feb. 21, 2020",32.34B
"Feb. 20, 2020",32.64B
"Feb. 19, 2020",32.56B
"Feb. 18, 2020",32.69B
"Feb. 14, 2020",32.93B
"Feb. 13, 2020",33.37B
"Feb. 12, 2020",33.54B
"Feb. 11, 2020",33.27B
"Feb. 10, 2020",32.82B
"Feb. 7, 2020",32.64B
"Feb. 6, 2020",32.61B
"Feb. 5, 2020",32.95B
"Feb. 4, 2020",32.66B
"Feb. 3, 2020",32.12B
"Jan. 31, 2020",31.98B
"Jan. 30, 2020",32.36B
"Jan. 29, 2020",31.96B
"Jan. 28, 2020",32.01B
"Jan. 27, 2020",31.67B
"Jan. 24, 2020",32.32B
"Jan. 23, 2020",32.82B
"Jan. 22, 2020",32.19B
"Jan. 21, 2020",32.14B
"Jan. 17, 2020",32.65B
"Jan. 16, 2020",32.58B
"Jan. 15, 2020",32.30B
"Jan. 14, 2020",32.28B
"Jan. 13, 2020",32.22B
"Jan. 10, 2020",32.19B
"Jan. 9, 2020",32.46B
"Jan. 8, 2020",32.41B
"Jan. 7, 2020",32.14B
"Jan. 6, 2020",32.19B
"Jan. 3, 2020",32.33B
"Jan. 2, 2020",32.95B
"Dec. 31, 2019",32.77B
"Dec. 30, 2019",32.46B
"Dec. 27, 2019",32.52B
"Dec. 26, 2019",33.06B
"Dec. 24, 2019",32.85B
"Dec. 23, 2019",32.90B
"Dec. 20, 2019",32.79B
"Dec. 19, 2019",32.57B
"Dec. 18, 2019",32.33B
"Dec. 17, 2019",32.45B
"Dec. 16, 2019",32.30B
"Dec. 13, 2019",32.10B
"Dec. 12, 2019",32.21B
"Dec. 11, 2019",31.83B
"Dec. 10, 2019",31.89B
"Dec. 9, 2019",32.11B
"Dec. 6, 2019",32.21B
"Dec. 5, 2019",32.00B
"Dec. 4, 2019",32.06B
"Dec. 3, 2019",32.02B
"Dec. 2, 2019",32.37B
"Nov. 29, 2019",32.65B
"Nov. 27, 2019",32.75B
"Nov. 26, 2019",32.79B
"Nov. 25, 2019",32.76B
"Nov. 22, 2019",32.63B
"Nov. 21, 2019",32.30B
"Nov. 20, 2019",32.43B
"Nov. 19, 2019",32.90B
"Nov. 18, 2019",32.59B
"Nov. 15, 2019",32.71B
"Nov. 14, 2019",32.67B
"Nov. 13, 2019",32.62B
"Nov. 12, 2019",33.00B
"Nov. 11, 2019",33.47B
"Nov. 8, 2019",33.54B
"Nov. 7, 2019",33.60B
"Nov. 6, 2019",33.63B
"Nov. 5, 2019",33.72B
"Nov. 4, 2019",33.62B
"Nov. 1, 2019",33.45B
"Oct. 31, 2019",33.23B
"Oct. 30, 2019",33.33B
"Oct. 29, 2019",33.61B
"Oct. 28, 2019",33.80B
"Oct. 25, 2019",33.58B
"Oct. 24, 2019",32.95B
"Oct. 23, 2019",32.46B
"Oct. 22, 2019",32.44B
"Oct. 21, 2019",32.60B
"Oct. 18, 2019",32.43B
"Oct. 17, 2019",32.30B
"Oct. 16, 2019",32.35B
"Oct. 15, 2019",32.45B
"Oct. 14, 2019",32.16B
"Oct. 11, 2019",32.05B
"Oct. 10, 2019",31.97B
"Oct. 9, 2019",31.92B
"Oct. 8, 2019",31.57B
"Oct. 7, 2019",31.38B
"Oct. 4, 2019",31.38B
"Oct. 3, 2019",31.13B
"Oct. 2, 2019",31.18B
"Oct. 1, 2019",31.80B
"Sept. 30, 2019",31.88B
"Sept. 27, 2019",31.76B
"Sept. 26, 2019",31.84B
"Sept. 25, 2019",31.96B
"Sept. 24, 2019",31.76B
"Sept. 23, 2019",31.98B
"Sept. 20, 2019",32.20B
"Sept. 19, 2019",32.34B
"Sept. 18, 2019",32.47B
"Sept. 17, 2019",32.49B
"Sept. 16, 2019",32.10B
"Sept. 13, 2019",33.07B
"Sept. 12, 2019",33.07B
"Sept. 11, 2019",32.99B
"Sept. 10, 2019",32.70B
"Sept. 9, 2019",32.40B
"Sept. 6, 2019",32.11B
"Sept. 5, 2019",32.07B
"Sept. 4, 2019",31.76B
"Sept. 3, 2019",31.54B
"Aug. 30, 2019",31.45B
"Aug. 29, 2019",31.46B
"Aug. 28, 2019",31.02B
"Aug. 27, 2019",30.62B
"Aug. 26, 2019",30.95B
"Aug. 23, 2019",31.06B
"Aug. 22, 2019",31.55B
"Aug. 21, 2019",31.50B
"Aug. 20, 2019",31.24B
"Aug. 19, 2019",31.36B
