date,kz_index
"Dec. 31, 2019",-26.63
"Dec. 31, 2018",-22.08
"Dec. 31, 2017",-6.295
"Dec. 31, 2016",
"Dec. 31, 2015",
"Dec. 31, 2014",7.028
"Dec. 31, 2013",2.220
"Dec. 31, 2012",48.59
"Dec. 31, 2011",22.98
"Dec. 31, 2010",4.528
"Dec. 31, 2009",
"Dec. 31, 2008",3.684
"Dec. 31, 2007",2.359
"Dec. 31, 2006",1.762
"Dec. 31, 2005",2.930
"Dec. 31, 2004",2.739
"Dec. 31, 2003",7.689
"Dec. 31, 2002",
"Dec. 31, 2001",
"Dec. 31, 2000",0.9371
"Dec. 31, 1999",0.9192
"Dec. 31, 1998",0.5396
"Dec. 31, 1997",
"Dec. 31, 1996",1.135
"Dec. 31, 1995",1.636
"Dec. 31, 1994",1.845
"Dec. 31, 1993",1.800
"Dec. 31, 1992",2.250
"Dec. 31, 1991",1.956
"Dec. 31, 1990",1.619
"Dec. 31, 1989",1.040
"Dec. 31, 1988",1.127
"Dec. 31, 1987",1.312
"Dec. 31, 1986",
"Dec. 31, 1985",0.7541
