date,times_interest_earned
"Dec. 31, 2019",3.457
"Sept. 30, 2019",3.302
"June 30, 2019",3.274
"March 31, 2019",3.151
"Dec. 31, 2018",3.138
"Sept. 30, 2018",3.123
"June 30, 2018",3.696
"March 31, 2018",4.333
"Dec. 31, 2017",4.642
"Sept. 30, 2017",4.605
"June 30, 2017",4.755
"March 31, 2017",4.882
"Dec. 31, 2016",5.542
"Sept. 30, 2016",5.494
"June 30, 2016",6.201
"March 31, 2016",6.574
"Dec. 31, 2015",6.536
"Sept. 30, 2015",6.975
"June 30, 2015",6.096
"March 31, 2015",5.508
"Dec. 31, 2014",4.790
"Sept. 30, 2014",1.409
"June 30, 2014",0.6406
"March 31, 2014",-0.5834
"Dec. 31, 2013",-1.586
"Sept. 30, 2013",0.8219
"June 30, 2013",0.0581
"March 31, 2013",-0.6173
"Dec. 31, 2012",-2.998
"Sept. 30, 2012",-4.133
"June 30, 2012",-3.547
"March 31, 2012",-3.283
"Dec. 31, 2011",-1.543
"Sept. 30, 2011",-0.2741
"June 30, 2011",0.1025
"March 31, 2011",0.4604
"Dec. 31, 2010",0.3734
"Sept. 30, 2010",-0.1743
"June 30, 2010",-0.9301
"March 31, 2010",-1.585
"Dec. 31, 2009",-1.494
"Sept. 30, 2009",-1.337
"June 30, 2009",-0.6105
"March 31, 2009",-2.33
"Dec. 31, 2008",-2.283
"Sept. 30, 2008",-1.771
"June 30, 2008",-1.549
"March 31, 2008",1.735
"Dec. 31, 2007",2.535
"Sept. 30, 2007",3.867
"June 30, 2007",5.234
"March 31, 2007",9.471
