date,price_target_upside
"March 19, 2020",147.0%
"March 18, 2020",120.0%
"March 17, 2020",74.10%
"March 16, 2020",70.38%
"March 13, 2020",99.78%
"March 12, 2020",120.4%
"March 11, 2020",83.42%
"March 10, 2020",78.89%
"March 9, 2020",107.2%
"March 6, 2020",98.53%
"March 5, 2020",102.1%
"March 4, 2020",89.52%
"March 3, 2020",96.74%
"March 2, 2020",81.75%
"Feb. 28, 2020",81.39%
"Feb. 27, 2020",67.75%
"Feb. 26, 2020",60.37%
"Feb. 25, 2020",54.75%
"Feb. 24, 2020",39.59%
"Feb. 21, 2020",27.70%
"Feb. 20, 2020",24.61%
"Feb. 19, 2020",25.40%
"Feb. 18, 2020",24.09%
"Feb. 14, 2020",21.67%
"Feb. 13, 2020",18.07%
"Feb. 12, 2020",16.59%
"Feb. 11, 2020",19.06%
"Feb. 10, 2020",23.40%
"Feb. 7, 2020",25.18%
"Feb. 6, 2020",25.72%
"Feb. 5, 2020",21.90%
"Feb. 4, 2020",24.78%
"Feb. 3, 2020",30.61%
"Jan. 31, 2020",32.17%
"Jan. 30, 2020",27.97%
"Jan. 29, 2020",32.36%
"Jan. 28, 2020",32.26%
"Jan. 27, 2020",36.27%
"Jan. 24, 2020",30.65%
"Jan. 23, 2020",25.58%
"Jan. 22, 2020",31.58%
"Jan. 21, 2020",32.16%
"Jan. 17, 2020",27.13%
"Jan. 16, 2020",28.27%
"Jan. 15, 2020",31.29%
"Jan. 14, 2020",31.53%
"Jan. 13, 2020",32.20%
"Jan. 10, 2020",33.12%
"Jan. 9, 2020",30.12%
"Jan. 8, 2020",30.63%
"Jan. 7, 2020",33.80%
"Jan. 6, 2020",33.31%
"Jan. 3, 2020",32.48%
"Jan. 2, 2020",25.74%
"Dec. 31, 2019",27.54%
"Dec. 30, 2019",29.25%
"Dec. 27, 2019",28.62%
"Dec. 26, 2019",23.29%
"Dec. 24, 2019",25.36%
"Dec. 23, 2019",24.84%
"Dec. 20, 2019",25.96%
"Dec. 19, 2019",28.12%
"Dec. 18, 2019",30.64%
"Dec. 17, 2019",29.35%
"Dec. 16, 2019",31.01%
"Dec. 13, 2019",33.11%
"Dec. 12, 2019",31.96%
"Dec. 11, 2019",36.18%
"Dec. 10, 2019",35.48%
"Dec. 9, 2019",33.45%
"Dec. 6, 2019",32.31%
"Dec. 5, 2019",34.67%
"Dec. 4, 2019",33.98%
"Dec. 3, 2019",34.42%
"Dec. 2, 2019",30.64%
"Nov. 29, 2019",27.64%
"Nov. 27, 2019",27.26%
"Nov. 26, 2019",26.82%
"Nov. 25, 2019",27.09%
"Nov. 22, 2019",28.46%
"Nov. 21, 2019",29.97%
"Nov. 20, 2019",28.59%
"Nov. 19, 2019",23.93%
"Nov. 18, 2019",26.92%
"Nov. 15, 2019",25.78%
"Nov. 14, 2019",26.17%
"Nov. 13, 2019",26.66%
"Nov. 12, 2019",24.63%
"Nov. 11, 2019",20.27%
"Nov. 8, 2019",19.26%
"Nov. 7, 2019",18.76%
"Nov. 6, 2019",18.49%
"Nov. 5, 2019",16.74%
"Nov. 4, 2019",17.61%
"Nov. 1, 2019",19.11%
"Oct. 31, 2019",22.74%
"Oct. 30, 2019",21.80%
"Oct. 29, 2019",19.32%
"Oct. 28, 2019",17.65%
"Oct. 25, 2019",18.36%
"Oct. 24, 2019",25.24%
"Oct. 23, 2019",30.23%
"Oct. 22, 2019",30.37%
"Oct. 21, 2019",28.73%
"Oct. 18, 2019",30.74%
"Oct. 17, 2019",32.10%
"Oct. 16, 2019",31.53%
"Oct. 15, 2019",30.51%
"Oct. 14, 2019",33.60%
"Oct. 11, 2019",34.87%
"Oct. 10, 2019",35.94%
"Oct. 9, 2019",36.51%
"Oct. 8, 2019",41.90%
"Oct. 7, 2019",44.26%
"Oct. 4, 2019",44.26%
"Oct. 3, 2019",47.49%
"Oct. 2, 2019",46.88%
"Oct. 1, 2019",39.04%
"Sept. 30, 2019",39.73%
"Sept. 27, 2019",42.13%
"Sept. 26, 2019",41.19%
"Sept. 25, 2019",39.90%
"Sept. 24, 2019",42.21%
"Sept. 23, 2019",37.03%
"Sept. 20, 2019",36.70%
"Sept. 19, 2019",35.21%
"Sept. 18, 2019",33.79%
"Sept. 17, 2019",33.60%
"Sept. 16, 2019",37.79%
"Sept. 13, 2019",27.76%
"Sept. 12, 2019",28.33%
"Sept. 11, 2019",29.10%
"Sept. 10, 2019",31.94%
"Sept. 9, 2019",34.72%
"Sept. 6, 2019",38.07%
"Sept. 5, 2019",39.24%
"Sept. 4, 2019",42.80%
"Sept. 3, 2019",45.44%
"Aug. 30, 2019",46.75%
"Aug. 29, 2019",46.70%
"Aug. 28, 2019",52.43%
"Aug. 27, 2019",57.92%
"Aug. 26, 2019",53.28%
"Aug. 23, 2019",51.89%
"Aug. 22, 2019",45.54%
"Aug. 21, 2019",46.14%
"Aug. 20, 2019",49.48%
"Aug. 19, 2019",47.94%
"Aug. 16, 2019",51.65%
"Aug. 15, 2019",53.92%
"Aug. 14, 2019",49.85%
"Aug. 13, 2019",42.17%
"Aug. 12, 2019",41.50%
"Aug. 9, 2019",35.90%
"Aug. 8, 2019",34.49%
"Aug. 7, 2019",36.61%
"Aug. 6, 2019",37.91%
"Aug. 5, 2019",37.09%
"Aug. 2, 2019",32.81%
"Aug. 1, 2019",33.70%
"July 31, 2019",30.76%
"July 30, 2019",31.34%
"July 29, 2019",31.21%
"July 26, 2019",31.05%
"July 25, 2019",29.65%
"July 24, 2019",18.85%
"July 23, 2019",21.87%
"July 22, 2019",24.94%
"July 19, 2019",24.26%
"July 18, 2019",21.83%
"July 17, 2019",23.59%
"July 16, 2019",20.12%
"July 15, 2019",22.14%
"July 12, 2019",21.53%
"July 11, 2019",24.29%
"July 10, 2019",24.15%
"July 9, 2019",26.05%
"July 8, 2019",24.72%
"July 5, 2019",26.31%
"July 3, 2019",25.31%
"July 2, 2019",27.37%
"July 1, 2019",24.70%
"June 28, 2019",25.73%
"June 27, 2019",27.53%
"June 26, 2019",30.83%
"June 25, 2019",31.66%
"June 24, 2019",29.35%
"June 21, 2019",30.37%
"June 20, 2019",28.02%
"June 19, 2019",23.93%
"June 18, 2019",26.56%
"June 17, 2019",26.41%
"June 14, 2019",25.94%
"June 13, 2019",24.38%
"June 12, 2019",32.34%
"June 11, 2019",34.59%
"June 10, 2019",33.80%
"June 7, 2019",33.11%
"June 6, 2019",35.48%
"June 5, 2019",35.57%
"June 4, 2019",41.34%
"June 3, 2019",51.32%
"May 31, 2019",51.15%
"May 30, 2019",46.11%
"May 29, 2019",44.87%
"May 28, 2019",43.26%
"May 24, 2019",41.10%
"May 23, 2019",39.52%
"May 22, 2019",37.56%
"May 21, 2019",31.49%
"May 20, 2019",32.94%
"May 17, 2019",33.98%
"May 16, 2019",31.58%
"May 15, 2019",32.23%
"May 14, 2019",31.50%
"May 13, 2019",32.32%
"May 10, 2019",25.11%
"May 9, 2019",25.26%
"May 8, 2019",26.00%
"May 7, 2019",25.41%
"May 6, 2019",22.38%
"May 3, 2019",22.54%
"May 2, 2019",25.57%
"May 1, 2019",25.72%
"April 30, 2019",24.73%
"April 29, 2019",27.18%
"April 26, 2019",30.54%
"April 25, 2019",30.59%
"April 24, 2019",28.37%
"April 23, 2019",28.44%
"April 22, 2019",30.32%
"April 18, 2019",26.95%
"April 17, 2019",26.91%
"April 16, 2019",28.22%
"April 15, 2019",29.28%
"April 12, 2019",25.78%
"April 11, 2019",25.34%
"April 10, 2019",28.56%
"April 9, 2019",31.30%
"April 8, 2019",30.65%
"April 5, 2019",30.88%
"April 4, 2019",31.39%
"April 3, 2019",32.71%
"April 2, 2019",35.61%
"April 1, 2019",38.29%
"March 29, 2019",42.18%
"March 28, 2019",46.14%
"March 27, 2019",46.29%
"March 26, 2019",49.83%
"March 25, 2019",49.83%
"March 22, 2019",48.06%
"March 21, 2019",43.92%
"March 20, 2019",46.20%
"March 19, 2019",43.28%
"March 18, 2019",44.24%
"March 15, 2019",44.52%
"March 14, 2019",41.37%
"March 13, 2019",42.65%
"March 12, 2019",46.90%
"March 11, 2019",41.72%
"March 8, 2019",42.34%
"March 7, 2019",41.46%
"March 6, 2019",39.13%
"March 5, 2019",37.16%
"March 4, 2019",35.17%
"March 1, 2019",31.58%
"Feb. 28, 2019",28.96%
"Feb. 27, 2019",28.74%
"Feb. 26, 2019",26.75%
"Feb. 25, 2019",27.99%
"Feb. 22, 2019",29.47%
"Feb. 21, 2019",31.05%
"Feb. 20, 2019",30.75%
"Feb. 19, 2019",29.24%
"Feb. 15, 2019",30.79%
"Feb. 14, 2019",26.95%
"Feb. 13, 2019",26.60%
"Feb. 12, 2019",27.94%
"Feb. 11, 2019",25.00%
"Feb. 8, 2019",27.05%
"Feb. 7, 2019",26.45%
"Feb. 6, 2019",24.42%
"Feb. 5, 2019",23.85%
"Feb. 4, 2019",24.35%
"Feb. 1, 2019",26.66%
"Jan. 31, 2019",27.86%
"Jan. 30, 2019",25.86%
"Jan. 29, 2019",26.03%
"Jan. 28, 2019",25.07%
"Jan. 25, 2019",28.04%
"Jan. 24, 2019",31.81%
"Jan. 23, 2019",39.85%
"Jan. 22, 2019",35.84%
"Jan. 18, 2019",30.92%
"Jan. 17, 2019",32.44%
"Jan. 16, 2019",36.07%
"Jan. 15, 2019",39.20%
"Jan. 14, 2019",42.08%
"Jan. 11, 2019",44.16%
"Jan. 10, 2019",45.38%
"Jan. 9, 2019",43.31%
"Jan. 8, 2019",49.36%
"Jan. 7, 2019",47.75%
"Jan. 4, 2019",51.95%
"Jan. 3, 2019",61.96%
"Jan. 2, 2019",49.89%
"Dec. 31, 2018",51.62%
"Dec. 28, 2018",52.95%
"Dec. 27, 2018",51.95%
"Dec. 26, 2018",50.77%
"Dec. 24, 2018",63.81%
"Dec. 21, 2018",58.17%
"Dec. 20, 2018",52.66%
"Dec. 19, 2018",50.17%
"Dec. 18, 2018",44.68%
"Dec. 17, 2018",51.46%
"Dec. 14, 2018",49.73%
"Dec. 13, 2018",49.50%
"Dec. 12, 2018",41.27%
"Dec. 11, 2018",42.31%
"Dec. 10, 2018",43.40%
"Dec. 7, 2018",43.14%
"Dec. 6, 2018",29.81%
"Dec. 4, 2018",30.01%
"Dec. 3, 2018",19.29%
"Nov. 30, 2018",17.78%
"Nov. 29, 2018",22.72%
"Nov. 28, 2018",21.08%
"Nov. 27, 2018",23.14%
"Nov. 26, 2018",23.77%
"Nov. 23, 2018",24.26%
"Nov. 21, 2018",29.88%
"Nov. 20, 2018",32.50%
"Nov. 19, 2018",31.65%
"Nov. 16, 2018",29.25%
"Nov. 15, 2018",25.59%
"Nov. 14, 2018",24.64%
"Nov. 13, 2018",25.29%
"Nov. 12, 2018",28.41%
"Nov. 9, 2018",31.06%
"Nov. 8, 2018",28.79%
"Nov. 7, 2018",28.40%
"Nov. 6, 2018",34.97%
"Nov. 5, 2018",32.90%
"Nov. 2, 2018",30.66%
"Nov. 1, 2018",30.52%
"Oct. 31, 2018",35.32%
"Oct. 30, 2018",36.96%
"Oct. 29, 2018",47.42%
"Oct. 26, 2018",47.69%
"Oct. 25, 2018",49.44%
"Oct. 24, 2018",57.24%
"Oct. 23, 2018",47.33%
"Oct. 22, 2018",48.34%
"Oct. 19, 2018",48.89%
"Oct. 18, 2018",49.90%
"Oct. 17, 2018",44.04%
"Oct. 16, 2018",44.05%
"Oct. 15, 2018",52.33%
"Oct. 12, 2018",56.81%
"Oct. 11, 2018",55.01%
"Oct. 10, 2018",54.46%
"Oct. 9, 2018",50.61%
"Oct. 8, 2018",42.23%
"Oct. 5, 2018",40.60%
"Oct. 4, 2018",35.42%
"Oct. 3, 2018",32.35%
"Oct. 2, 2018",33.38%
"Oct. 1, 2018",29.65%
"Sept. 28, 2018",24.25%
