date,cash_investing_ttm
"Dec. 31, 2019",-2.243B
"Sept. 30, 2019",-3.272B
"June 30, 2019",-3.351B
"March 31, 2019",-1.497B
"Dec. 31, 2018",-1.973B
"Sept. 30, 2018",-2.14B
"June 30, 2018",-1.407B
"March 31, 2018",-2.722B
"Dec. 31, 2017",-3.636B
"Sept. 30, 2017",-4.139B
"June 30, 2017",-5.195B
"March 31, 2017",-5.458B
"Dec. 31, 2016",-5.702B
"Sept. 30, 2016",-4.204B
"June 30, 2016",-4.67B
"March 31, 2016",-4.506B
"Dec. 31, 2015",-5.594B
"Sept. 30, 2015",-6.818B
"June 30, 2015",-5.259B
"March 31, 2015",-5.17B
"Dec. 31, 2014",-2.911B
"Sept. 30, 2014",-847.00M
"June 30, 2014",-2.176B
"March 31, 2014",-3.669B
"Dec. 31, 2013",-3.814B
"Sept. 30, 2013",-5.459B
"June 30, 2013",-3.956B
"March 31, 2013",-1.674B
"Dec. 31, 2012",-1.571B
"Sept. 30, 2012",-1.566B
"June 30, 2012",-1.594B
"March 31, 2012",-722.00M
"Dec. 31, 2011",-1.292B
"Sept. 30, 2011",-1.464B
"June 30, 2011",-1.954B
"March 31, 2011",-3.157B
"Dec. 31, 2010",-2.03B
"Sept. 30, 2010",-2.156B
"June 30, 2010",-3.845B
"March 31, 2010",-3.266B
"Dec. 31, 2009",-2.723B
"Sept. 30, 2009",-800.00M
"June 30, 2009",1.66B
"March 31, 2009",1.311B
"Dec. 31, 2008",1.055B
"Sept. 30, 2008",653.00M
"June 30, 2008",338.00M
"March 31, 2008",443.00M
"Dec. 31, 2007",-234.00M
"Sept. 30, 2007",-897.00M
"June 30, 2007",-1.227B
"March 31, 2007",-1.637B
"Dec. 31, 2006",-1.365B
"Sept. 30, 2006",-2.044B
"June 30, 2006",-2.202B
"March 31, 2006",-1.74B
"Dec. 31, 2005",-1.539B
"Sept. 30, 2005",-894.00M
"June 30, 2005",-824.00M
"March 31, 2005",-624.00M
"Dec. 31, 2004",-1.048B
"Sept. 30, 2004",-1.164B
"June 30, 2004",-2.095B
"March 31, 2004",-2.201B
"Dec. 31, 2003",-645.00M
"Sept. 30, 2003",-816.00M
"June 30, 2003",-659.00M
"March 31, 2003",-740.00M
"Dec. 31, 2002",-1.393B
"Sept. 30, 2002",-2.452B
"June 30, 2002",-3.408B
"March 31, 2002",-4.332B
"Dec. 31, 2001",-4.74B
"Sept. 30, 2001",-4.435B
"June 30, 2001",-3.31B
"March 31, 2001",-3.22B
"Dec. 31, 2000",-3.275B
"Sept. 30, 2000",-3.347B
"June 30, 2000",-3.705B
"March 31, 2000",-3.681B
"Dec. 31, 1999",-3.45B
"Sept. 30, 1999",-2.694B
"June 30, 1999",-2.401B
"March 31, 1999",-1.726B
"Dec. 31, 1998",-1.869B
"Sept. 30, 1998",-1.368B
"June 30, 1998",-1.532B
"March 31, 1998",-1.595B
"Dec. 31, 1997",-1.328B
"Sept. 30, 1997",-2.179B
"June 30, 1997",-1.842B
"March 31, 1997",-1.153B
"Dec. 31, 1996",-1.19B
"Sept. 30, 1996",-498.00M
"June 30, 1996",-317.00M
"March 31, 1996",-808.00M
"Dec. 31, 1995",-925.00M
"Sept. 30, 1995",-1.13B
"June 30, 1995",-1.311B
"March 31, 1995",-1.107B
"Dec. 31, 1994",-1.463B
"Sept. 30, 1994",-1.135B
"June 30, 1994",-1.03B
"March 31, 1994",-1.173B
"Dec. 31, 1993",-1.754B
"Sept. 30, 1993",-2.408B
"June 30, 1993",-2.547B
"March 31, 1993",-2.932B
"Dec. 31, 1992",-2.954B
"Sept. 30, 1992",-3.460B
"June 30, 1992",-4.431B
"March 31, 1992",-4.201B
"Dec. 31, 1991",-4.571B
"Sept. 30, 1991",-4.469B
"June 30, 1991",-4.203B
"March 31, 1991",-4.588B
"Dec. 31, 1990",-3.738B
