date,revenue_per_employee_annual
"Dec. 31, 2019",375763.5
"Dec. 31, 2018",348657.5
"Dec. 31, 2017",342482.9
"Dec. 31, 2016",333405.3
"Dec. 31, 2015",353667.0
"Dec. 31, 2014",381314.3
"Dec. 31, 2013",280766.4
"Dec. 31, 2012",310299.6
"Dec. 31, 2011",302860.8
"Dec. 31, 2010",282150.8
"Dec. 31, 2009",242299.3
"Dec. 31, 2008",277964.9
"Dec. 31, 2007",266531.1
"Dec. 31, 2006",257862.9
"Dec. 31, 2005",229495.8
"Dec. 31, 2004",197824.9
"Dec. 31, 2003",164166.7
"Dec. 31, 2002",150085.7
"Dec. 31, 2001",163379.8
"Dec. 31, 2000",169755.4
"Dec. 31, 1999",161573.3
"Dec. 31, 1998",161214.9
"Dec. 31, 1997",150595.0
"Dec. 31, 1996",156927.2
"Dec. 31, 1995",153867.2
"Dec. 31, 1994",141119.4
"Dec. 31, 1993",132796.0
"Dec. 31, 1992",122207.1
"Dec. 31, 1991",123202.7
"Dec. 31, 1990",128857.6
