date,graham_number
"Sept. 30, 2019",5.409
"June 30, 2019",
"March 31, 2019",
"Dec. 31, 2018",
"Sept. 30, 2018",
"June 30, 2018",
"March 31, 2018",
"Dec. 31, 2017",
"Sept. 30, 2017",28.34
"June 30, 2017",27.40
"March 31, 2017",26.00
"Dec. 31, 2016",28.33
"Sept. 30, 2016",42.09
"June 30, 2016",43.34
"March 31, 2016",44.88
"Dec. 31, 2015",47.87
"Sept. 30, 2015",30.47
"June 30, 2015",26.47
"March 31, 2015",20.24
"Dec. 31, 2014",15.99
"Sept. 30, 2014",
"June 30, 2014",
"March 31, 2014",
"Dec. 31, 2013",43.99
"Sept. 30, 2013",
"June 30, 2013",30.57
"March 31, 2013",71.02
"Dec. 31, 2012",147.86
"Sept. 30, 2012",185.06
"June 30, 2012",201.62
"March 31, 2012",199.79
"Dec. 31, 2011",142.22
"Sept. 30, 2011",82.54
"June 30, 2011",67.03
"March 31, 2011",48.67
"Dec. 31, 2010",52.60
"Sept. 30, 2010",61.59
"June 30, 2010",85.09
"March 31, 2010",98.68
"Dec. 31, 2009",91.88
"Sept. 30, 2009",92.20
"June 30, 2009",80.12
"March 31, 2009",121.55
"Dec. 31, 2008",118.29
"Sept. 30, 2008",
"June 30, 2008",
"March 31, 2008",6.949
"Dec. 31, 2007",54.08
"Sept. 30, 2007",33.15
"June 30, 2007",24.40
"March 31, 2007",15.37
"Dec. 31, 2006",
"Sept. 30, 2006",33.43
"June 30, 2006",38.63
"March 31, 2006",71.51
"Dec. 31, 2005",81.25
"Sept. 30, 2005",53.64
"June 30, 2005",52.24
"March 31, 2005",57.28
"Dec. 31, 2004",52.50
"Sept. 30, 2004",31.09
"June 30, 2004",14.43
"March 31, 2004",17.28
"Dec. 31, 2003",
"Sept. 30, 2003",74.53
"June 30, 2003",91.63
"March 31, 2003",44.93
"Dec. 31, 2002",
"Sept. 30, 2002",
"June 30, 2002",
"March 31, 2002",
"Dec. 31, 2001",
"Sept. 30, 2001",
"June 30, 2001",
"March 31, 2001",170.95
"Dec. 31, 2000",194.89
"Sept. 30, 2000",222.99
"June 30, 2000",215.94
"March 31, 2000",206.13
"Dec. 31, 1999",215.78
"Sept. 30, 1999",198.19
"June 30, 1999",208.14
"March 31, 1999",216.03
"Dec. 31, 1998",224.68
"Sept. 30, 1998",209.72
"June 30, 1998",200.89
"March 31, 1998",187.35
"Dec. 31, 1997",244.07
"Sept. 30, 1997",247.43
"June 30, 1997",242.34
"March 31, 1997",237.99
"Dec. 31, 1996",257.79
"Sept. 30, 1996",61.30
"June 30, 1996",36.73
"March 31, 1996",
"Dec. 31, 1995",
"Sept. 30, 1995",118.79
"June 30, 1995",109.56
"March 31, 1995",99.75
"Dec. 31, 1994",83.86
"Sept. 30, 1994",20.97
"June 30, 1994",
"March 31, 1994",
"Dec. 31, 1993",
"Sept. 30, 1993",
"June 30, 1993",
"March 31, 1993",
"Dec. 31, 1992",
"Sept. 30, 1992",
"June 30, 1992",
"March 31, 1992",
"Dec. 31, 1991",
"Sept. 30, 1991",
"June 30, 1991",
"March 31, 1991",
"Dec. 31, 1990",
"Sept. 30, 1990",92.60
"June 30, 1990",105.32
"March 31, 1990",112.10
"Dec. 31, 1989",131.79
"Sept. 30, 1989",140.90
"June 30, 1989",145.11
"March 31, 1989",133.02
"Dec. 31, 1988",128.88
"Sept. 30, 1988",104.36
"June 30, 1988",94.71
"March 31, 1988",85.96
"Dec. 31, 1987",77.41
"Sept. 30, 1987",82.13
"June 30, 1987",86.19
"March 31, 1987",91.41
"Dec. 31, 1986",88.38
"Sept. 30, 1986",79.87
"June 30, 1986",76.42
"March 31, 1986",85.16
"Dec. 31, 1985",94.19
"Sept. 30, 1985",78.75
"June 30, 1985",78.55
"March 31, 1985",72.91
"Dec. 31, 1984",72.55
