date,beneish_m_score
"Dec. 31, 2019",-2.672
"Dec. 31, 2018",-2.602
"Dec. 31, 2017",-2.684
"Dec. 31, 2016",-2.767
"Dec. 31, 2015",-2.548
"Dec. 31, 2014",-2.307
"Dec. 31, 2013",-2.267
"Dec. 31, 2012",-2.938
"Dec. 31, 2011",
"Dec. 31, 2010",
"Dec. 31, 2009",-4.107
"Dec. 31, 2008",-3.459
"Dec. 31, 2007",-3.614
"Dec. 31, 2006",-3.593
"Dec. 31, 2005",-3.689
"Dec. 31, 2004",-3.584
"Dec. 31, 2003",-3.726
"Dec. 31, 2002",-3.853
"Dec. 31, 2001",-3.246
"Dec. 31, 2000",-3.88
"Dec. 31, 1999",-3.738
"Dec. 31, 1998",-3.550
"Dec. 31, 1997",-3.756
"Dec. 31, 1996",-3.760
"Dec. 31, 1995",-3.697
"Dec. 31, 1994",-4.040
"Dec. 31, 1993",-3.689
"Dec. 31, 1992",-3.623
"Dec. 31, 1991",-3.756
"Dec. 31, 1990",-2.661
