date,gross_profit_margin
"Dec. 31, 2019",23.12%
"Sept. 30, 2019",24.38%
"June 30, 2019",25.52%
"March 31, 2019",21.03%
"Dec. 31, 2018",22.66%
"Sept. 30, 2018",22.87%
"June 30, 2018",25.59%
"March 31, 2018",22.33%
"Dec. 31, 2017",25.21%
"Sept. 30, 2017",28.33%
"June 30, 2017",31.14%
"March 31, 2017",24.81%
"Dec. 31, 2016",25.38%
"Sept. 30, 2016",31.56%
"June 30, 2016",32.47%
"March 31, 2016",30.77%
"Dec. 31, 2015",31.55%
"Sept. 30, 2015",35.01%
"June 30, 2015",33.45%
"March 31, 2015",30.29%
"Dec. 31, 2014",26.94%
"Sept. 30, 2014",26.81%
"June 30, 2014",28.25%
"March 31, 2014",21.12%
"Dec. 31, 2013",23.45%
"Sept. 30, 2013",26.13%
"June 30, 2013",24.24%
"March 31, 2013",18.60%
"Dec. 31, 2012",17.11%
"Sept. 30, 2012",19.57%
"June 30, 2012",19.44%
"March 31, 2012",14.76%
"Dec. 31, 2011",-93.62%
"Sept. 30, 2011",50.94%
"June 30, 2011",50.13%
"March 31, 2011",51.94%
"Dec. 31, 2010",-95.26%
"Sept. 30, 2010",58.06%
"June 30, 2010",56.08%
"March 31, 2010",54.46%
"Dec. 31, 2009",71.43%
"Sept. 30, 2009",71.91%
"June 30, 2009",73.27%
"March 31, 2009",73.78%
"Dec. 31, 2008",67.03%
"Sept. 30, 2008",58.03%
"June 30, 2008",60.58%
"March 31, 2008",64.12%
"Dec. 31, 2007",67.85%
"Sept. 30, 2007",71.75%
"June 30, 2007",73.12%
"March 31, 2007",75.95%
"Dec. 31, 2006",
"Sept. 30, 2006",
"June 30, 2006",
"March 31, 2006",
"Dec. 31, 2005",29.06%
"Sept. 30, 2005",
"June 30, 2005",
"March 31, 2005",37.47%
"Dec. 31, 2004",
"Sept. 30, 2004",
"June 30, 2004",41.84%
"March 31, 2004",
"Dec. 31, 2003",42.97%
"Sept. 30, 2003",43.28%
"June 30, 2003",
"March 31, 2003",
"Dec. 31, 2002",46.23%
"Sept. 30, 2002",31.86%
"June 30, 2002",36.69%
"March 31, 2002",35.96%
"Dec. 31, 2001",43.98%
"Sept. 30, 2001",29.48%
"June 30, 2001",37.92%
"March 31, 2001",39.37%
"Dec. 31, 2000",41.10%
"Sept. 30, 2000",46.90%
"June 30, 2000",46.92%
"March 31, 2000",43.35%
"Dec. 31, 1999",44.91%
"Sept. 30, 1999",45.58%
"June 30, 1999",47.08%
"March 31, 1999",41.55%
"Dec. 31, 1998",34.75%
"Sept. 30, 1998",52.12%
"June 30, 1998",53.35%
"March 31, 1998",51.17%
"Dec. 31, 1997",36.06%
"Sept. 30, 1997",51.00%
"June 30, 1997",51.25%
"March 31, 1997",48.64%
"Dec. 31, 1996",43.59%
"Sept. 30, 1996",50.46%
"June 30, 1996",50.90%
"March 31, 1996",49.28%
"Dec. 31, 1995",47.23%
"Sept. 30, 1995",50.48%
"June 30, 1995",51.08%
"March 31, 1995",48.06%
"Dec. 31, 1994",47.63%
"Sept. 30, 1994",50.46%
"June 30, 1994",50.67%
"March 31, 1994",46.82%
"Dec. 31, 1993",40.13%
"Sept. 30, 1993",47.68%
"June 30, 1993",41.61%
"March 31, 1993",38.39%
"Dec. 31, 1992",84.37%
"Sept. 30, 1992",26.82%
"June 30, 1992",28.35%
"March 31, 1992",30.97%
"Dec. 31, 1991",69.96%
"Sept. 30, 1991",37.19%
"June 30, 1991",35.62%
"March 31, 1991",27.08%
"Dec. 31, 1990",24.87%
"Sept. 30, 1990",36.46%
"June 30, 1990",39.15%
"March 31, 1990",33.03%
"Dec. 31, 1989",33.71%
"Sept. 30, 1989",60.96%
"June 30, 1989",61.13%
