date,zmijewski_score
"Dec. 31, 2019",1.231
"Sept. 30, 2019",1.209
"June 30, 2019",1.226
"March 31, 2019",1.288
"Dec. 31, 2018",1.244
"Sept. 30, 2018",1.364
"June 30, 2018",1.371
"March 31, 2018",1.360
"Dec. 31, 2017",1.319
"Sept. 30, 2017",0.7393
"June 30, 2017",0.7642
"March 31, 2017",0.7767
"Dec. 31, 2016",0.6952
"Sept. 30, 2016",0.3449
"June 30, 2016",0.2586
"March 31, 2016",0.121
"Dec. 31, 2015",-0.0458
"Sept. 30, 2015",0.4266
"June 30, 2015",0.5001
"March 31, 2015",0.6733
"Dec. 31, 2014",0.7829
"Sept. 30, 2014",0.6759
"June 30, 2014",0.8743
"March 31, 2014",1.345
"Dec. 31, 2013",2.004
"Sept. 30, 2013",2.949
"June 30, 2013",3.144
"March 31, 2013",3.445
"Dec. 31, 2012",3.627
"Sept. 30, 2012",3.696
"June 30, 2012",3.982
"March 31, 2012",3.932
"Dec. 31, 2011",3.392
"Sept. 30, 2011",2.629
"June 30, 2011",2.458
"March 31, 2011",2.244
"Dec. 31, 2010",2.323
"Sept. 30, 2010",2.288
"June 30, 2010",2.425
"March 31, 2010",2.500
"Dec. 31, 2009",2.390
"Sept. 30, 2009",2.239
"June 30, 2009",2.239
"March 31, 2009",2.427
"Dec. 31, 2008",2.353
"Sept. 30, 2008",1.440
"June 30, 2008",1.282
"March 31, 2008",0.8422
"Dec. 31, 2007",0.7412
"Sept. 30, 2007",1.098
"June 30, 2007",1.168
"March 31, 2007",1.243
"Dec. 31, 2006",1.429
"Sept. 30, 2006",1.502
"June 30, 2006",1.524
"March 31, 2006",1.708
"Dec. 31, 2005",1.753
"Sept. 30, 2005",1.586
"June 30, 2005",1.573
"March 31, 2005",1.598
"Dec. 31, 2004",1.577
"Sept. 30, 2004",1.481
"June 30, 2004",1.410
"March 31, 2004",1.425
"Dec. 31, 2003",1.524
"Sept. 30, 2003",1.692
"June 30, 2003",1.822
"March 31, 2003",1.796
"Dec. 31, 2002",1.660
"Sept. 30, 2002",1.420
"June 30, 2002",1.050
"March 31, 2002",0.9895
"Dec. 31, 2001",0.6889
"Sept. 30, 2001",0.383
"June 30, 2001",0.058
"March 31, 2001",-0.3144
"Dec. 31, 2000",-0.354
"Sept. 30, 2000",-0.3991
"June 30, 2000",-0.3513
"March 31, 2000",-0.336
"Dec. 31, 1999",-0.4436
"Sept. 30, 1999",-0.3444
"June 30, 1999",-0.4201
"March 31, 1999",-0.5488
"Dec. 31, 1998",-0.7021
"Sept. 30, 1998",-0.613
"June 30, 1998",-0.6335
"March 31, 1998",-0.6028
"Dec. 31, 1997",-0.5601
"Sept. 30, 1997",-0.4799
"June 30, 1997",-0.528
"March 31, 1997",-0.5089
"Dec. 31, 1996",-0.455
"Sept. 30, 1996",-0.2486
"June 30, 1996",-0.196
"March 31, 1996",0.1448
"Dec. 31, 1995",0.2272
"Sept. 30, 1995",0.1973
"June 30, 1995",0.2526
"March 31, 1995",0.2955
"Dec. 31, 1994",0.3085
"Sept. 30, 1994",0.0373
"June 30, 1994",0.0856
"March 31, 1994",0.1447
"Dec. 31, 1993",0.1144
"Sept. 30, 1993",0.1777
"June 30, 1993",0.2611
"March 31, 1993",0.3211
"Dec. 31, 1992",0.5672
"Sept. 30, 1992",0.192
"June 30, 1992",0.0821
"March 31, 1992",-0.0474
"Dec. 31, 1991",0.088
"Sept. 30, 1991",0.0399
"June 30, 1991",0.0314
"March 31, 1991",-0.0768
"Dec. 31, 1990",-0.2255
"Sept. 30, 1990",-0.4149
"June 30, 1990",-0.5278
"March 31, 1990",-0.6103
"Dec. 31, 1989",-0.8169
"Sept. 30, 1989",-0.8361
