date,shares_outstanding
"Feb. 14, 2020",426.06M
"Dec. 31, 2019",428.20M
"Oct. 18, 2019",438.06M
"Sept. 30, 2019",438.04M
"July 19, 2019",445.27M
"June 30, 2019",445.26M
"April 22, 2019",444.84M
"April 15, 2019",444.44M
"March 31, 2019",444.22M
"Feb. 20, 2019",449.06M
"Feb. 12, 2019",477.88M
"Dec. 31, 2018",460.61M
"Oct. 19, 2018",460.58M
"Sept. 30, 2018",460.56M
"July 20, 2018",460.51M
"June 30, 2018",460.50M
"April 20, 2018",468.15M
"April 16, 2018",467.71M
"March 31, 2018",467.39M
"Feb. 16, 2018",473.14M
"Dec. 31, 2017",475.51M
"Oct. 20, 2017",478.50M
"Sept. 30, 2017",480.00M
"July 21, 2017",487.01M
"June 30, 2017",487.66M
"April 21, 2017",492.59M
"April 17, 2017",493.64M
"March 31, 2017",495.75M
"Feb. 17, 2017",504.15M
"Dec. 31, 2016",507.29M
"Oct. 14, 2016",518.13M
"Sept. 30, 2016",519.16M
"July 15, 2016",529.91M
"June 30, 2016",537.14M
"April 15, 2016",578.17M
"April 11, 2016",583.31M
"March 31, 2016",585.66M
"Feb. 19, 2016",603.02M
"Dec. 31, 2015",624.62M
"Oct. 16, 2015",630.33M
"Sept. 30, 2015",640.11M
"July 17, 2015",671.82M
"June 30, 2015",678.29M
"April 17, 2015",692.80M
"April 6, 2015",818.76M
"March 31, 2015",693.80M
"Feb. 20, 2015",696.65M
"Dec. 31, 2014",697.47M
"Oct. 17, 2014",717.26M
"Sept. 30, 2014",717.26M
"July 18, 2014",720.10M
"June 30, 2014",720.50M
"April 16, 2014",720.20M
"March 31, 2014",649.95M
"Feb. 21, 2014",471.52M
"Dec. 31, 2013",261.07M
"Oct. 10, 2013",125.35M
"July 10, 2013",125.32M
"June 5, 2013",125.31M
"April 10, 2013",125.22M
"Feb. 13, 2013",125.22M
"Dec. 31, 2012",125.23M
"Oct. 10, 2012",125.22M
"July 10, 2012",125.22M
"April 11, 2012",125.22M
"Feb. 7, 2012",125.22M
"Dec. 31, 2011",125.22M
"Oct. 13, 2011",125.21M
"July 14, 2011",125.20M
"April 14, 2011",124.55M
"March 21, 2011",124.55M
"Feb. 9, 2011",124.54M
"Dec. 31, 2010",124.54M
"Oct. 13, 2010",124.48M
"July 14, 2010",124.39M
"April 14, 2010",124.27M
"April 1, 2010",124.26M
"Feb. 10, 2010",124.23M
"Dec. 31, 2009",124.24M
"Oct. 16, 2009",124.17M
"July 13, 2009",104.54M
"April 9, 2009",106.43M
"Feb. 11, 2009",104.21M
"Oct. 13, 2008",104.12M
"July 14, 2008",93.80M
"April 14, 2008",93.17M
"Feb. 13, 2008",93.15M
"Oct. 18, 2007",93.05M
"Sept. 30, 2007",93.05M
"June 30, 2007",92.58M
"March 31, 2007",89.86M
"Feb. 16, 2007",89.60M
"Dec. 31, 2006",83.00M
"Oct. 13, 2006",80.08M
"Sept. 30, 2006",80.08M
"July 21, 2006",79.56M
"June 30, 2006",79.56M
"April 14, 2006",70.74M
"March 31, 2006",70.74M
"Feb. 17, 2006",69.52M
"Dec. 31, 2005",68.25M
"Oct. 14, 2005",61.65M
"Sept. 30, 2005",61.65M
"July 15, 2005",61.14M
"June 30, 2005",60.28M
"April 15, 2005",60.28M
"March 31, 2005",60.28M
"Feb. 18, 2005",60.19M
"Dec. 31, 2004",60.19M
"Oct. 15, 2004",60.07M
"Sept. 30, 2004",59.22M
"July 16, 2004",60.02M
"June 30, 2004",59.62M
"April 16, 2004",59.62M
"March 31, 2004",59.60M
"Feb. 20, 2004",59.60M
"Dec. 31, 2003",59.60M
"Oct. 21, 2003",59.52M
"Sept. 30, 2003",59.52M
"July 14, 2003",59.33M
"June 30, 2003",59.33M
"April 30, 2003",58.41M
"March 31, 2003",58.40M
"Dec. 31, 2002",58.30M
"Oct. 14, 2002",58.26M
"Sept. 30, 2002",58.26M
"July 15, 2002",58.15M
"June 30, 2002",58.15M
"April 16, 2002",57.94M
"March 31, 2002",57.83M
"Feb. 20, 2002",57.83M
"Dec. 31, 2001",57.70M
"Oct. 19, 2001",57.70M
"Sept. 30, 2001",57.70M
"Aug. 1, 2001",57.67M
"June 30, 2001",57.67M
"April 17, 2001",57.40M
"March 31, 2001",57.40M
"March 16, 2001",57.38M
"Dec. 31, 2000",56.80M
"Oct. 19, 2000",56.28M
"Sept. 30, 2000",56.28M
"July 25, 2000",56.01M
"June 30, 2000",56.01M
"May 5, 2000",55.91M
"March 31, 2000",55.91M
"March 20, 2000",55.50M
"Dec. 31, 1999",55.37M
"Sept. 30, 1999",55.31M
"June 30, 1999",56.22M
"March 31, 1999",57.35M
"March 12, 1999",68.08M
"Dec. 31, 1998",60.26M
"Sept. 30, 1998",68.11M
"June 30, 1998",68.11M
"March 31, 1998",68.10M
"March 9, 1998",34.05M
"March 7, 1997",34.01M
"March 18, 1996",28.67M
"Dec. 31, 1994",28.37M
"Sept. 30, 1994",56.68M
"June 30, 1994",56.67M
"March 31, 1994",56.64M
"Dec. 31, 1993",56.60M
"Sept. 30, 1993",56.59M
"June 30, 1993",56.47M
"March 31, 1993",56.42M
"Dec. 31, 1992",56.33M
"Sept. 30, 1992",57.01M
"June 30, 1992",55.55M
"March 31, 1992",56.13M
"Dec. 31, 1991",51.07M
"Sept. 30, 1991",51.04M
"June 30, 1991",50.99M
"March 31, 1991",50.98M
"Dec. 31, 1990",46.54M
"Sept. 30, 1990",46.54M
"June 30, 1990",46.54M
"March 31, 1990",46.52M
"Dec. 31, 1989",46.50M
"Sept. 30, 1989",46.49M
"June 30, 1989",44.06M
"March 31, 1989",43.94M
"Dec. 31, 1988",43.96M
"Sept. 30, 1988",44.05M
"June 30, 1988",43.94M
"March 31, 1988",43.93M
"Dec. 31, 1987",43.94M
"Sept. 30, 1987",43.94M
"June 30, 1987",43.93M
"March 31, 1987",43.89M
"Dec. 31, 1986",43.89M
"Sept. 30, 1986",43.87M
"June 30, 1986",43.87M
"March 31, 1986",43.84M
"Dec. 31, 1985",43.84M
"Sept. 30, 1985",43.81M
"June 30, 1985",43.74M
"March 31, 1985",36.19M
"Dec. 31, 1984",36.20M
"Sept. 30, 1984",36.17M
"June 30, 1984",36.15M
"March 31, 1984",36.15M
