date,total_employee_number
"Dec. 31, 2019",114700
"Sept. 30, 2019",131900
"June 30, 2019",130000
"March 31, 2019",129800
"Dec. 31, 2018",128900
"Sept. 30, 2018",130500
"June 30, 2018",131600
"March 31, 2018",128600
"Dec. 31, 2017",126600
"Sept. 30, 2017",127600
"Dec. 31, 2016",122300
"March 31, 2016",120200
"Dec. 31, 2015",118500
"Sept. 30, 2015",119000
"June 30, 2015",120400
"March 31, 2015",116800
"Dec. 31, 2014",113300
"Sept. 30, 2014",111852
"Dec. 31, 2013",110400
"Dec. 31, 2011",80100
"Dec. 31, 2010",78250
"Dec. 31, 2009",78900
"Sept. 30, 2009",84100
"Feb. 20, 2008",85500
"Dec. 31, 2007",85500
"Dec. 31, 2006",86600
"Dec. 31, 2005",88400
"Dec. 31, 2004",92100
"Dec. 31, 2003",96400
"Dec. 31, 2002",116067
"Dec. 31, 2001",116067
"Dec. 31, 2000",116067
"Dec. 31, 1999",116067
"Dec. 31, 1998",103400
"Dec. 31, 1997",113900
"Dec. 31, 1996",111300
"Dec. 31, 1995",110000
"Dec. 31, 1994",109800
"Dec. 31, 1993",118900
"Dec. 31, 1992",119300
"Dec. 31, 1991",116300
"Dec. 31, 1990",92900
"Dec. 31, 1989",89000
