date,cash_financing_ttm
"Dec. 31, 2019",-1.568B
"Sept. 30, 2019",-650.00M
"June 30, 2019",350.00M
"March 31, 2019",-1.939B
"Dec. 31, 2018",-1.672B
"Sept. 30, 2018",-1.243B
"June 30, 2018",-2.476B
"March 31, 2018",-1.638B
"Dec. 31, 2017",-1.145B
"Sept. 30, 2017",-850.00M
"June 30, 2017",-509.00M
"March 31, 2017",-842.00M
"Dec. 31, 2016",-894.00M
"Sept. 30, 2016",-2.556B
"June 30, 2016",-2.077B
"March 31, 2016",-2.422B
"Dec. 31, 2015",-1.259B
"Sept. 30, 2015",-169.00M
"June 30, 2015",-283.00M
"March 31, 2015",641.00M
"Dec. 31, 2014",-315.00M
"Sept. 30, 2014",244.00M
"June 30, 2014",1.34B
"March 31, 2014",3.091B
"Dec. 31, 2013",3.799B
"Sept. 30, 2013",4.063B
"June 30, 2013",2.756B
"March 31, 2013",987.00M
"Dec. 31, 2012",483.00M
"Sept. 30, 2012",-194.00M
"June 30, 2012",-165.00M
"March 31, 2012",-291.00M
"Dec. 31, 2011",664.00M
"Sept. 30, 2011",1.069B
"June 30, 2011",1.354B
"March 31, 2011",1.761B
"Dec. 31, 2010",804.00M
"Sept. 30, 2010",1.093B
"June 30, 2010",2.686B
"March 31, 2010",2.341B
"Dec. 31, 2009",1.755B
"Sept. 30, 2009",1.136B
"June 30, 2009",-146.00M
"March 31, 2009",57.00M
"Dec. 31, 2008",382.00M
"Sept. 30, 2008",-502.00M
"June 30, 2008",-1.613B
"March 31, 2008",-1.868B
"Dec. 31, 2007",-1.675B
"Sept. 30, 2007",-1.211B
"June 30, 2007",-796.00M
"March 31, 2007",-414.00M
"Dec. 31, 2006",-591.00M
"Sept. 30, 2006",310.00M
"June 30, 2006",632.00M
"March 31, 2006",388.00M
"Dec. 31, 2005",533.00M
"Sept. 30, 2005",-42.00M
"June 30, 2005",-254.00M
"March 31, 2005",-191.00M
"Dec. 31, 2004",331.00M
"Sept. 30, 2004",312.00M
"June 30, 2004",968.00M
"March 31, 2004",687.00M
"Dec. 31, 2003",60.00M
"Sept. 30, 2003",915.00M
"June 30, 2003",1.668B
"March 31, 2003",1.974B
"Dec. 31, 2002",2.506B
"Sept. 30, 2002",3.724B
"June 30, 2002",3.577B
"March 31, 2002",4.208B
"Dec. 31, 2001",4.211B
"Sept. 30, 2001",2.617B
"June 30, 2001",1.229B
"March 31, 2001",676.00M
"Dec. 31, 2000",137.00M
"Sept. 30, 2000",282.00M
"June 30, 2000",810.00M
"March 31, 2000",1.067B
"Dec. 31, 1999",1.184B
"Sept. 30, 1999",648.00M
"June 30, 1999",-239.00M
"March 31, 1999",-776.00M
"Dec. 31, 1998",-891.00M
"Sept. 30, 1998",-1.289B
"June 30, 1998",-1.136B
"March 31, 1998",-1.15B
"Dec. 31, 1997",-1.188B
"Sept. 30, 1997",-916.00M
"June 30, 1997",-839.00M
"March 31, 1997",-1.395B
"Dec. 31, 1996",-1.516B
"Sept. 30, 1996",-1.826B
"June 30, 1996",-1.898B
"March 31, 1996",-1.472B
"Dec. 31, 1995",-1.201B
"Sept. 30, 1995",-648.00M
"June 30, 1995",-389.00M
"March 31, 1995",-567.00M
"Dec. 31, 1994",-186.00M
"Sept. 30, 1994",-623.00M
"June 30, 1994",-487.00M
"March 31, 1994",-153.00M
"Dec. 31, 1993",395.00M
"Sept. 30, 1993",992.00M
"June 30, 1993",1.478B
"March 31, 1993",1.988B
"Dec. 31, 1992",2.062B
"Sept. 30, 1992",2.491B
"June 30, 1992",3.085B
"March 31, 1992",2.961B
"Dec. 31, 1991",3.807B
"Sept. 30, 1991",3.959B
"June 30, 1991",3.837B
"March 31, 1991",4.097B
"Dec. 31, 1990",3.045B
