date,net_income_annual_cs_rev
"Dec. 31, 2019",3.68%
"Dec. 31, 2018",3.17%
"Dec. 31, 2017",3.01%
"Dec. 31, 2016",6.44%
"Dec. 31, 2015",18.57%
"Dec. 31, 2014",6.76%
"Dec. 31, 2013",-6.86%
"Dec. 31, 2012",-7.55%
"Dec. 31, 2011",-8.25%
"Dec. 31, 2010",-2.12%
"Dec. 31, 2009",-7.37%
"Dec. 31, 2008",-8.91%
"Dec. 31, 2007",2.20%
"Dec. 31, 2006",1.02%
"Dec. 31, 2005",-4.14%
"Dec. 31, 2004",-4.08%
"Dec. 31, 2003",-7.04%
"Dec. 31, 2002",-20.16%
"Dec. 31, 2001",-9.29%
"Dec. 31, 2000",4.13%
"Dec. 31, 1999",5.56%
"Dec. 31, 1998",7.50%
"Dec. 31, 1997",5.81%
"Dec. 31, 1996",5.85%
"Dec. 31, 1995",0.99%
"Dec. 31, 1994",1.41%
"Dec. 31, 1993",-0.70%
"Dec. 31, 1992",-6.49%
"Dec. 31, 1991",-1.86%
"Dec. 31, 1990",-0.34%
"Dec. 31, 1989",4.34%
"Dec. 31, 1988",5.40%
"Dec. 31, 1987",2.76%
"Dec. 31, 1986",4.64%
"Dec. 31, 1985",5.64%
"Dec. 31, 1984",4.37%
