date,return_on_assets
"Dec. 31, 2019",2.77%
"Sept. 30, 2019",2.69%
"June 30, 2019",2.67%
"March 31, 2019",2.57%
"Dec. 31, 2018",2.59%
"Sept. 30, 2018",0.96%
"June 30, 2018",1.50%
"March 31, 2018",2.08%
"Dec. 31, 2017",2.44%
"Sept. 30, 2017",3.95%
"June 30, 2017",4.12%
"March 31, 2017",4.34%
"Dec. 31, 2016",5.13%
"Sept. 30, 2016",11.37%
"June 30, 2016",13.47%
"March 31, 2016",15.27%
"Dec. 31, 2015",16.19%
"Sept. 30, 2015",10.67%
"June 30, 2015",9.20%
"March 31, 2015",7.49%
"Dec. 31, 2014",6.61%
"Sept. 30, 2014",0.71%
"June 30, 2014",-1.00%
"March 31, 2014",-3.11%
"Dec. 31, 2013",-6.43%
"Sept. 30, 2013",1.73%
"June 30, 2013",-0.39%
"March 31, 2013",-2.31%
"Dec. 31, 2012",-7.78%
"Sept. 30, 2012",-13.28%
"June 30, 2012",-12.78%
"March 31, 2012",-12.71%
"Dec. 31, 2011",-7.82%
"Sept. 30, 2011",-3.83%
"June 30, 2011",-2.62%
"March 31, 2011",-1.56%
"Dec. 31, 2010",-1.85%
"Sept. 30, 2010",-2.80%
"June 30, 2010",-4.81%
"March 31, 2010",-6.37%
"Dec. 31, 2009",-5.87%
"Sept. 30, 2009",-5.81%
"June 30, 2009",-4.17%
"March 31, 2009",-8.01%
"Dec. 31, 2008",-7.65%
"Sept. 30, 2008",-6.44%
"June 30, 2008",-5.80%
"March 31, 2008",0.28%
"Dec. 31, 2007",1.71%
"Sept. 30, 2007",1.98%
"June 30, 2007",1.43%
"March 31, 2007",1.35%
"Dec. 31, 2006",0.77%
"Sept. 30, 2006",-1.29%
"June 30, 2006",-1.86%
"March 31, 2006",-2.67%
"Dec. 31, 2005",-2.93%
"Sept. 30, 2005",-2.20%
"June 30, 2005",-2.40%
"March 31, 2005",-2.57%
"Dec. 31, 2004",-2.58%
"Sept. 30, 2004",-1.63%
"June 30, 2004",-0.91%
"March 31, 2004",-1.19%
"Dec. 31, 2003",-4.15%
"Sept. 30, 2003",-5.49%
"June 30, 2003",-8.40%
"March 31, 2003",-9.54%
"Dec. 31, 2002",-10.94%
"Sept. 30, 2002",-11.66%
"June 30, 2002",-10.25%
"March 31, 2002",-10.71%
"Dec. 31, 2001",-6.02%
"Sept. 30, 2001",-3.29%
"June 30, 2001",-0.71%
"March 31, 2001",2.48%
"Dec. 31, 2000",3.22%
"Sept. 30, 2000",4.20%
"June 30, 2000",4.15%
"March 31, 2000",4.04%
"Dec. 31, 1999",4.25%
"Sept. 30, 1999",3.90%
"June 30, 1999",4.68%
"March 31, 1999",5.42%
"Dec. 31, 1998",6.10%
"Sept. 30, 1998",6.22%
"June 30, 1998",5.79%
"March 31, 1998",5.37%
"Dec. 31, 1997",4.75%
"Sept. 30, 1997",5.15%
"June 30, 1997",5.03%
"March 31, 1997",5.05%
"Dec. 31, 1996",5.11%
"Sept. 30, 1996",2.28%
"June 30, 1996",2.03%
"March 31, 1996",1.45%
"Dec. 31, 1995",0.85%
"Sept. 30, 1995",1.63%
"June 30, 1995",1.51%
"March 31, 1995",1.38%
"Dec. 31, 1994",1.15%
"Sept. 30, 1994",0.49%
"June 30, 1994",0.06%
"March 31, 1994",-0.48%
"Dec. 31, 1993",-0.56%
"Sept. 30, 1993",-2.90%
"June 30, 1993",-4.04%
"March 31, 1993",-5.31%
"Dec. 31, 1992",-5.29%
"Sept. 30, 1992",-2.08%
"June 30, 1992",-1.22%
"March 31, 1992",-0.15%
"Dec. 31, 1991",-1.59%
"Sept. 30, 1991",-2.28%
"June 30, 1991",-2.42%
"March 31, 1991",-1.65%
"Dec. 31, 1990",-0.32%
"Sept. 30, 1990",1.81%
"June 30, 1990",2.54%
"March 31, 1990",3.05%
"Dec. 31, 1989",4.35%
"Sept. 30, 1989",5.16%
