date,ohlson_score
"Dec. 31, 2019",1.566
"Sept. 30, 2019",1.730
"June 30, 2019",1.462
"March 31, 2019",3.431
"Dec. 31, 2018",1.332
"Sept. 30, 2018",-0.3088
"June 30, 2018",0.4878
"March 31, 2018",4.797
"Dec. 31, 2017",0.8555
"Sept. 30, 2017",1.750
"June 30, 2017",1.368
"March 31, 2017",2.003
"Dec. 31, 2016",1.721
"Sept. 30, 2016",1.304
"June 30, 2016",1.538
"March 31, 2016",1.627
"Dec. 31, 2015",1.988
"Sept. 30, 2015",1.711
"June 30, 2015",2.079
"March 31, 2015",1.899
"Dec. 31, 2014",2.230
"Sept. 30, 2014",3.344
"June 30, 2014",1.838
"March 31, 2014",8.058
"Dec. 31, 2013",2.958
"Sept. 30, 2013",2.291
"June 30, 2013",2.420
"March 31, 2013",2.182
"Dec. 31, 2012",25.49
"Sept. 30, 2012",2.219
"June 30, 2012",1.913
"March 31, 2012",1.963
"Dec. 31, 2011",2.366
"Sept. 30, 2011",1.897
"June 30, 2011",1.639
"March 31, 2011",2.949
"Dec. 31, 2010",5.367
"Sept. 30, 2010",1.898
"June 30, 2010",1.690
"March 31, 2010",-4.078
"Dec. 31, 2009",2.298
"Sept. 30, 2009",2.354
"June 30, 2009",2.120
"March 31, 2009",-0.4503
"Dec. 31, 2008",2.258
"Sept. 30, 2008",2.766
"June 30, 2008",2.602
"March 31, 2008",2.385
"Dec. 31, 2007",-0.6366
"Sept. 30, 2007",2.807
"June 30, 2007",1.656
"March 31, 2007",1.883
"Dec. 31, 2006",2.152
"Sept. 30, 2006",
"June 30, 2006",1.357
"March 31, 2006",3.180
"Dec. 31, 2005",2.141
"Sept. 30, 2005",4.481
"June 30, 2005",2.269
"March 31, 2005",1.990
"Dec. 31, 2004",5.231
"Sept. 30, 2004",3.111
"June 30, 2004",1.963
"March 31, 2004",2.131
"Dec. 31, 2003",2.156
"Sept. 30, 2003",1.898
