date,net_income_cs_rev
"Dec. 31, 2019",7.93%
"Sept. 30, 2019",8.96%
"June 30, 2019",8.50%
"March 31, 2019",2.24%
"Dec. 31, 2018",8.64%
"Sept. 30, 2018",2.49%
"June 30, 2018",-6.28%
"March 31, 2018",5.13%
"Dec. 31, 2017",38.11%
"Sept. 30, 2017",9.96%
"June 30, 2017",11.27%
"March 31, 2017",5.12%
"Dec. 31, 2016",8.79%
"Sept. 30, 2016",11.49%
"June 30, 2016",11.02%
"March 31, 2016",12.81%
"Dec. 31, 2015",11.92%
"Sept. 30, 2015",11.74%
"June 30, 2015",9.43%
"March 31, 2015",9.00%
"Dec. 31, 2014",6.09%
"Sept. 30, 2014",5.17%
"June 30, 2014",15.41%
"March 31, 2014",0.30%
"Dec. 31, 2013",3.44%
"Sept. 30, 2013",4.92%
"June 30, 2013",2.70%
"March 31, 2013",1.08%
"Dec. 31, 2012",0.08%
"Sept. 30, 2012",3.44%
"June 30, 2012",4.07%
"March 31, 2012",2.49%
"Dec. 31, 2011",2.01%
"Sept. 30, 2011",2.93%
"June 30, 2011",2.17%
"March 31, 2011",0.30%
"Dec. 31, 2010",0.85%
"Sept. 30, 2010",5.73%
"June 30, 2010",3.30%
"March 31, 2010",-0.11%
"Dec. 31, 2009",1.32%
"Sept. 30, 2009",1.76%
"June 30, 2009",2.48%
"March 31, 2009",1.51%
"Dec. 31, 2008",-7.15%
"Sept. 30, 2008",-0.89%
"June 30, 2008",-1.05%
"March 31, 2008",-1.23%
"Dec. 31, 2007",-0.54%
"Sept. 30, 2007",3.01%
"June 30, 2007",2.88%
"March 31, 2007",-3.62%
"Dec. 31, 2006",2.69%
"Sept. 30, 2006",0.00%
"June 30, 2006",2.29%
"March 31, 2006",-6.53%
"Dec. 31, 2005",-9.42%
"Sept. 30, 2005",0.66%
"June 30, 2005",3.03%
"March 31, 2005",1.61%
"Dec. 31, 2004",0.39%
"Sept. 30, 2004",2.51%
"June 30, 2004",6.71%
"March 31, 2004",5.26%
"Dec. 31, 2003",7.10%
"Sept. 30, 2003",10.62%
"June 30, 2003",15.51%
"March 31, 2003",7.99%
"Dec. 31, 2002",8.15%
"Sept. 30, 2002",7.36%
"June 30, 2002",9.77%
"March 31, 2002",9.75%
