date,cash_on_hand
"Dec. 31, 2019",1.328B
"Sept. 30, 2019",994.00M
"June 30, 2019",909.00M
"March 31, 2019",876.00M
"Dec. 31, 2018",887.00M
"Sept. 30, 2018",937.00M
"June 30, 2018",915.00M
"March 31, 2018",779.00M
"Dec. 31, 2017",693.00M
"Sept. 30, 2017",814.00M
"June 30, 2017",1.02B
"March 31, 2017",1.046B
"Dec. 31, 2016",971.00M
"Sept. 30, 2016",1.454B
"June 30, 2016",1.51B
"March 31, 2016",1.287B
"Dec. 31, 2015",876.00M
"Sept. 30, 2015",1.132B
"June 30, 2015",915.00M
"March 31, 2015",998.00M
"Dec. 31, 2014",708.00M
"Sept. 30, 2014",742.00M
"June 30, 2014",797.00M
"March 31, 2014",771.00M
"Dec. 31, 2013",627.00M
"Sept. 30, 2013",954.00M
"June 30, 2013",867.00M
"March 31, 2013",849.00M
"Dec. 31, 2012",731.00M
"Sept. 30, 2012",1.064B
"June 30, 2012",1.212B
"March 31, 2012",1.225B
"Dec. 31, 2011",1.226B
"Sept. 30, 2011",1.21B
"June 30, 2011",1.173B
"March 31, 2011",1.109B
"Dec. 31, 2010",960.00M
"Sept. 30, 2010",945.00M
"June 30, 2010",990.00M
"March 31, 2010",1.063B
"Dec. 31, 2009",1.136B
"Sept. 30, 2009",1.165B
"June 30, 2009",891.00M
"March 31, 2009",636.00M
"Dec. 31, 2008",561.00M
"Sept. 30, 2008",565.00M
"June 30, 2008",964.00M
"March 31, 2008",753.00M
"Dec. 31, 2007",834.00M
"Sept. 30, 2007",844.00M
"June 30, 2007",772.00M
"March 31, 2007",774.00M
"Dec. 31, 2006",699.00M
"Sept. 30, 2006",456.00M
"June 30, 2006",468.00M
"March 31, 2006",419.00M
"Dec. 31, 2005",484.00M
"Sept. 30, 2005",491.31M
"June 30, 2005",561.90M
"March 31, 2005",651.61M
"Dec. 31, 2004",450.00M
"Sept. 30, 2004",516.69M
"June 30, 2004",549.66M
"March 31, 2004",585.41M
"Dec. 31, 2003",608.00M
"Sept. 30, 2003",599.65M
"June 30, 2003",267.98M
"March 31, 2003",253.94M
"Dec. 31, 2002",
"Sept. 30, 2002",220.30M
"June 30, 2002",280.72M
"March 31, 2002",92.54M
