date,gross_profit_margin
"Dec. 31, 2019",28.31%
"Sept. 30, 2019",28.38%
"June 30, 2019",28.69%
"March 31, 2019",23.52%
"Dec. 31, 2018",28.56%
"Sept. 30, 2018",26.84%
"June 30, 2018",26.09%
"March 31, 2018",25.71%
"Dec. 31, 2017",27.53%
"Sept. 30, 2017",33.66%
"June 30, 2017",35.24%
"March 31, 2017",27.06%
"Dec. 31, 2016",33.02%
"Sept. 30, 2016",36.78%
"June 30, 2016",36.40%
"March 31, 2016",38.80%
"Dec. 31, 2015",35.95%
"Sept. 30, 2015",36.69%
"June 30, 2015",33.37%
"March 31, 2015",32.76%
"Dec. 31, 2014",26.00%
"Sept. 30, 2014",25.44%
"June 30, 2014",25.92%
"March 31, 2014",20.46%
"Dec. 31, 2013",23.81%
"Sept. 30, 2013",25.17%
"June 30, 2013",22.17%
"March 31, 2013",20.63%
"Dec. 31, 2012",20.44%
"Sept. 30, 2012",23.62%
"June 30, 2012",24.20%
"March 31, 2012",22.19%
"Dec. 31, 2011",-52.97%
"Sept. 30, 2011",48.95%
"June 30, 2011",48.57%
"March 31, 2011",50.99%
"Dec. 31, 2010",-63.86%
"Sept. 30, 2010",58.45%
"June 30, 2010",56.49%
"March 31, 2010",56.60%
"Dec. 31, 2009",77.64%
"Sept. 30, 2009",75.64%
"June 30, 2009",77.20%
"March 31, 2009",77.68%
"Dec. 31, 2008",65.97%
"Sept. 30, 2008",62.20%
"June 30, 2008",62.63%
"March 31, 2008",68.38%
"Dec. 31, 2007",70.77%
"Sept. 30, 2007",74.12%
"June 30, 2007",75.89%
"March 31, 2007",
"Dec. 31, 2006",
"Sept. 30, 2006",
"June 30, 2006",
"March 31, 2006",
"Dec. 31, 2005",
"Sept. 30, 2005",
"June 30, 2005",
"March 31, 2005",
"Dec. 31, 2004",30.39%
"Sept. 30, 2004",31.21%
"June 30, 2004",
"March 31, 2004",35.02%
"Dec. 31, 2003",2.30%
"Sept. 30, 2003",55.74%
"June 30, 2003",
"March 31, 2003",
"Dec. 31, 2002",
"Sept. 30, 2002",50.18%
"June 30, 2002",68.85%
"March 31, 2002",39.04%
