date,accruals
"Dec. 31, 2019",-90.00M
"Sept. 30, 2019",-43.00M
"June 30, 2019",-369.00M
"March 31, 2019",-378.00M
"Dec. 31, 2018",-106.00M
"Sept. 30, 2018",-152.00M
"June 30, 2018",-353.00M
"March 31, 2018",-400.00M
"Dec. 31, 2017",357.00M
"Sept. 30, 2017",-13.00M
"June 30, 2017",-233.00M
"March 31, 2017",-350.00M
"Dec. 31, 2016",-175.00M
"Sept. 30, 2016",-111.00M
"June 30, 2016",-241.00M
"March 31, 2016",-378.00M
"Dec. 31, 2015",-114.00M
"Sept. 30, 2015",-206.00M
"June 30, 2015",-210.00M
"March 31, 2015",-391.00M
"Dec. 31, 2014",-100.00M
"Sept. 30, 2014",-104.00M
"June 30, 2014",11.00M
"March 31, 2014",-318.00M
"Dec. 31, 2013",-146.00M
"Sept. 30, 2013",-92.00M
"June 30, 2013",-161.00M
"March 31, 2013",-191.00M
"Dec. 31, 2012",-156.00M
"Sept. 30, 2012",-6.00M
"June 30, 2012",-146.00M
"March 31, 2012",-262.00M
"Dec. 31, 2011",-91.00M
"Sept. 30, 2011",-59.00M
"June 30, 2011",-150.00M
"March 31, 2011",-228.00M
"Dec. 31, 2010",-25.00M
"Sept. 30, 2010",-75.00M
"June 30, 2010",-96.00M
"March 31, 2010",-230.00M
"Dec. 31, 2009",-118.00M
"Sept. 30, 2009",-117.00M
"June 30, 2009",-81.00M
"March 31, 2009",-112.00M
"Dec. 31, 2008",68.00M
"Sept. 30, 2008",-12.00M
"June 30, 2008",-65.00M
"March 31, 2008",-59.00M
"Dec. 31, 2007",-75.00M
"Sept. 30, 2007",-45.00M
"June 30, 2007",-51.00M
"March 31, 2007",-169.00M
"Dec. 31, 2006",-48.00M
"Sept. 30, 2006",-80.00M
"June 30, 2006",-28.00M
"March 31, 2006",-119.00M
"Dec. 31, 2005",-66.00M
"Sept. 30, 2005",5.00M
"June 30, 2005",-64.00M
"March 31, 2005",-65.00M
"Dec. 31, 2004",-41.37M
"Sept. 30, 2004",-35.98M
"June 30, 2004",-37.32M
"March 31, 2004",-38.27M
"Dec. 31, 2003",-49.25M
"Sept. 30, 2003",-60.34M
"June 30, 2003",-60.07M
"March 31, 2003",-14.34M
"Dec. 31, 2002",-57.16M
"Sept. 30, 2002",-46.67M
"June 30, 2002",-48.72M
"March 31, 2002",-9.439M
