date,net_income_ttm
"Dec. 31, 2019",569.00M
"Sept. 30, 2019",578.00M
"June 30, 2019",441.00M
"March 31, 2019",141.00M
"Dec. 31, 2018",189.00M
"Sept. 30, 2018",689.00M
"June 30, 2018",820.00M
"March 31, 2018",1.148B
"Dec. 31, 2017",1.14B
"Sept. 30, 2017",610.00M
"June 30, 2017",628.00M
"March 31, 2017",602.00M
"Dec. 31, 2016",727.00M
"Sept. 30, 2016",777.00M
"June 30, 2016",776.00M
"March 31, 2016",747.00M
"Dec. 31, 2015",677.00M
"Sept. 30, 2015",575.00M
"June 30, 2015",456.00M
"March 31, 2015",534.00M
"Dec. 31, 2014",401.00M
"Sept. 30, 2014",360.00M
"June 30, 2014",352.00M
"March 31, 2014",158.00M
"Dec. 31, 2013",168.00M
"Sept. 30, 2013",122.00M
"June 30, 2013",96.00M
"March 31, 2013",112.00M
"Dec. 31, 2012",128.00M
"Sept. 30, 2012",150.00M
"June 30, 2012",140.00M
"March 31, 2012",113.00M
"Dec. 31, 2011",86.00M
"Sept. 30, 2011",71.00M
"June 30, 2011",95.00M
"March 31, 2011",101.00M
"Dec. 31, 2010",97.00M
"Sept. 30, 2010",100.00M
"June 30, 2010",56.00M
"March 31, 2010",45.00M
"Dec. 31, 2009",58.00M
"Sept. 30, 2009",-11.00M
"June 30, 2009",-34.00M
"March 31, 2009",-63.00M
"Dec. 31, 2008",-85.00M
"Sept. 30, 2008",-31.00M
"June 30, 2008",0.00
"March 31, 2008",30.00M
"Dec. 31, 2007",18.00M
"Sept. 30, 2007",39.00M
"June 30, 2007",16.00M
"March 31, 2007",9.00M
"Dec. 31, 2006",-1.00M
"Sept. 30, 2006",-60.00M
"June 30, 2006",-57.00M
"March 31, 2006",-58.00M
"Dec. 31, 2005",-20.00M
"Sept. 30, 2005",23.29M
"June 30, 2005",28.41M
"March 31, 2005",36.87M
"Dec. 31, 2004",46.06M
"Sept. 30, 2004",63.41M
"June 30, 2004",84.34M
"March 31, 2004",100.84M
"Dec. 31, 2003",103.00M
"Sept. 30, 2003",99.61M
"June 30, 2003",82.72M
"March 31, 2003",59.35M
"Dec. 31, 2002",55.00M
