date,ni_per_employee_annual
"Dec. 31, 2019",26801.06
"Dec. 31, 2018",9248.84
"Dec. 31, 2017",59399.75
"Dec. 31, 2016",45967.56
"Dec. 31, 2015",51190.93
"Dec. 31, 2014",28532.80
"Dec. 31, 2013",11495.04
"Dec. 31, 2012",9023.93
"Dec. 31, 2011",6377.46
"Dec. 31, 2010",7613.81
"Dec. 31, 2009",4757.22
"Dec. 31, 2008",-7238.97
"Dec. 31, 2007",1617.54
"Dec. 31, 2006",-100.64
"Dec. 31, 2005",-2402.84
"Dec. 31, 2004",7601.42
"Dec. 31, 2003",25548.80
