date,total_long_term_debt
"Dec. 31, 2019",2.334B
"Sept. 30, 2019",1.636B
"June 30, 2019",1.492B
"March 31, 2019",1.539B
"Dec. 31, 2018",1.67B
"Sept. 30, 2018",1.568B
"June 30, 2018",1.358B
"March 31, 2018",1.143B
"Dec. 31, 2017",1.199B
"Sept. 30, 2017",1.255B
"June 30, 2017",1.305B
"March 31, 2017",1.337B
"Dec. 31, 2016",1.384B
"Sept. 30, 2016",1.689B
"June 30, 2016",1.746B
"March 31, 2016",1.78B
"Dec. 31, 2015",1.827B
"Sept. 30, 2015",1.982B
"June 30, 2015",2.032B
"March 31, 2015",2.181B
"Dec. 31, 2014",2.233B
"Sept. 30, 2014",2.362B
"June 30, 2014",2.386B
"March 31, 2014",2.639B
"Dec. 31, 2013",2.585B
"Sept. 30, 2013",2.842B
"June 30, 2013",2.82B
"March 31, 2013",2.826B
"Dec. 31, 2012",2.851B
"Sept. 30, 2012",2.923B
"June 30, 2012",2.893B
"March 31, 2012",3.003B
"Dec. 31, 2011",3.136B
"Sept. 30, 2011",3.057B
"June 30, 2011",3.083B
"March 31, 2011",3.078B
"Dec. 31, 2010",3.033B
"Sept. 30, 2010",3.064B
"June 30, 2010",3.116B
"March 31, 2010",3.119B
"Dec. 31, 2009",3.304B
"Sept. 30, 2009",3.362B
"June 30, 2009",3.408B
"March 31, 2009",3.224B
"Dec. 31, 2008",3.144B
"Sept. 30, 2008",3.135B
"June 30, 2008",3.335B
"March 31, 2008",3.097B
"Dec. 31, 2007",3.048B
"Sept. 30, 2007",2.984B
"June 30, 2007",2.983B
"March 31, 2007",2.911B
"Dec. 31, 2006",2.801B
"Sept. 30, 2006",2.508B
"June 30, 2006",2.518B
"March 31, 2006",2.382B
"Dec. 31, 2005",2.261B
"Sept. 30, 2005",2.190B
"June 30, 2005",1.988B
"March 31, 2005",1.897B
"Dec. 31, 2004",1.545B
"Sept. 30, 2004",1.399B
"June 30, 2004",1.309B
"March 31, 2004",1.224B
"Dec. 31, 2003",1.109B
"Sept. 30, 2003",990.36M
"June 30, 2003",758.32M
"March 31, 2003",703.89M
"Dec. 31, 2002",0.00
"Sept. 30, 2002",599.85M
"June 30, 2002",513.05M
"March 31, 2002",456.36M
