date,times_interest_earned
"Dec. 31, 2019",17.72
"Sept. 30, 2019",14.52
"June 30, 2019",10.84
"March 31, 2019",4.222
"Dec. 31, 2018",5.833
"Sept. 30, 2018",8.630
"June 30, 2018",13.71
"March 31, 2018",20.91
"Dec. 31, 2017",17.80
"Sept. 30, 2017",12.85
"June 30, 2017",12.28
"March 31, 2017",11.66
"Dec. 31, 2016",13.20
"Sept. 30, 2016",13.39
"June 30, 2016",12.72
"March 31, 2016",11.52
"Dec. 31, 2015",10.23
"Sept. 30, 2015",8.744
"June 30, 2015",7.024
"March 31, 2015",7.469
"Dec. 31, 2014",5.649
"Sept. 30, 2014",4.881
"June 30, 2014",4.778
"March 31, 2014",2.743
"Dec. 31, 2013",2.866
"Sept. 30, 2013",2.312
"June 30, 2013",1.963
"March 31, 2013",2.123
"Dec. 31, 2012",2.258
"Sept. 30, 2012",2.485
"June 30, 2012",2.279
"March 31, 2012",2.056
"Dec. 31, 2011",1.825
"Sept. 30, 2011",1.724
"June 30, 2011",2.006
"March 31, 2011",2.060
"Dec. 31, 2010",1.977
"Sept. 30, 2010",1.994
"June 30, 2010",1.603
"March 31, 2010",1.573
"Dec. 31, 2009",1.661
"Sept. 30, 2009",1.049
"June 30, 2009",0.9519
"March 31, 2009",0.674
"Dec. 31, 2008",0.5503
"Sept. 30, 2008",1.058
"June 30, 2008",1.330
"March 31, 2008",1.646
"Dec. 31, 2007",1.878
"Sept. 30, 2007",2.988
"June 30, 2007",4.658
