date,enterprise_value
"June 11, 2019",6.408B
"June 10, 2019",6.155B
"June 7, 2019",6.170B
"June 6, 2019",6.056B
"June 5, 2019",6.119B
"June 4, 2019",6.023B
"June 3, 2019",5.851B
"May 31, 2019",5.848B
"May 30, 2019",5.887B
"May 29, 2019",5.815B
"May 28, 2019",5.842B
"May 24, 2019",5.921B
"May 23, 2019",5.954B
"May 22, 2019",5.948B
"May 21, 2019",6.041B
"May 20, 2019",5.951B
"May 17, 2019",6.023B
"May 16, 2019",6.032B
"May 15, 2019",6.029B
"May 14, 2019",6.071B
"May 13, 2019",5.963B
"May 10, 2019",6.173B
"May 9, 2019",6.182B
"May 8, 2019",6.212B
"May 7, 2019",6.237B
"May 6, 2019",6.294B
"May 3, 2019",6.294B
"May 2, 2019",6.270B
"May 1, 2019",6.270B
"April 30, 2019",6.246B
"April 29, 2019",6.155B
"April 26, 2019",6.116B
"April 25, 2019",6.089B
"April 24, 2019",6.137B
"April 23, 2019",5.945B
"April 22, 2019",5.728B
"April 18, 2019",5.767B
"April 17, 2019",5.773B
"April 16, 2019",5.743B
"April 15, 2019",5.758B
"April 12, 2019",5.791B
"April 11, 2019",5.821B
"April 10, 2019",5.755B
"April 9, 2019",5.580B
"April 8, 2019",5.653B
"April 5, 2019",5.671B
"April 4, 2019",5.659B
"April 3, 2019",5.710B
"April 2, 2019",5.722B
"April 1, 2019",5.662B
"March 31, 2019",5.586B
"March 29, 2019",5.706B
"March 28, 2019",5.652B
"March 27, 2019",5.640B
"March 26, 2019",5.532B
"March 25, 2019",5.499B
"March 22, 2019",5.577B
"March 21, 2019",5.688B
"March 20, 2019",5.683B
"March 19, 2019",5.776B
"March 18, 2019",5.779B
"March 15, 2019",5.812B
"March 14, 2019",5.803B
"March 13, 2019",5.839B
"March 12, 2019",5.740B
"March 11, 2019",5.844B
"March 8, 2019",5.712B
"March 7, 2019",5.746B
"March 6, 2019",5.816B
"March 5, 2019",5.819B
"March 4, 2019",5.859B
"March 1, 2019",5.973B
"Feb. 28, 2019",5.902B
"Feb. 27, 2019",5.963B
"Feb. 26, 2019",6.049B
"Feb. 25, 2019",6.071B
"Feb. 22, 2019",6.062B
"Feb. 21, 2019",6.144B
"Feb. 20, 2019",6.166B
"Feb. 19, 2019",6.279B
"Feb. 15, 2019",6.288B
"Feb. 14, 2019",6.325B
"Feb. 13, 2019",6.316B
"Feb. 12, 2019",6.267B
"Feb. 11, 2019",6.380B
"Feb. 8, 2019",6.344B
"Feb. 7, 2019",6.331B
"Feb. 6, 2019",6.344B
"Feb. 5, 2019",6.291B
"Feb. 4, 2019",6.301B
"Feb. 1, 2019",6.273B
"Jan. 31, 2019",6.298B
"Jan. 30, 2019",6.401B
"Jan. 29, 2019",6.328B
"Jan. 28, 2019",6.340B
"Jan. 25, 2019",6.202B
"Jan. 24, 2019",6.328B
"Jan. 23, 2019",6.058B
"Jan. 22, 2019",6.098B
"Jan. 18, 2019",6.169B
"Jan. 17, 2019",6.123B
"Jan. 16, 2019",6.092B
"Jan. 15, 2019",6.034B
"Jan. 14, 2019",6.031B
"Jan. 11, 2019",6.062B
"Jan. 10, 2019",6.031B
"Jan. 9, 2019",6.055B
"Jan. 8, 2019",5.939B
"Jan. 7, 2019",5.890B
"Jan. 4, 2019",5.847B
"Jan. 3, 2019",5.658B
"Jan. 2, 2019",5.740B
"Dec. 31, 2018",5.697B
"Dec. 28, 2018",5.508B
"Dec. 27, 2018",5.505B
"Dec. 26, 2018",5.529B
"Dec. 24, 2018",5.261B
"Dec. 21, 2018",5.364B
"Dec. 20, 2018",5.550B
"Dec. 19, 2018",5.687B
"Dec. 18, 2018",5.748B
"Dec. 17, 2018",5.666B
"Dec. 14, 2018",5.761B
"Dec. 13, 2018",5.895B
"Dec. 12, 2018",6.010B
"Dec. 11, 2018",6.093B
"Dec. 10, 2018",6.102B
"Dec. 7, 2018",6.084B
"Dec. 6, 2018",6.376B
"Dec. 4, 2018",6.343B
"Dec. 3, 2018",6.495B
"Nov. 30, 2018",6.580B
"Nov. 29, 2018",6.431B
"Nov. 28, 2018",6.431B
"Nov. 27, 2018",6.331B
"Nov. 26, 2018",6.270B
"Nov. 23, 2018",6.224B
"Nov. 21, 2018",6.132B
"Nov. 20, 2018",5.995B
"Nov. 19, 2018",6.035B
"Nov. 16, 2018",6.126B
"Nov. 15, 2018",6.169B
"Nov. 14, 2018",6.169B
"Nov. 13, 2018",6.181B
"Nov. 12, 2018",6.114B
"Nov. 9, 2018",6.148B
"Nov. 8, 2018",6.187B
"Nov. 7, 2018",6.178B
"Nov. 6, 2018",6.074B
"Nov. 5, 2018",6.074B
"Nov. 2, 2018",6.014B
"Nov. 1, 2018",5.882B
"Oct. 31, 2018",5.730B
"Oct. 30, 2018",5.837B
"Oct. 29, 2018",5.556B
"Oct. 26, 2018",5.593B
"Oct. 25, 2018",5.645B
"Oct. 24, 2018",5.453B
"Oct. 23, 2018",5.700B
"Oct. 22, 2018",5.681B
"Oct. 19, 2018",5.666B
"Oct. 18, 2018",5.611B
"Oct. 17, 2018",5.773B
"Oct. 16, 2018",5.770B
"Oct. 15, 2018",5.654B
"Oct. 12, 2018",5.617B
"Oct. 11, 2018",5.572B
"Oct. 10, 2018",5.700B
"Oct. 9, 2018",5.928B
"Oct. 8, 2018",6.111B
"Oct. 5, 2018",6.148B
"Oct. 4, 2018",6.263B
"Oct. 3, 2018",6.279B
"Oct. 2, 2018",6.401B
"Oct. 1, 2018",6.419B
"Sept. 30, 2018",6.532B
"Sept. 28, 2018",6.389B
"Sept. 27, 2018",6.396B
"Sept. 26, 2018",6.331B
"Sept. 25, 2018",6.371B
"Sept. 24, 2018",6.429B
"Sept. 21, 2018",6.552B
"Sept. 20, 2018",6.558B
"Sept. 19, 2018",6.552B
"Sept. 18, 2018",6.506B
"Sept. 17, 2018",6.475B
"Sept. 14, 2018",6.334B
"Sept. 13, 2018",6.346B
"Sept. 12, 2018",6.270B
"Sept. 11, 2018",6.291B
"Sept. 10, 2018",6.285B
"Sept. 7, 2018",6.217B
"Sept. 6, 2018",6.266B
"Sept. 5, 2018",6.300B
"Sept. 4, 2018",6.346B
"Aug. 31, 2018",6.303B
"Aug. 30, 2018",6.328B
"Aug. 29, 2018",6.343B
"Aug. 28, 2018",6.282B
"Aug. 27, 2018",6.159B
"Aug. 24, 2018",6.165B
"Aug. 23, 2018",6.248B
"Aug. 22, 2018",6.263B
"Aug. 21, 2018",6.371B
"Aug. 20, 2018",6.359B
"Aug. 17, 2018",6.217B
"Aug. 16, 2018",6.174B
"Aug. 15, 2018",6.125B
"Aug. 14, 2018",6.070B
"Aug. 13, 2018",6.024B
"Aug. 10, 2018",6.110B
"Aug. 9, 2018",6.125B
"Aug. 8, 2018",6.113B
"Aug. 7, 2018",6.036B
"Aug. 6, 2018",6.079B
"Aug. 3, 2018",6.048B
"Aug. 2, 2018",5.913B
"Aug. 1, 2018",5.933B
"July 31, 2018",6.074B
"July 30, 2018",6.046B
"July 27, 2018",6.090B
"July 26, 2018",6.068B
"July 25, 2018",5.830B
"July 24, 2018",6.009B
"July 23, 2018",6.640B
"July 20, 2018",6.650B
"July 19, 2018",6.647B
"July 18, 2018",6.691B
"July 17, 2018",6.550B
"July 16, 2018",6.512B
"July 13, 2018",6.475B
"July 12, 2018",6.434B
"July 11, 2018",6.478B
"July 10, 2018",6.544B
"July 9, 2018",6.587B
"July 6, 2018",6.528B
"July 5, 2018",6.475B
"July 3, 2018",6.425B
"July 2, 2018",6.418B
"June 30, 2018",6.381B
"June 29, 2018",6.371B
"June 28, 2018",6.333B
"June 27, 2018",6.352B
"June 26, 2018",6.298B
"June 25, 2018",6.311B
"June 22, 2018",6.371B
"June 21, 2018",6.463B
"June 20, 2018",6.384B
"June 19, 2018",6.368B
"June 18, 2018",6.434B
"June 15, 2018",6.438B
"June 14, 2018",6.390B
"June 13, 2018",6.374B
"June 12, 2018",6.358B
"June 11, 2018",6.403B
"June 8, 2018",6.327B
"June 7, 2018",6.305B
"June 6, 2018",6.305B
"June 5, 2018",6.333B
"June 4, 2018",6.412B
"June 1, 2018",6.305B
"May 31, 2018",6.343B
"May 30, 2018",6.371B
"May 29, 2018",6.441B
"May 25, 2018",6.507B
"May 24, 2018",6.390B
"May 23, 2018",6.273B
"May 22, 2018",6.343B
"May 21, 2018",6.434B
"May 18, 2018",6.390B
"May 17, 2018",6.479B
"May 16, 2018",6.526B
"May 15, 2018",6.381B
"May 14, 2018",6.336B
"May 11, 2018",6.371B
"May 10, 2018",6.317B
"May 9, 2018",6.286B
"May 8, 2018",6.457B
"May 7, 2018",6.457B
"May 4, 2018",6.491B
"May 3, 2018",6.444B
"May 2, 2018",6.485B
"May 1, 2018",6.517B
"April 30, 2018",6.438B
"April 27, 2018",6.466B
"April 26, 2018",6.431B
"April 25, 2018",6.431B
"April 24, 2018",6.545B
"April 23, 2018",6.665B
"April 20, 2018",6.650B
"April 19, 2018",6.586B
"April 18, 2018",6.684B
"April 17, 2018",6.634B
"April 16, 2018",6.621B
"April 13, 2018",6.539B
"April 12, 2018",6.552B
"April 11, 2018",6.482B
"April 10, 2018",6.491B
"April 9, 2018",6.529B
"April 6, 2018",6.678B
"April 5, 2018",6.896B
"April 4, 2018",6.846B
"April 3, 2018",6.741B
"April 2, 2018",6.608B
"March 31, 2018",6.795B
"March 29, 2018",6.959B
"March 28, 2018",6.911B
"March 27, 2018",6.841B
"March 26, 2018",7.010B
"March 23, 2018",7.124B
"March 22, 2018",7.352B
"March 21, 2018",7.516B
"March 20, 2018",7.683B
"March 19, 2018",7.642B
"March 16, 2018",7.777B
"March 15, 2018",7.671B
"March 14, 2018",7.696B
"March 13, 2018",7.700B
"March 12, 2018",7.600B
"March 9, 2018",7.587B
"March 8, 2018",7.494B
"March 7, 2018",7.426B
"March 6, 2018",7.407B
"March 5, 2018",7.352B
"March 2, 2018",7.358B
"March 1, 2018",7.291B
"Feb. 28, 2018",7.281B
"Feb. 27, 2018",7.378B
"Feb. 26, 2018",7.500B
"Feb. 23, 2018",7.368B
"Feb. 22, 2018",7.217B
"Feb. 21, 2018",7.181B
"Feb. 20, 2018",6.950B
"Feb. 16, 2018",7.040B
"Feb. 15, 2018",7.040B
"Feb. 14, 2018",6.988B
"Feb. 13, 2018",6.930B
"Feb. 12, 2018",6.901B
"Feb. 9, 2018",6.908B
"Feb. 8, 2018",6.888B
"Feb. 7, 2018",7.067B
"Feb. 6, 2018",7.056B
"Feb. 5, 2018",6.885B
"Feb. 2, 2018",7.049B
"Feb. 1, 2018",7.246B
"Jan. 31, 2018",7.220B
"Jan. 30, 2018",7.135B
"Jan. 29, 2018",7.016B
"Jan. 26, 2018",7.086B
"Jan. 25, 2018",7.147B
"Jan. 24, 2018",7.584B
"Jan. 23, 2018",7.738B
"Jan. 22, 2018",7.757B
"Jan. 19, 2018",7.751B
"Jan. 18, 2018",7.722B
"Jan. 17, 2018",7.712B
"Jan. 16, 2018",7.664B
"Jan. 12, 2018",7.867B
"Jan. 11, 2018",7.677B
"Jan. 10, 2018",7.436B
"Jan. 9, 2018",7.398B
"Jan. 8, 2018",7.337B
"Jan. 5, 2018",7.369B
"Jan. 4, 2018",7.468B
"Jan. 3, 2018",7.436B
"Jan. 2, 2018",7.690B
"Dec. 31, 2017",7.677B
"Dec. 29, 2017",7.604B
"Dec. 28, 2017",7.668B
"Dec. 27, 2017",7.656B
"Dec. 26, 2017",7.681B
"Dec. 22, 2017",7.636B
"Dec. 21, 2017",7.633B
"Dec. 20, 2017",7.482B
"Dec. 19, 2017",7.364B
"Dec. 18, 2017",7.438B
"Dec. 15, 2017",7.268B
"Dec. 14, 2017",7.232B
"Dec. 13, 2017",7.332B
"Dec. 12, 2017",7.364B
"Dec. 11, 2017",7.556B
"Dec. 8, 2017",7.521B
"Dec. 7, 2017",7.454B
"Dec. 6, 2017",7.373B
"Dec. 5, 2017",7.386B
"Dec. 4, 2017",7.486B
"Dec. 1, 2017",7.274B
"Nov. 30, 2017",7.325B
"Nov. 29, 2017",7.162B
"Nov. 28, 2017",6.892B
"Nov. 27, 2017",6.751B
"Nov. 24, 2017",6.803B
"Nov. 22, 2017",6.822B
"Nov. 21, 2017",6.848B
"Nov. 20, 2017",6.783B
"Nov. 17, 2017",6.851B
"Nov. 16, 2017",6.937B
"Nov. 15, 2017",6.902B
"Nov. 14, 2017",6.735B
"Nov. 13, 2017",6.517B
"Nov. 10, 2017",6.530B
"Nov. 9, 2017",6.479B
"Nov. 8, 2017",6.469B
"Nov. 7, 2017",6.508B
"Nov. 6, 2017",6.636B
"Nov. 3, 2017",6.594B
"Nov. 2, 2017",6.508B
"Nov. 1, 2017",6.517B
"Oct. 31, 2017",6.581B
"Oct. 30, 2017",6.514B
"Oct. 27, 2017",6.655B
"Oct. 26, 2017",6.722B
