date,tangible_common_equity_ratio
"Dec. 31, 2019",40.27%
"Sept. 30, 2019",42.09%
"June 30, 2019",41.80%
"March 31, 2019",41.45%
"Dec. 31, 2018",42.75%
"Sept. 30, 2018",43.50%
"June 30, 2018",45.08%
"March 31, 2018",46.84%
"Dec. 31, 2017",48.38%
"Sept. 30, 2017",43.13%
"June 30, 2017",42.31%
"March 31, 2017",42.14%
"Dec. 31, 2016",43.04%
"Sept. 30, 2016",40.15%
"June 30, 2016",38.53%
"March 31, 2016",37.67%
"Dec. 31, 2015",37.14%
"Sept. 30, 2015",35.11%
"June 30, 2015",33.58%
"March 31, 2015",32.62%
"Dec. 31, 2014",32.26%
"Sept. 30, 2014",30.82%
"June 30, 2014",30.23%
"March 31, 2014",27.94%
"Dec. 31, 2013",29.03%
"Sept. 30, 2013",27.11%
"June 30, 2013",26.22%
"March 31, 2013",26.22%
"Dec. 31, 2012",26.70%
"Sept. 30, 2012",26.65%
"June 30, 2012",25.81%
"March 31, 2012",25.21%
"Dec. 31, 2011",24.85%
"Sept. 30, 2011",24.70%
"June 30, 2011",24.46%
"March 31, 2011",24.51%
"Dec. 31, 2010",25.09%
"Sept. 30, 2010",24.52%
"June 30, 2010",23.61%
"March 31, 2010",23.55%
"Dec. 31, 2009",23.48%
"Sept. 30, 2009",23.13%
"June 30, 2009",22.80%
"March 31, 2009",21.31%
"Dec. 31, 2008",21.03%
"Sept. 30, 2008",21.06%
"June 30, 2008",21.30%
"March 31, 2008",21.97%
"Dec. 31, 2007",18.51%
"Sept. 30, 2007",18.39%
"June 30, 2007",18.13%
"March 31, 2007",18.18%
"Dec. 31, 2006",19.12%
"Sept. 30, 2006",20.07%
"June 30, 2006",20.64%
"March 31, 2006",21.08%
"Dec. 31, 2005",22.55%
"Sept. 30, 2005",21.03%
"June 30, 2005",22.21%
"March 31, 2005",22.61%
"Dec. 31, 2004",25.52%
"Sept. 30, 2004",26.85%
"June 30, 2004",27.45%
"March 31, 2004",27.54%
"Dec. 31, 2003",28.64%
"Sept. 30, 2003",29.56%
"June 30, 2003",27.66%
"March 31, 2003",27.37%
"Dec. 31, 2002",30.09%
"Sept. 30, 2002",28.79%
"June 30, 2002",35.65%
"March 31, 2002",-3.02%
