date,one_year_return
"March 19, 2020",-54.27%
"March 18, 2020",-53.94%
"March 17, 2020",-43.13%
"March 16, 2020",-36.62%
"March 13, 2020",-33.57%
"March 12, 2020",-30.36%
"March 11, 2020",-17.81%
"March 10, 2020",-9.33%
"March 9, 2020",-16.67%
"March 6, 2020",-15.47%
"March 5, 2020",-15.64%
"March 4, 2020",-6.16%
"March 3, 2020",-11.34%
"March 2, 2020",-8.03%
"Feb. 28, 2020",-5.51%
"Feb. 27, 2020",-3.73%
"Feb. 26, 2020",-0.35%
"Feb. 25, 2020",5.80%
"Feb. 24, 2020",12.54%
"Feb. 21, 2020",17.84%
"Feb. 20, 2020",18.62%
"Feb. 19, 2020",16.06%
"Feb. 18, 2020",18.60%
"Feb. 14, 2020",17.64%
"Feb. 13, 2020",19.45%
"Feb. 12, 2020",18.11%
"Feb. 11, 2020",12.32%
"Feb. 10, 2020",10.36%
"Feb. 7, 2020",10.17%
"Feb. 6, 2020",10.69%
"Feb. 5, 2020",15.14%
"Feb. 4, 2020",13.44%
"Feb. 3, 2020",11.78%
"Jan. 31, 2020",10.23%
"Jan. 30, 2020",10.02%
"Jan. 29, 2020",10.04%
"Jan. 28, 2020",11.62%
"Jan. 27, 2020",13.16%
"Jan. 24, 2020",13.93%
"Jan. 23, 2020",22.22%
"Jan. 22, 2020",13.96%
"Jan. 21, 2020",8.24%
"Jan. 17, 2020",10.09%
"Jan. 16, 2020",9.51%
"Jan. 15, 2020",8.97%
"Jan. 14, 2020",7.99%
"Jan. 13, 2020",7.83%
"Jan. 10, 2020",9.10%
"Jan. 9, 2020",8.59%
"Jan. 8, 2020",9.79%
"Jan. 7, 2020",10.31%
"Jan. 6, 2020",11.66%
"Jan. 3, 2020",16.57%
"Jan. 2, 2020",16.60%
"Dec. 31, 2019",16.56%
"Dec. 30, 2019",16.94%
"Dec. 27, 2019",18.14%
"Dec. 26, 2019",18.86%
"Dec. 24, 2019",25.87%
"Dec. 23, 2019",23.63%
"Dec. 20, 2019",19.02%
"Dec. 19, 2019",13.86%
"Dec. 18, 2019",11.91%
"Dec. 17, 2019",14.83%
"Dec. 16, 2019",11.11%
"Dec. 13, 2019",7.59%
"Dec. 12, 2019",7.20%
"Dec. 11, 2019",4.52%
"Dec. 10, 2019",5.29%
"Dec. 9, 2019",5.81%
"Dec. 6, 2019",0.90%
"Dec. 5, 2019",2.13%
"Dec. 4, 2019",3.10%
"Dec. 3, 2019",-2.29%
"Dec. 2, 2019",-1.64%
"Nov. 29, 2019",1.26%
"Nov. 27, 2019",2.99%
"Nov. 26, 2019",4.43%
"Nov. 25, 2019",4.60%
"Nov. 22, 2019",5.04%
"Nov. 21, 2019",3.21%
"Nov. 20, 2019",8.07%
"Nov. 19, 2019",9.19%
"Nov. 18, 2019",7.99%
"Nov. 15, 2019",7.98%
"Nov. 14, 2019",7.70%
"Nov. 13, 2019",7.52%
"Nov. 12, 2019",7.28%
"Nov. 11, 2019",9.17%
"Nov. 8, 2019",7.35%
"Nov. 7, 2019",7.55%
"Nov. 6, 2019",10.08%
"Nov. 5, 2019",9.85%
"Nov. 4, 2019",10.08%
"Nov. 1, 2019",13.06%
"Oct. 31, 2019",15.36%
"Oct. 30, 2019",13.93%
"Oct. 29, 2019",20.48%
"Oct. 28, 2019",18.12%
"Oct. 25, 2019",14.04%
"Oct. 24, 2019",16.50%
"Oct. 23, 2019",13.53%
"Oct. 22, 2019",13.46%
"Oct. 21, 2019",6.05%
"Oct. 18, 2019",3.79%
"Oct. 17, 2019",1.90%
"Oct. 16, 2019",0.68%
"Oct. 15, 2019",3.97%
"Oct. 14, 2019",3.36%
"Oct. 11, 2019",3.95%
"Oct. 10, 2019",1.59%
"Oct. 9, 2019",-3.65%
"Oct. 8, 2019",-7.98%
"Oct. 7, 2019",-8.23%
"Oct. 4, 2019",-11.47%
"Oct. 3, 2019",-13.55%
"Oct. 2, 2019",-14.84%
"Oct. 1, 2019",-12.95%
"Sept. 30, 2019",-13.48%
"Sept. 27, 2019",-13.31%
"Sept. 26, 2019",-11.63%
"Sept. 25, 2019",-12.64%
"Sept. 24, 2019",-14.67%
"Sept. 23, 2019",-15.69%
"Sept. 20, 2019",-15.02%
"Sept. 19, 2019",-13.98%
"Sept. 18, 2019",-12.51%
"Sept. 17, 2019",-12.73%
"Sept. 16, 2019",-12.10%
"Sept. 13, 2019",-9.52%
"Sept. 12, 2019",-9.54%
"Sept. 11, 2019",-9.03%
"Sept. 10, 2019",-11.88%
"Sept. 9, 2019",-9.41%
"Sept. 6, 2019",-12.08%
"Sept. 5, 2019",-13.37%
"Sept. 4, 2019",-14.72%
"Sept. 3, 2019",-10.01%
"Aug. 30, 2019",-9.60%
"Aug. 29, 2019",-9.68%
"Aug. 28, 2019",-11.89%
"Aug. 27, 2019",-11.07%
"Aug. 26, 2019",-8.21%
"Aug. 23, 2019",-8.89%
"Aug. 22, 2019",-4.96%
"Aug. 21, 2019",-6.68%
"Aug. 20, 2019",-6.80%
"Aug. 19, 2019",-2.45%
"Aug. 16, 2019",-1.39%
"Aug. 15, 2019",-2.59%
"Aug. 14, 2019",-0.38%
"Aug. 13, 2019",3.36%
"Aug. 12, 2019",3.04%
"Aug. 9, 2019",5.14%
"Aug. 8, 2019",6.66%
"Aug. 7, 2019",6.32%
"Aug. 6, 2019",4.25%
"Aug. 5, 2019",3.51%
"Aug. 2, 2019",6.85%
"Aug. 1, 2019",9.00%
"July 31, 2019",6.83%
"July 30, 2019",8.65%
"July 29, 2019",7.70%
"July 26, 2019",7.79%
"July 25, 2019",13.36%
"July 24, 2019",9.95%
"July 23, 2019",-2.68%
"July 22, 2019",-4.44%
"July 19, 2019",-4.64%
"July 18, 2019",-3.76%
"July 17, 2019",-2.25%
"July 16, 2019",0.52%
"July 15, 2019",-2.85%
"July 12, 2019",-1.46%
"July 11, 2019",-3.11%
"July 10, 2019",-2.87%
"July 9, 2019",-3.31%
"July 8, 2019",0.05%
"July 5, 2019",-0.47%
"July 3, 2019",0.05%
"July 2, 2019",-1.62%
"July 1, 2019",-2.00%
"June 28, 2019",-1.96%
"June 27, 2019",-3.44%
"June 26, 2019",-3.47%
"June 25, 2019",-2.55%
"June 24, 2019",-2.79%
"June 21, 2019",-3.53%
"June 20, 2019",-0.74%
"June 19, 2019",0.42%
"June 18, 2019",0.42%
"June 17, 2019",1.04%
"June 14, 2019",1.63%
"June 13, 2019",2.37%
"June 12, 2019",1.58%
"June 11, 2019",0.05%
"June 10, 2019",-3.13%
"June 7, 2019",-2.50%
"June 6, 2019",-4.53%
"June 5, 2019",-3.87%
"June 4, 2019",-6.80%
"June 3, 2019",-8.15%
"May 31, 2019",-8.79%
"May 30, 2019",-8.54%
"May 29, 2019",-10.83%
"May 28, 2019",-11.33%
"May 24, 2019",-8.25%
"May 23, 2019",-5.84%
"May 22, 2019",-7.04%
"May 21, 2019",-6.83%
"May 20, 2019",-7.72%
"May 17, 2019",-7.82%
"May 16, 2019",-8.37%
"May 15, 2019",-6.21%
"May 14, 2019",-4.77%
"May 13, 2019",-7.22%
"May 10, 2019",-2.66%
"May 9, 2019",-1.98%
"May 8, 2019",-4.21%
"May 7, 2019",-3.79%
"May 6, 2019",-3.36%
"May 3, 2019",-2.60%
"May 2, 2019",-3.67%
"May 1, 2019",-4.17%
"April 30, 2019",-3.34%
"April 29, 2019",-5.34%
"April 26, 2019",-5.48%
"April 25, 2019",-5.95%
"April 24, 2019",-6.86%
"April 23, 2019",-11.85%
"April 22, 2019",-15.26%
"April 18, 2019",-15.07%
"April 17, 2019",-14.29%
"April 16, 2019",-14.62%
"April 15, 2019",-13.22%
"April 12, 2019",-12.84%
"April 11, 2019",-11.33%
"April 10, 2019",-12.60%
"April 9, 2019",-16.12%
"April 8, 2019",-16.89%
"April 5, 2019",-19.38%
"April 4, 2019",-18.95%
"April 3, 2019",-16.77%
"April 2, 2019",-14.80%
"April 1, 2019",-18.26%
"March 29, 2019",-19.49%
"March 28, 2019",-19.78%
"March 27, 2019",-19.10%
"March 26, 2019",-22.95%
"March 25, 2019",-24.81%
"March 22, 2019",-25.11%
"March 21, 2019",-25.16%
"March 20, 2019",-26.86%
"March 19, 2019",-25.03%
"March 18, 2019",-26.38%
"March 15, 2019",-24.80%
"March 14, 2019",-25.20%
"March 13, 2019",-24.70%
"March 12, 2019",-25.14%
"March 11, 2019",-24.95%
"March 8, 2019",-25.93%
"March 7, 2019",-24.70%
"March 6, 2019",-23.41%
"March 5, 2019",-22.76%
"March 4, 2019",-22.22%
"March 1, 2019",-19.69%
"Feb. 28, 2019",-20.67%
"Feb. 27, 2019",-20.84%
"Feb. 26, 2019",-20.94%
"Feb. 25, 2019",-19.09%
"Feb. 22, 2019",-17.41%
"Feb. 21, 2019",-15.67%
"Feb. 20, 2019",-12.29%
"Feb. 19, 2019",-11.67%
"Feb. 15, 2019",-11.53%
"Feb. 14, 2019",-10.23%
"Feb. 13, 2019",-9.57%
"Feb. 12, 2019",-9.96%
"Feb. 11, 2019",-8.20%
"Feb. 8, 2019",-8.52%
"Feb. 7, 2019",-11.21%
"Feb. 6, 2019",-10.86%
"Feb. 5, 2019",-9.33%
"Feb. 4, 2019",-11.46%
"Feb. 1, 2019",-14.47%
"Jan. 31, 2019",-13.76%
"Jan. 30, 2019",-11.09%
"Jan. 29, 2019",-10.65%
"Jan. 28, 2019",-11.41%
"Jan. 25, 2019",-14.40%
"Jan. 24, 2019",-17.82%
"Jan. 23, 2019",-23.48%
"Jan. 22, 2019",-23.11%
"Jan. 18, 2019",-21.71%
"Jan. 17, 2019",-22.27%
"Jan. 16, 2019",-22.20%
"Jan. 15, 2019",-25.16%
"Jan. 14, 2019",-25.21%
"Jan. 11, 2019",-22.78%
"Jan. 10, 2019",-20.57%
"Jan. 9, 2019",-19.75%
"Jan. 8, 2019",-20.82%
"Jan. 7, 2019",-21.94%
"Jan. 4, 2019",-23.70%
"Jan. 3, 2019",-26.22%
"Jan. 2, 2019",-27.61%
"Dec. 31, 2018",-28.11%
"Dec. 28, 2018",-29.02%
"Dec. 27, 2018",-28.93%
"Dec. 26, 2018",-28.83%
"Dec. 24, 2018",-32.31%
"Dec. 21, 2018",-30.76%
"Dec. 20, 2018",-26.50%
"Dec. 19, 2018",-23.16%
"Dec. 18, 2018",-23.05%
"Dec. 17, 2018",-22.40%
"Dec. 14, 2018",-20.54%
"Dec. 13, 2018",-19.64%
"Dec. 12, 2018",-18.25%
"Dec. 11, 2018",-19.24%
"Dec. 10, 2018",-18.70%
"Dec. 7, 2018",-18.20%
"Dec. 6, 2018",-12.81%
"Dec. 4, 2018",-14.70%
"Dec. 3, 2018",-9.71%
"Nov. 30, 2018",-9.08%
"Nov. 29, 2018",-9.21%
"Nov. 28, 2018",-5.42%
"Nov. 27, 2018",-4.98%
"Nov. 26, 2018",-6.75%
"Nov. 23, 2018",-7.79%
"Nov. 21, 2018",-9.66%
"Nov. 20, 2018",-11.02%
"Nov. 19, 2018",-11.31%
"Nov. 16, 2018",-11.01%
"Nov. 15, 2018",-9.83%
"Nov. 14, 2018",-7.44%
"Nov. 13, 2018",-3.90%
"Nov. 12, 2018",-5.27%
"Nov. 9, 2018",-3.88%
"Nov. 8, 2018",-3.03%
"Nov. 7, 2018",-3.81%
"Nov. 6, 2018",-7.56%
"Nov. 5, 2018",-6.93%
"Nov. 2, 2018",-6.66%
"Nov. 1, 2018",-9.08%
"Oct. 31, 2018",-12.64%
"Oct. 30, 2018",-9.82%
"Oct. 29, 2018",-16.62%
"Oct. 26, 2018",-16.90%
"Oct. 25, 2018",-16.58%
"Oct. 24, 2018",-23.28%
"Oct. 23, 2018",-16.35%
"Oct. 22, 2018",-18.57%
"Oct. 19, 2018",-18.78%
"Oct. 18, 2018",-18.58%
"Oct. 17, 2018",-16.40%
"Oct. 16, 2018",-16.70%
"Oct. 15, 2018",-19.10%
"Oct. 12, 2018",-19.57%
"Oct. 11, 2018",-21.04%
"Oct. 10, 2018",-17.80%
"Oct. 9, 2018",-10.83%
"Oct. 8, 2018",-8.45%
"Oct. 5, 2018",-6.17%
"Oct. 4, 2018",-4.40%
"Oct. 3, 2018",-6.51%
"Oct. 2, 2018",2.27%
"Oct. 1, 2018",2.48%
"Sept. 28, 2018",4.59%
"Sept. 27, 2018",4.47%
"Sept. 26, 2018",2.51%
"Sept. 25, 2018",2.28%
"Sept. 24, 2018",4.67%
"Sept. 21, 2018",5.24%
"Sept. 20, 2018",3.43%
"Sept. 19, 2018",4.46%
"Sept. 18, 2018",3.03%
"Sept. 17, 2018",1.34%
"Sept. 14, 2018",-0.98%
"Sept. 13, 2018",-0.67%
"Sept. 12, 2018",-4.10%
"Sept. 11, 2018",-1.75%
"Sept. 10, 2018",1.71%
"Sept. 7, 2018",3.01%
"Sept. 6, 2018",0.58%
"Sept. 5, 2018",-0.47%
"Sept. 4, 2018",-3.03%
"Aug. 31, 2018",-3.68%
"Aug. 30, 2018",-2.84%
"Aug. 29, 2018",-2.54%
"Aug. 28, 2018",-2.96%
"Aug. 27, 2018",-6.25%
"Aug. 24, 2018",-3.67%
"Aug. 23, 2018",-3.77%
"Aug. 22, 2018",-6.65%
"Aug. 21, 2018",-4.46%
"Aug. 20, 2018",-5.03%
"Aug. 17, 2018",-8.25%
"Aug. 16, 2018",-14.44%
"Aug. 15, 2018",-15.22%
"Aug. 14, 2018",-15.46%
"Aug. 13, 2018",-14.77%
"Aug. 10, 2018",-14.03%
"Aug. 9, 2018",-15.33%
"Aug. 8, 2018",-15.36%
"Aug. 7, 2018",-17.75%
"Aug. 6, 2018",-18.19%
"Aug. 3, 2018",-17.53%
"Aug. 2, 2018",-19.52%
"Aug. 1, 2018",-20.15%
"July 31, 2018",-17.92%
"July 30, 2018",-18.81%
"July 27, 2018",-16.86%
"July 26, 2018",-18.53%
"July 25, 2018",-24.37%
"July 24, 2018",-21.84%
"July 23, 2018",-15.52%
"July 20, 2018",-14.96%
"July 19, 2018",-15.00%
"July 18, 2018",-14.14%
"July 17, 2018",-17.02%
"July 16, 2018",-17.20%
"July 13, 2018",-18.82%
"July 12, 2018",-17.78%
"July 11, 2018",-15.87%
"July 10, 2018",-15.62%
"July 9, 2018",-15.92%
"July 6, 2018",-14.99%
"July 5, 2018",-16.32%
"July 3, 2018",-16.94%
"July 2, 2018",-16.34%
"June 29, 2018",-16.94%
"June 28, 2018",-17.86%
"June 27, 2018",-16.69%
"June 26, 2018",-17.18%
"June 25, 2018",-16.12%
"June 22, 2018",-15.00%
"June 21, 2018",-14.51%
"June 20, 2018",-15.35%
"June 19, 2018",-17.23%
"June 18, 2018",-15.84%
"June 15, 2018",-16.67%
"June 14, 2018",-18.49%
"June 13, 2018",-17.61%
"June 12, 2018",-16.97%
"June 11, 2018",-16.21%
"June 8, 2018",-17.26%
"June 7, 2018",-18.43%
"June 6, 2018",-17.02%
"June 5, 2018",-17.06%
"June 4, 2018",-16.37%
"June 1, 2018",-17.13%
"May 31, 2018",-15.74%
"May 30, 2018",-15.61%
"May 29, 2018",-16.34%
"May 25, 2018",-14.91%
"May 24, 2018",-14.89%
"May 23, 2018",-15.44%
"May 22, 2018",-12.42%
"May 21, 2018",-9.87%
"May 18, 2018",-9.38%
"May 17, 2018",-7.82%
"May 16, 2018",-9.48%
"May 15, 2018",-10.58%
"May 14, 2018",-11.12%
"May 11, 2018",-12.05%
"May 10, 2018",-13.04%
"May 9, 2018",-14.33%
"May 8, 2018",-10.09%
"May 7, 2018",-10.51%
"May 4, 2018",-10.12%
"May 3, 2018",-12.28%
"May 2, 2018",-12.33%
"May 1, 2018",-10.08%
"April 30, 2018",-12.09%
"April 27, 2018",-12.92%
"April 26, 2018",-13.84%
"April 25, 2018",-14.69%
"April 24, 2018",-10.21%
"April 23, 2018",-7.52%
"April 20, 2018",-7.15%
"April 19, 2018",-7.26%
"April 18, 2018",-3.94%
"April 17, 2018",-5.31%
"April 16, 2018",-4.63%
"April 13, 2018",-5.89%
"April 12, 2018",-7.78%
"April 11, 2018",-10.26%
"April 10, 2018",-8.89%
"April 9, 2018",-7.68%
"April 6, 2018",-4.59%
"April 5, 2018",0.34%
"April 4, 2018",-0.15%
"April 3, 2018",-2.37%
"April 2, 2018",-4.27%
"March 29, 2018",-1.55%
"March 28, 2018",-3.12%
"March 27, 2018",-1.68%
"March 26, 2018",2.71%
"March 23, 2018",4.62%
"March 22, 2018",7.42%
"March 21, 2018",10.22%
"March 20, 2018",9.91%
