date,free_cash_flow
"Dec. 31, 2019",-228.00M
"Sept. 30, 2019",23.00M
"June 30, 2019",242.00M
"March 31, 2019",256.00M
"Dec. 31, 2018",-177.00M
"Sept. 30, 2018",-53.00M
"June 30, 2018",29.00M
"March 31, 2018",287.00M
"Dec. 31, 2017",-94.00M
"Sept. 30, 2017",-17.00M
"June 30, 2017",141.00M
"March 31, 2017",147.00M
"Dec. 31, 2016",-98.00M
"Sept. 30, 2016",29.00M
"June 30, 2016",271.00M
"March 31, 2016",419.00M
"Dec. 31, 2015",-85.00M
"Sept. 30, 2015",258.00M
"June 30, 2015",124.00M
"March 31, 2015",360.00M
"Dec. 31, 2014",-72.00M
"Sept. 30, 2014",-34.00M
"June 30, 2014",29.00M
"March 31, 2014",132.00M
"Dec. 31, 2013",-89.00M
"Sept. 30, 2013",85.00M
"June 30, 2013",3.00M
"March 31, 2013",122.00M
"Dec. 31, 2012",-253.00M
"Sept. 30, 2012",-20.00M
"June 30, 2012",36.00M
"March 31, 2012",108.00M
"Dec. 31, 2011",-58.00M
"Sept. 30, 2011",-33.00M
"June 30, 2011",70.00M
"March 31, 2011",108.00M
"Dec. 31, 2010",-36.00M
"Sept. 30, 2010",49.00M
"June 30, 2010",18.00M
"March 31, 2010",179.00M
"Dec. 31, 2009",54.00M
"Sept. 30, 2009",98.00M
"June 30, 2009",-42.00M
"March 31, 2009",-90.00M
"Dec. 31, 2008",-286.00M
"Sept. 30, 2008",-121.00M
"June 30, 2008",-132.00M
"March 31, 2008",-181.00M
"Dec. 31, 2007",-54.00M
"Sept. 30, 2007",-101.00M
"June 30, 2007",-135.00M
"March 31, 2007",-97.00M
"Dec. 31, 2006",-180.00M
"Sept. 30, 2006",-178.00M
"June 30, 2006",-335.00M
"March 31, 2006",-241.00M
"Dec. 31, 2005",-333.00M
"Sept. 30, 2005",-356.00M
"June 30, 2005",-224.00M
"March 31, 2005",-200.00M
"Dec. 31, 2004",-247.02M
"Sept. 30, 2004",-182.74M
"June 30, 2004",-180.84M
"March 31, 2004",-167.40M
"Dec. 31, 2003",88.82M
"Sept. 30, 2003",-43.98M
"June 30, 2003",-192.07M
"March 31, 2003",-138.78M
"Dec. 31, 2002",497.98M
"Sept. 30, 2002",-166.34M
"June 30, 2002",91.39M
"March 31, 2002",-206.03M
