date,operating_margin_ttm
"Dec. 31, 2019",10.06%
"Sept. 30, 2019",10.05%
"June 30, 2019",9.43%
"March 31, 2019",8.55%
"Dec. 31, 2018",9.17%
"Sept. 30, 2018",8.75%
"June 30, 2018",10.69%
"March 31, 2018",13.34%
"Dec. 31, 2017",13.88%
"Sept. 30, 2017",15.29%
"June 30, 2017",16.08%
"March 31, 2017",16.03%
"Dec. 31, 2016",19.14%
"Sept. 30, 2016",20.44%
"June 30, 2016",20.54%
"March 31, 2016",20.16%
"Dec. 31, 2015",18.95%
"Sept. 30, 2015",16.83%
"June 30, 2015",14.21%
"March 31, 2015",12.13%
"Dec. 31, 2014",8.85%
"Sept. 30, 2014",8.04%
"June 30, 2014",7.95%
"March 31, 2014",7.47%
"Dec. 31, 2013",7.87%
"Sept. 30, 2013",6.77%
"June 30, 2013",6.19%
"March 31, 2013",6.81%
"Dec. 31, 2012",7.55%
"Sept. 30, 2012",8.41%
"June 30, 2012",8.50%
"March 31, 2012",7.80%
"Dec. 31, 2011",7.15%
"Sept. 30, 2011",6.84%
"June 30, 2011",7.89%
"March 31, 2011",8.55%
"Dec. 31, 2010",8.81%
"Sept. 30, 2010",13.89%
"June 30, 2010",17.44%
"March 31, 2010",22.68%
"Dec. 31, 2009",29.12%
"Sept. 30, 2009",28.55%
"June 30, 2009",26.68%
"March 31, 2009",24.34%
"Dec. 31, 2008",22.58%
"Sept. 30, 2008",22.32%
"June 30, 2008",24.50%
"March 31, 2008",26.98%
"Dec. 31, 2007",22.06%
"Sept. 30, 2007",18.60%
"June 30, 2007",12.27%
"March 31, 2007",5.60%
"Dec. 31, 2006",5.37%
"Sept. 30, 2006",46.97%
"June 30, 2006",49.73%
"March 31, 2006",54.35%
"Dec. 31, 2005",61.02%
"Sept. 30, 2005",-11.46%
"June 30, 2005",-30.05%
"March 31, 2005",-32.11%
"Dec. 31, 2004",-51.54%
"Sept. 30, 2004",-60.33%
"June 30, 2004",-47.66%
"March 31, 2004",-50.96%
"Dec. 31, 2003",-31.75%
"Sept. 30, 2003",4.79%
"June 30, 2003",16.45%
"March 31, 2003",16.15%
"Dec. 31, 2002",0.67%
