date,shares_outstanding
"Feb. 24, 2020",275.60M
"Jan. 31, 2020",282.20M
"Dec. 31, 2019",282.00M
"Nov. 22, 2019",281.79M
"Sept. 30, 2019",288.69M
"Sept. 6, 2019",290.27M
"June 30, 2019",296.27M
"March 31, 2019",300.95M
"March 21, 2019",300.95M
"March 12, 2019",300.43M
"Jan. 31, 2019",306.53M
"Dec. 31, 2018",306.00M
"Sept. 30, 2018",304.79M
"Aug. 2, 2018",307.15M
"June 30, 2018",312.85M
"March 31, 2018",316.50M
"March 23, 2018",317.57M
"Jan. 31, 2018",321.86M
"Dec. 31, 2017",321.00M
"Sept. 30, 2017",320.65M
"Sept. 12, 2017",323.60M
"June 30, 2017",328.90M
"March 31, 2017",333.67M
"March 24, 2017",333.57M
"Jan. 31, 2017",337.04M
"Dec. 31, 2016",337.00M
"Sept. 30, 2016",323.73M
"June 30, 2016",323.63M
"March 31, 2016",322.15M
"March 21, 2016",322.05M
"Jan. 31, 2016",321.08M
"Dec. 31, 2015",322.00M
"Sept. 30, 2015",315.06M
"June 30, 2015",314.81M
"March 31, 2015",313.26M
"March 27, 2015",313.24M
"Jan. 30, 2015",310.86M
"Dec. 31, 2014",309.87M
"Sept. 30, 2014",291.81M
"June 30, 2014",291.86M
"March 31, 2014",296.79M
"March 26, 2014",296.79M
"Jan. 31, 2014",295.63M
"Dec. 31, 2013",295.59M
"Sept. 30, 2013",282.34M
"July 31, 2013",282.33M
"June 30, 2013",282.33M
"April 30, 2013",282.13M
"March 31, 2013",281.52M
"March 15, 2013",281.52M
"Jan. 31, 2013",280.75M
"Dec. 31, 2012",281.01M
"Sept. 30, 2012",284.30M
"June 30, 2012",284.26M
"March 31, 2012",283.25M
"March 15, 2012",283.25M
"Jan. 31, 2012",282.07M
"Dec. 31, 2011",281.78M
"Sept. 30, 2011",297.16M
"June 30, 2011",296.88M
"March 31, 2011",295.83M
"Jan. 31, 2011",294.75M
"Dec. 31, 2010",294.69M
"Sept. 30, 2010",293.85M
"June 30, 2010",293.60M
"March 31, 2010",292.54M
"March 25, 2010",292.53M
"Jan. 31, 2010",291.72M
"Dec. 31, 2009",291.49M
"Sept. 30, 2009",290.31M
"June 30, 2009",300.12M
"March 31, 2009",272.83M
"March 17, 2009",272.82M
"Jan. 31, 2009",271.81M
"Dec. 31, 2008",271.76M
"Sept. 30, 2008",271.12M
"June 30, 2008",270.66M
"March 31, 2008",224.31M
"March 24, 2008",224.30M
"Jan. 31, 2008",224.23M
"Dec. 31, 2007",181.59M
"Sept. 30, 2007",180.27M
"June 30, 2007",180.03M
"March 31, 2007",178.55M
"March 16, 2007",178.49M
"Jan. 31, 2007",178.18M
"Dec. 31, 2006",177.61M
"Sept. 30, 2006",175.71M
"June 30, 2006",175.47M
"March 31, 2006",173.71M
"Jan. 31, 2006",173.02M
"Dec. 31, 2005",172.62M
"Sept. 30, 2005",158.25M
"June 30, 2005",157.88M
"April 5, 2005",156.63M
"March 31, 2005",156.71M
"Jan. 31, 2005",156.52M
"Dec. 31, 2004",156.35M
"Sept. 30, 2004",155.40M
"June 30, 2004",155.04M
"April 12, 2004",153.76M
"March 31, 2004",153.70M
"Jan. 31, 2004",153.25M
"Dec. 31, 2003",153.10M
"Sept. 30, 2003",152.15M
"June 30, 2003",144.80M
"March 31, 2003",143.76M
"Jan. 31, 2003",143.52M
"Dec. 31, 2002",143.46M
"Oct. 31, 2002",142.87M
"Sept. 30, 2002",142.19M
"June 30, 2002",141.90M
"April 12, 2002",138.19M
