date,return_on_equity
"Dec. 31, 2019",12.08%
"Sept. 30, 2019",12.47%
"June 30, 2019",9.64%
"March 31, 2019",3.08%
"Dec. 31, 2018",4.11%
"Sept. 30, 2018",15.34%
"June 30, 2018",18.53%
"March 31, 2018",26.52%
"Dec. 31, 2017",27.20%
"Sept. 30, 2017",15.20%
"June 30, 2017",16.04%
"March 31, 2017",15.92%
"Dec. 31, 2016",20.05%
"Sept. 30, 2016",22.68%
"June 30, 2016",24.13%
"March 31, 2016",24.66%
"Dec. 31, 2015",23.74%
"Sept. 30, 2015",21.40%
"June 30, 2015",17.91%
"March 31, 2015",22.11%
"Dec. 31, 2014",17.43%
"Sept. 30, 2014",16.38%
"June 30, 2014",16.71%
"March 31, 2014",7.81%
"Dec. 31, 2013",8.51%
"Sept. 30, 2013",6.33%
"June 30, 2013",5.07%
"March 31, 2013",6.00%
"Dec. 31, 2012",6.96%
"Sept. 30, 2012",8.32%
"June 30, 2012",7.96%
"March 31, 2012",6.55%
"Dec. 31, 2011",5.07%
"Sept. 30, 2011",4.25%
"June 30, 2011",5.79%
"March 31, 2011",6.28%
"Dec. 31, 2010",6.13%
"Sept. 30, 2010",6.44%
"June 30, 2010",3.67%
"March 31, 2010",3.05%
"Dec. 31, 2009",4.08%
"Sept. 30, 2009",-0.80%
"June 30, 2009",-2.53%
"March 31, 2009",-4.80%
"Dec. 31, 2008",-6.76%
"Sept. 30, 2008",-2.56%
"June 30, 2008",0.00%
"March 31, 2008",2.81%
"Dec. 31, 2007",1.81%
"Sept. 30, 2007",4.02%
"June 30, 2007",1.69%
"March 31, 2007",0.97%
"Dec. 31, 2006",-0.11%
"Sept. 30, 2006",-6.78%
"June 30, 2006",-6.64%
"March 31, 2006",-6.99%
"Dec. 31, 2005",-2.49%
"Sept. 30, 2005",3.02%
"June 30, 2005",3.74%
"March 31, 2005",4.98%
"Dec. 31, 2004",6.40%
"Sept. 30, 2004",9.09%
"June 30, 2004",13.12%
"March 31, 2004",17.29%
"Dec. 31, 2003",19.52%
"Sept. 30, 2003",21.10%
"June 30, 2003",19.71%
"March 31, 2003",18.62%
"Dec. 31, 2002",18.96%
