date,market_cap
"June 10, 2019",5.492B
"June 7, 2019",5.507B
"June 6, 2019",5.393B
"June 5, 2019",5.456B
"June 4, 2019",5.360B
"June 3, 2019",5.188B
"May 31, 2019",5.185B
"May 30, 2019",5.224B
"May 29, 2019",5.152B
"May 28, 2019",5.179B
"May 24, 2019",5.258B
"May 23, 2019",5.291B
"May 22, 2019",5.285B
"May 21, 2019",5.378B
"May 20, 2019",5.288B
"May 17, 2019",5.360B
"May 16, 2019",5.369B
"May 15, 2019",5.366B
"May 14, 2019",5.408B
"May 13, 2019",5.300B
"May 10, 2019",5.510B
"May 9, 2019",5.519B
"May 8, 2019",5.549B
"May 7, 2019",5.574B
"May 6, 2019",5.631B
"May 3, 2019",5.631B
"May 2, 2019",5.607B
"May 1, 2019",5.607B
"April 30, 2019",5.583B
"April 29, 2019",5.492B
"April 26, 2019",5.453B
"April 25, 2019",5.426B
"April 24, 2019",5.474B
"April 23, 2019",5.282B
"April 22, 2019",5.065B
"April 18, 2019",5.104B
"April 17, 2019",5.110B
"April 16, 2019",5.080B
"April 15, 2019",5.095B
"April 12, 2019",5.128B
"April 11, 2019",5.158B
"April 10, 2019",5.092B
"April 9, 2019",4.917B
"April 8, 2019",4.990B
"April 5, 2019",5.008B
"April 4, 2019",4.996B
"April 3, 2019",5.047B
"April 2, 2019",5.059B
"April 1, 2019",4.999B
"March 29, 2019",4.923B
"March 28, 2019",4.869B
"March 27, 2019",4.857B
"March 26, 2019",4.749B
"March 25, 2019",4.716B
"March 22, 2019",4.794B
"March 21, 2019",4.905B
"March 20, 2019",4.900B
"March 19, 2019",4.993B
"March 18, 2019",4.996B
"March 15, 2019",5.029B
"March 14, 2019",5.020B
"March 13, 2019",5.056B
"March 12, 2019",4.957B
"March 11, 2019",5.061B
"March 8, 2019",4.929B
"March 7, 2019",4.963B
"March 6, 2019",5.033B
"March 5, 2019",5.036B
"March 4, 2019",5.076B
"March 1, 2019",5.190B
"Feb. 28, 2019",5.119B
"Feb. 27, 2019",5.180B
"Feb. 26, 2019",5.266B
"Feb. 25, 2019",5.288B
"Feb. 22, 2019",5.279B
"Feb. 21, 2019",5.361B
"Feb. 20, 2019",5.383B
"Feb. 19, 2019",5.496B
"Feb. 15, 2019",5.505B
"Feb. 14, 2019",5.542B
"Feb. 13, 2019",5.533B
"Feb. 12, 2019",5.484B
"Feb. 11, 2019",5.597B
"Feb. 8, 2019",5.561B
"Feb. 7, 2019",5.548B
"Feb. 6, 2019",5.561B
"Feb. 5, 2019",5.508B
"Feb. 4, 2019",5.518B
"Feb. 1, 2019",5.490B
"Jan. 31, 2019",5.515B
"Jan. 30, 2019",5.618B
"Jan. 29, 2019",5.545B
"Jan. 28, 2019",5.557B
"Jan. 25, 2019",5.419B
"Jan. 24, 2019",5.545B
"Jan. 23, 2019",5.275B
"Jan. 22, 2019",5.315B
"Jan. 18, 2019",5.386B
"Jan. 17, 2019",5.340B
"Jan. 16, 2019",5.309B
"Jan. 15, 2019",5.251B
"Jan. 14, 2019",5.248B
"Jan. 11, 2019",5.278B
"Jan. 10, 2019",5.248B
"Jan. 9, 2019",5.272B
"Jan. 8, 2019",5.156B
"Jan. 7, 2019",5.107B
"Jan. 4, 2019",5.064B
"Jan. 3, 2019",4.875B
"Jan. 2, 2019",4.957B
"Dec. 31, 2018",4.914B
"Dec. 28, 2018",4.877B
"Dec. 27, 2018",4.874B
"Dec. 26, 2018",4.898B
"Dec. 24, 2018",4.630B
"Dec. 21, 2018",4.733B
"Dec. 20, 2018",4.919B
"Dec. 19, 2018",5.056B
"Dec. 18, 2018",5.117B
"Dec. 17, 2018",5.035B
"Dec. 14, 2018",5.130B
"Dec. 13, 2018",5.264B
"Dec. 12, 2018",5.379B
"Dec. 11, 2018",5.462B
"Dec. 10, 2018",5.471B
"Dec. 7, 2018",5.453B
"Dec. 6, 2018",5.745B
"Dec. 4, 2018",5.712B
"Dec. 3, 2018",5.864B
"Nov. 30, 2018",5.949B
"Nov. 29, 2018",5.800B
"Nov. 28, 2018",5.800B
"Nov. 27, 2018",5.700B
"Nov. 26, 2018",5.639B
"Nov. 23, 2018",5.593B
"Nov. 21, 2018",5.501B
"Nov. 20, 2018",5.364B
"Nov. 19, 2018",5.404B
"Nov. 16, 2018",5.495B
"Nov. 15, 2018",5.538B
"Nov. 14, 2018",5.538B
"Nov. 13, 2018",5.550B
"Nov. 12, 2018",5.483B
"Nov. 9, 2018",5.517B
"Nov. 8, 2018",5.556B
"Nov. 7, 2018",5.547B
"Nov. 6, 2018",5.443B
"Nov. 5, 2018",5.443B
"Nov. 2, 2018",5.383B
"Nov. 1, 2018",5.251B
"Oct. 31, 2018",5.099B
"Oct. 30, 2018",5.206B
"Oct. 29, 2018",4.925B
"Oct. 26, 2018",4.962B
"Oct. 25, 2018",5.014B
"Oct. 24, 2018",4.822B
"Oct. 23, 2018",5.069B
"Oct. 22, 2018",5.050B
"Oct. 19, 2018",5.035B
