date,revenues_growth
"Dec. 31, 2019",3.20%
"Sept. 30, 2019",3.88%
"June 30, 2019",9.18%
"March 31, 2019",6.67%
"Dec. 31, 2018",11.95%
"Sept. 30, 2018",10.45%
"June 30, 2018",5.01%
"March 31, 2018",9.62%
"Dec. 31, 2017",10.36%
"Sept. 30, 2017",4.97%
"June 30, 2017",11.75%
"March 31, 2017",-0.99%
"Dec. 31, 2016",-0.06%
"Sept. 30, 2016",2.67%
"June 30, 2016",1.92%
"March 31, 2016",6.11%
"Dec. 31, 2015",10.24%
"Sept. 30, 2015",10.33%
"June 30, 2015",7.97%
"March 31, 2015",12.90%
"Dec. 31, 2014",5.93%
"Sept. 30, 2014",6.03%
"June 30, 2014",11.84%
"March 31, 2014",3.85%
"Dec. 31, 2013",14.32%
"Sept. 30, 2013",10.24%
"June 30, 2013",4.54%
"March 31, 2013",7.98%
"Dec. 31, 2012",4.19%
"Sept. 30, 2012",9.46%
"June 30, 2012",10.95%
"March 31, 2012",18.87%
"Dec. 31, 2011",22.17%
"Sept. 30, 2011",16.02%
"June 30, 2011",22.45%
"March 31, 2011",16.19%
"Dec. 31, 2010",12.74%
"Sept. 30, 2010",20.61%
"June 30, 2010",16.48%
"March 31, 2010",9.84%
"Dec. 31, 2009",2.59%
"Sept. 30, 2009",-5.32%
"June 30, 2009",-6.05%
"March 31, 2009",-2.82%
"Dec. 31, 2008",9.74%
"Sept. 30, 2008",17.91%
"June 30, 2008",17.67%
"March 31, 2008",34.21%
"Dec. 31, 2007",16.75%
"Sept. 30, 2007",21.82%
"June 30, 2007",19.28%
"March 31, 2007",24.08%
"Dec. 31, 2006",41.93%
"Sept. 30, 2006",38.63%
"June 30, 2006",42.66%
"March 31, 2006",31.37%
"Dec. 31, 2005",33.85%
"Sept. 30, 2005",40.22%
"June 30, 2005",34.18%
"March 31, 2005",29.06%
"Dec. 31, 2004",26.89%
"Sept. 30, 2004",18.09%
"June 30, 2004",30.66%
"March 31, 2004",33.10%
"Dec. 31, 2003",40.37%
"Sept. 30, 2003",65.54%
"June 30, 2003",63.90%
"March 31, 2003",62.80%
