date,graham_number
"Dec. 31, 2019",27.11
"Sept. 30, 2019",26.63
"June 30, 2019",22.66
"March 31, 2019",12.59
"Dec. 31, 2018",14.38
"Sept. 30, 2018",26.03
"June 30, 2018",28.21
"March 31, 2018",34.09
"Dec. 31, 2017",33.78
"Sept. 30, 2017",23.55
"June 30, 2017",23.27
"March 31, 2017",22.32
"Dec. 31, 2016",24.39
"Sept. 30, 2016",24.69
"June 30, 2016",24.03
"March 31, 2016",22.85
"Dec. 31, 2015",21.07
"Sept. 30, 2015",19.03
"June 30, 2015",16.36
"March 31, 2015",17.53
"Dec. 31, 2014",14.78
"Sept. 30, 2014",14.03
"June 30, 2014",13.62
"March 31, 2014",8.724
"Dec. 31, 2013",9.102
"Sept. 30, 2013",7.750
"June 30, 2013",6.836
"March 31, 2013",7.321
"Dec. 31, 2012",7.713
"Sept. 30, 2012",8.323
"June 30, 2012",7.916
"March 31, 2012",7.076
"Dec. 31, 2011",6.155
"Sept. 30, 2011",5.452
"June 30, 2011",6.199
"March 31, 2011",6.389
"Dec. 31, 2010",6.257
"Sept. 30, 2010",6.306
"June 30, 2010",4.760
"March 31, 2010",4.345
"Dec. 31, 2009",4.995
"Sept. 30, 2009",
"June 30, 2009",
"March 31, 2009",
"Dec. 31, 2008",
"Sept. 30, 2008",
"June 30, 2008",1.070
"March 31, 2008",4.618
"Dec. 31, 2007",3.399
"Sept. 30, 2007",5.234
"June 30, 2007",3.422
"March 31, 2007",2.790
"Dec. 31, 2006",0.726
"Sept. 30, 2006",
"June 30, 2006",
"March 31, 2006",
"Dec. 31, 2005",
"Sept. 30, 2005",4.141
"June 30, 2005",4.499
"March 31, 2005",5.012
"Dec. 31, 2004",5.512
"Sept. 30, 2004",6.376
"June 30, 2004",7.286
"March 31, 2004",7.887
"Dec. 31, 2003",7.897
"Sept. 30, 2003",7.662
"June 30, 2003",6.276
"March 31, 2003",5.111
"Dec. 31, 2002",4.926
