date,book_value_of_tangible_equity_per_share
"Dec. 31, 2019",17.02
"Sept. 30, 2019",16.50
"June 30, 2019",15.85
"March 31, 2019",15.31
"Dec. 31, 2018",15.31
"Sept. 30, 2018",14.48
"June 30, 2018",14.32
"March 31, 2018",14.84
"Dec. 31, 2017",14.74
"Sept. 30, 2017",12.91
"June 30, 2017",12.40
"March 31, 2017",11.96
"Dec. 31, 2016",11.91
"Sept. 30, 2016",11.88
"June 30, 2016",11.26
"March 31, 2016",10.60
"Dec. 31, 2015",9.969
"Sept. 30, 2015",9.576
"June 30, 2015",8.872
"March 31, 2015",8.648
"Dec. 31, 2014",8.162
"Sept. 30, 2014",8.176
"June 30, 2014",7.932
"March 31, 2014",7.197
"Dec. 31, 2013",7.220
"Sept. 30, 2013",7.147
"June 30, 2013",6.843
"March 31, 2013",6.738
"Dec. 31, 2012",6.719
"Sept. 30, 2012",6.694
"June 30, 2012",6.476
"March 31, 2012",6.358
"Dec. 31, 2011",6.235
"Sept. 30, 2011",5.744
"June 30, 2011",5.692
"March 31, 2011",5.669
"Dec. 31, 2010",5.613
"Sept. 30, 2010",5.523
"June 30, 2010",5.300
"March 31, 2010",5.244
"Dec. 31, 2009",5.280
"Sept. 30, 2009",5.205
"June 30, 2009",4.945
"March 31, 2009",4.809
"Dec. 31, 2008",4.658
"Sept. 30, 2008",4.725
"June 30, 2008",5.091
"March 31, 2008",5.925
"Dec. 31, 2007",5.705
"Sept. 30, 2007",5.547
"June 30, 2007",5.366
"March 31, 2007",5.208
"Dec. 31, 2006",5.180
"Sept. 30, 2006",5.020
"June 30, 2006",5.021
"March 31, 2006",4.888
"Dec. 31, 2005",5.028
"Sept. 30, 2005",4.678
"June 30, 2005",4.687
"March 31, 2005",4.595
"Dec. 31, 2004",4.477
"Sept. 30, 2004",4.475
"June 30, 2004",4.340
"March 31, 2004",4.114
"Dec. 31, 2003",3.971
"Sept. 30, 2003",3.779
"June 30, 2003",2.864
"March 31, 2003",2.545
"Dec. 31, 2002",2.893
"Sept. 30, 2002",2.304
"June 30, 2002",2.659
