date,revenues_ttm
"Dec. 31, 2019",8.093B
"Sept. 30, 2019",8.03B
"June 30, 2019",7.952B
"March 31, 2019",7.775B
"Dec. 31, 2018",7.658B
"Sept. 30, 2018",7.448B
"June 30, 2018",7.258B
"March 31, 2018",7.166B
"Dec. 31, 2017",7.012B
"Sept. 30, 2017",6.847B
"June 30, 2017",6.761B
"March 31, 2017",6.568B
"Dec. 31, 2016",6.584B
"Sept. 30, 2016",6.585B
"June 30, 2016",6.54B
"March 31, 2016",6.509B
"Dec. 31, 2015",6.416B
"Sept. 30, 2015",6.268B
"June 30, 2015",6.11B
"March 31, 2015",5.991B
"Dec. 31, 2014",5.817B
"Sept. 30, 2014",5.736B
"June 30, 2014",5.649B
"March 31, 2014",5.491B
"Dec. 31, 2013",5.441B
"Sept. 30, 2013",5.27B
"June 30, 2013",5.136B
"March 31, 2013",5.078B
"Dec. 31, 2012",4.982B
"Sept. 30, 2012",4.934B
"June 30, 2012",4.821B
"March 31, 2012",4.695B
"Dec. 31, 2011",4.504B
"Sept. 30, 2011",4.296B
"June 30, 2011",4.131B
"March 31, 2011",3.92B
"Dec. 31, 2010",3.779B
"Sept. 30, 2010",3.673B
"June 30, 2010",3.497B
"March 31, 2010",3.364B
"Dec. 31, 2009",3.286B
"Sept. 30, 2009",3.265B
"June 30, 2009",3.313B
"March 31, 2009",3.365B
"Dec. 31, 2008",3.388B
"Sept. 30, 2008",3.316B
"June 30, 2008",3.179B
"March 31, 2008",3.05B
"Dec. 31, 2007",2.842B
"Sept. 30, 2007",2.736B
"June 30, 2007",2.599B
"March 31, 2007",2.481B
"Dec. 31, 2006",2.363B
"Sept. 30, 2006",2.176B
"June 30, 2006",2.001B
"March 31, 2006",1.818B
"Dec. 31, 2005",1.701B
"Sept. 30, 2005",1.588B
"June 30, 2005",1.458B
"March 31, 2005",1.349B
"Dec. 31, 2004",1.265B
"Sept. 30, 2004",1.194B
"June 30, 2004",1.145B
"March 31, 2004",1.070B
"Dec. 31, 2003",998.00M
"Sept. 30, 2003",922.47M
"June 30, 2003",814.16M
"March 31, 2003",718.76M
"Dec. 31, 2002",635.00M
