date,cash_investing_ttm
"Dec. 31, 2019",-1.129B
"Sept. 30, 2019",-959.00M
"June 30, 2019",-1.384B
"March 31, 2019",-1.237B
"Dec. 31, 2018",-1.157B
"Sept. 30, 2018",-1.159B
"June 30, 2018",-887.00M
"March 31, 2018",-801.00M
"Dec. 31, 2017",-979.00M
"Sept. 30, 2017",-1.011B
"June 30, 2017",-1.16B
"March 31, 2017",-1.223B
"Dec. 31, 2016",-1.046B
"Sept. 30, 2016",-1.001B
"June 30, 2016",-923.00M
"March 31, 2016",-987.00M
"Dec. 31, 2015",-1.134B
"Sept. 30, 2015",-1.029B
"June 30, 2015",-958.00M
"March 31, 2015",-570.00M
"Dec. 31, 2014",-379.00M
"Sept. 30, 2014",-249.00M
"June 30, 2014",-226.00M
"March 31, 2014",-520.00M
"Dec. 31, 2013",-476.00M
"Sept. 30, 2013",-759.00M
"June 30, 2013",-805.00M
"March 31, 2013",-698.00M
"Dec. 31, 2012",-867.00M
"Sept. 30, 2012",-605.00M
"June 30, 2012",-426.00M
"March 31, 2012",-488.00M
"Dec. 31, 2011",-502.00M
"Sept. 30, 2011",-382.00M
"June 30, 2011",-439.00M
"March 31, 2011",-769.00M
"Dec. 31, 2010",-696.00M
"Sept. 30, 2010",-795.00M
"June 30, 2010",-757.00M
"March 31, 2010",-423.00M
"Dec. 31, 2009",-457.00M
"Sept. 30, 2009",-341.00M
"June 30, 2009",-444.00M
"March 31, 2009",-450.00M
"Dec. 31, 2008",-247.00M
"Sept. 30, 2008",-371.00M
"June 30, 2008",-392.00M
"March 31, 2008",-347.00M
"Dec. 31, 2007",-734.00M
"Sept. 30, 2007",-1.01B
"June 30, 2007",-1.084B
"March 31, 2007",-1.384B
"Dec. 31, 2006",-1.307B
"Sept. 30, 2006",-1.325B
"June 30, 2006",-1.384B
"March 31, 2006",-1.148B
"Dec. 31, 2005",-1.276B
"Sept. 30, 2005",-1.036B
"June 30, 2005",-883.32M
"March 31, 2005",-862.68M
"Dec. 31, 2004",-720.00M
"Sept. 30, 2004",-1.028B
"June 30, 2004",-1.018B
"March 31, 2004",-1.080B
"Dec. 31, 2003",-987.00M
"Sept. 30, 2003",-840.37M
"June 30, 2003",-962.92M
"March 31, 2003",-896.26M
"Dec. 31, 2002",-880.00M
