date,shareholders_equity
"Dec. 31, 2019",4.799B
"Sept. 30, 2019",4.764B
"June 30, 2019",4.697B
"March 31, 2019",4.607B
"Dec. 31, 2018",4.685B
"Sept. 30, 2018",4.414B
"June 30, 2018",4.481B
"March 31, 2018",4.697B
"Dec. 31, 2017",4.732B
"Sept. 30, 2017",4.139B
"June 30, 2017",4.08B
"March 31, 2017",3.992B
"Dec. 31, 2016",4.013B
"Sept. 30, 2016",3.846B
"June 30, 2016",3.644B
"March 31, 2016",3.414B
"Dec. 31, 2015",3.21B
"Sept. 30, 2015",3.017B
"June 30, 2015",2.793B
"March 31, 2015",2.709B
"Dec. 31, 2014",2.529B
"Sept. 30, 2014",2.386B
"June 30, 2014",2.315B
"March 31, 2014",2.136B
"Dec. 31, 2013",2.134B
"Sept. 30, 2013",2.018B
"June 30, 2013",1.932B
"March 31, 2013",1.897B
"Dec. 31, 2012",1.888B
"Sept. 30, 2012",1.903B
"June 30, 2012",1.841B
"March 31, 2012",1.801B
"Dec. 31, 2011",1.757B
"Sept. 30, 2011",1.707B
"June 30, 2011",1.69B
"March 31, 2011",1.677B
"Dec. 31, 2010",1.654B
"Sept. 30, 2010",1.623B
"June 30, 2010",1.556B
"March 31, 2010",1.534B
"Dec. 31, 2009",1.539B
"Sept. 30, 2009",1.511B
"June 30, 2009",1.484B
"March 31, 2009",1.312B
"Dec. 31, 2008",1.266B
"Sept. 30, 2008",1.281B
"June 30, 2008",1.378B
"March 31, 2008",1.329B
"Dec. 31, 2007",1.036B
"Sept. 30, 2007",1.024B
"June 30, 2007",993.00M
"March 31, 2007",960.00M
"Dec. 31, 2006",952.00M
"Sept. 30, 2006",917.00M
"June 30, 2006",918.00M
"March 31, 2006",889.00M
"Dec. 31, 2005",911.00M
"Sept. 30, 2005",786.62M
"June 30, 2005",789.04M
"March 31, 2005",771.86M
"Dec. 31, 2004",754.00M
"Sept. 30, 2004",752.11M
"June 30, 2004",731.67M
"March 31, 2004",692.84M
"Dec. 31, 2003",670.00M
"Sept. 30, 2003",639.54M
"June 30, 2003",480.59M
"March 31, 2003",433.07M
"Dec. 31, 2002",415.00M
"Sept. 30, 2002",392.12M
"June 30, 2002",377.29M
"March 31, 2002",-23.77M
