date,forward_ps_ratio
"March 19, 2020",0.2626
"March 18, 2020",0.2647
"March 17, 2020",0.329
"March 16, 2020",0.3667
"March 13, 2020",0.3864
"March 12, 2020",0.3971
"March 11, 2020",0.469
"March 10, 2020",0.5039
"March 9, 2020",0.4447
"March 6, 2020",0.454
"March 5, 2020",0.4534
"March 4, 2020",0.5034
"March 3, 2020",0.4815
"March 2, 2020",0.4995
"Feb. 28, 2020",0.5048
"Feb. 27, 2020",0.5186
"Feb. 26, 2020",0.5451
"Feb. 25, 2020",0.581
"Feb. 24, 2020",0.617
"Feb. 21, 2020",0.6719
"Feb. 20, 2020",0.6791
"Feb. 19, 2020",0.6784
"Feb. 18, 2020",0.6944
"Feb. 14, 2020",0.6934
"Feb. 13, 2020",0.7029
"Feb. 12, 2020",0.6888
"Feb. 11, 2020",0.6686
"Feb. 10, 2020",0.6526
"Feb. 7, 2020",0.65
"Feb. 6, 2020",0.6546
"Feb. 5, 2020",0.6745
"Feb. 4, 2020",0.6657
"Feb. 3, 2020",0.6526
"Jan. 31, 2020",0.6465
"Jan. 30, 2020",0.658
"Jan. 29, 2020",0.6496
"Jan. 28, 2020",0.6603
"Jan. 27, 2020",0.6528
"Jan. 24, 2020",0.6725
"Jan. 23, 2020",0.6864
"Jan. 22, 2020",0.6449
"Jan. 21, 2020",0.6206
"Jan. 17, 2020",0.6258
"Jan. 16, 2020",0.619
"Jan. 15, 2020",0.6092
"Jan. 14, 2020",0.6033
"Jan. 13, 2020",0.6059
"Jan. 10, 2020",0.6095
"Jan. 9, 2020",0.6095
"Jan. 8, 2020",0.6027
"Jan. 7, 2020",0.5997
"Jan. 6, 2020",0.602
"Jan. 3, 2020",0.6049
"Jan. 2, 2020",0.6154
"Dec. 31, 2019",0.6098
"Dec. 30, 2019",0.6511
"Dec. 27, 2019",0.6574
"Dec. 26, 2019",0.6647
"Dec. 24, 2019",0.6654
"Dec. 23, 2019",0.6681
"Dec. 20, 2019",0.6685
"Dec. 19, 2019",0.6574
"Dec. 18, 2019",0.6539
"Dec. 17, 2019",0.6601
"Dec. 16, 2019",0.6507
"Dec. 13, 2019",0.6466
"Dec. 12, 2019",0.6584
"Dec. 11, 2019",0.6518
"Dec. 10, 2019",0.6577
"Dec. 9, 2019",0.6587
"Dec. 6, 2019",0.6619
"Dec. 5, 2019",0.666
"Dec. 4, 2019",0.6723
"Dec. 3, 2019",0.6542
"Dec. 2, 2019",0.6681
"Nov. 29, 2019",0.6706
"Nov. 27, 2019",0.6702
"Nov. 26, 2019",0.6723
"Nov. 25, 2019",0.668
"Nov. 22, 2019",0.6598
"Nov. 21, 2019",0.6642
"Nov. 20, 2019",0.6781
"Nov. 19, 2019",0.6902
"Nov. 18, 2019",0.6941
"Nov. 15, 2019",0.6995
"Nov. 14, 2019",0.6977
"Nov. 13, 2019",0.698
"Nov. 12, 2019",0.6881
"Nov. 11, 2019",0.7045
"Nov. 8, 2019",0.6977
"Nov. 7, 2019",0.6979
"Nov. 6, 2019",0.7009
"Nov. 5, 2019",0.6995
"Nov. 4, 2019",0.6931
"Nov. 1, 2019",0.6945
"Oct. 31, 2019",0.6881
"Oct. 30, 2019",0.6938
"Oct. 29, 2019",0.6941
"Oct. 28, 2019",0.6856
"Oct. 25, 2019",0.6688
"Oct. 24, 2019",0.657
"Oct. 23, 2019",0.6731
"Oct. 22, 2019",0.6702
"Oct. 21, 2019",0.6246
"Oct. 18, 2019",0.6046
"Oct. 17, 2019",0.6128
"Oct. 16, 2019",0.6052
"Oct. 15, 2019",0.6109
"Oct. 14, 2019",0.6029
"Oct. 11, 2019",0.6007
"Oct. 10, 2019",0.6023
"Oct. 9, 2019",0.597
"Oct. 8, 2019",0.5898
"Oct. 7, 2019",0.5922
"Oct. 4, 2019",0.5832
"Oct. 3, 2019",0.5711
"Oct. 2, 2019",0.5747
"Oct. 1, 2019",0.5893
"Sept. 30, 2019",0.5972
"Sept. 27, 2019",0.6022
"Sept. 26, 2019",0.6072
"Sept. 25, 2019",0.6044
"Sept. 24, 2019",0.5961
"Sept. 23, 2019",0.6011
"Sept. 20, 2019",0.6065
"Sept. 19, 2019",0.6133
"Sept. 18, 2019",0.619
"Sept. 17, 2019",0.6144
"Sept. 16, 2019",0.6044
"Sept. 13, 2019",0.6233
"Sept. 12, 2019",0.6151
"Sept. 11, 2019",0.6208
"Sept. 10, 2019",0.6008
"Sept. 9, 2019",0.6104
"Sept. 6, 2019",0.5975
"Sept. 5, 2019",0.6044
"Sept. 4, 2019",0.5996
"Sept. 3, 2019",0.6282
"Aug. 30, 2019",0.6337
"Aug. 29, 2019",0.6348
"Aug. 28, 2019",0.6128
"Aug. 27, 2019",0.6055
"Aug. 26, 2019",0.6256
"Aug. 23, 2019",0.63
"Aug. 22, 2019",0.6589
"Aug. 21, 2019",0.6589
"Aug. 20, 2019",0.6567
"Aug. 19, 2019",0.671
"Aug. 16, 2019",0.6732
"Aug. 15, 2019",0.6593
"Aug. 14, 2019",0.6677
"Aug. 13, 2019",0.6871
"Aug. 12, 2019",0.6955
"Aug. 9, 2019",0.7116
"Aug. 8, 2019",0.7204
"Aug. 7, 2019",0.7083
"Aug. 6, 2019",0.6999
"Aug. 5, 2019",0.6911
"Aug. 2, 2019",0.6962
"Aug. 1, 2019",0.6999
"July 31, 2019",0.7036
"July 30, 2019",0.712
"July 29, 2019",0.7112
"July 26, 2019",0.709
"July 25, 2019",0.7142
"July 24, 2019",0.7156
"July 23, 2019",0.7054
"July 22, 2019",0.6937
"July 19, 2019",0.6918
