date,total_employee_number
"Dec. 31, 2019",21569
"Dec. 31, 2018",20892
"March 31, 2018",17530
"Dec. 31, 2017",19978
"Sept. 30, 2017",17051
"June 30, 2017",16841
"March 31, 2017",16722
"Dec. 31, 2016",18406
"Sept. 30, 2016",15521
"June 30, 2016",15297
"March 31, 2016",15204
"Sept. 30, 2014",13225
"June 30, 2014",13162
"March 31, 2014",13042
"Dec. 31, 2013",14883
"Sept. 30, 2013",12124
"June 30, 2013",12743
"March 31, 2013",12385
"Dec. 31, 2012",14347
"Sept. 30, 2012",11797
"June 30, 2012",12308
"March 31, 2012",11965
"Dec. 31, 2011",14022
"Sept. 30, 2011",11443
"June 30, 2011",11609
"March 31, 2011",11281
"Dec. 31, 2010",12948
"Sept. 30, 2010",10669
"June 30, 2010",10906
"March 31, 2010",11084
"Dec. 31, 2009",12532
"June 30, 2009",10235
"Dec. 31, 2008",11852
"Dec. 31, 2007",11632
"Dec. 31, 2006",10624
"Dec. 31, 2005",9248
"Dec. 31, 2004",7399
"Dec. 31, 2003",4704
"Dec. 31, 2002",3359
