date,return_on_invested_capital
"Dec. 31, 2019",8.83%
"Sept. 30, 2019",9.30%
"June 30, 2019",7.23%
"March 31, 2019",2.34%
"Dec. 31, 2018",3.16%
"Sept. 30, 2018",11.88%
"June 30, 2018",14.44%
"March 31, 2018",20.59%
"Dec. 31, 2017",20.78%
"Sept. 30, 2017",11.28%
"June 30, 2017",11.61%
"March 31, 2017",11.21%
"Dec. 31, 2016",13.69%
"Sept. 30, 2016",14.85%
"June 30, 2016",15.25%
"March 31, 2016",14.97%
"Dec. 31, 2015",13.81%
"Sept. 30, 2015",11.87%
"June 30, 2015",9.53%
"March 31, 2015",11.18%
"Dec. 31, 2014",8.46%
"Sept. 30, 2014",7.56%
"June 30, 2014",7.39%
"March 31, 2014",3.32%
"Dec. 31, 2013",3.53%
"Sept. 30, 2013",2.55%
"June 30, 2013",2.02%
"March 31, 2013",2.35%
"Dec. 31, 2012",2.67%
"Sept. 30, 2012",3.12%
"June 30, 2012",2.92%
"March 31, 2012",2.36%
"Dec. 31, 2011",1.80%
"Sept. 30, 2011",1.50%
"June 30, 2011",2.01%
"March 31, 2011",2.15%
"Dec. 31, 2010",2.06%
"Sept. 30, 2010",2.11%
"June 30, 2010",1.17%
"March 31, 2010",0.95%
"Dec. 31, 2009",1.23%
"Sept. 30, 2009",-0.24%
"June 30, 2009",-0.74%
"March 31, 2009",-1.40%
"Dec. 31, 2008",-1.93%
"Sept. 30, 2008",-0.72%
"June 30, 2008",0.00%
"March 31, 2008",0.74%
"Dec. 31, 2007",0.46%
"Sept. 30, 2007",1.02%
"June 30, 2007",0.43%
"March 31, 2007",0.25%
"Dec. 31, 2006",-0.03%
"Sept. 30, 2006",-1.84%
"June 30, 2006",-1.82%
"March 31, 2006",-1.95%
"Dec. 31, 2005",-0.72%
"Sept. 30, 2005",0.90%
"June 30, 2005",1.19%
"March 31, 2005",1.66%
"Dec. 31, 2004",2.26%
"Sept. 30, 2004",3.33%
"June 30, 2004",4.90%
"March 31, 2004",6.55%
"Dec. 31, 2003",8.31%
"Sept. 30, 2003",9.20%
"June 30, 2003",8.85%
"March 31, 2003",7.27%
"Dec. 31, 2002",7.47%
