date,capex_ttm
"Dec. 31, 2019",1.156B
"Sept. 30, 2019",1.13B
"June 30, 2019",1.178B
"March 31, 2019",1.075B
"Dec. 31, 2018",1.114B
"Sept. 30, 2018",1.068B
"June 30, 2018",1.024B
"March 31, 2018",1.12B
"Dec. 31, 2017",1.202B
"Sept. 30, 2017",1.208B
"June 30, 2017",1.278B
"March 31, 2017",1.13B
"Dec. 31, 2016",1.011B
"Sept. 30, 2016",987.00M
"June 30, 2016",852.00M
"March 31, 2016",939.00M
"Dec. 31, 2015",941.00M
"Sept. 30, 2015",812.00M
"June 30, 2015",883.00M
"March 31, 2015",835.00M
"Dec. 31, 2014",857.00M
"Sept. 30, 2014",879.00M
"June 30, 2014",740.00M
"March 31, 2014",744.00M
"Dec. 31, 2013",637.00M
"Sept. 30, 2013",765.00M
"June 30, 2013",758.00M
"March 31, 2013",726.00M
"Dec. 31, 2012",827.00M
"Sept. 30, 2012",589.00M
"June 30, 2012",645.00M
"March 31, 2012",588.00M
"Dec. 31, 2011",527.00M
"Sept. 30, 2011",424.00M
"June 30, 2011",382.00M
"March 31, 2011",386.00M
"Dec. 31, 2010",313.00M
"Sept. 30, 2010",319.00M
"June 30, 2010",268.00M
"March 31, 2010",302.00M
"Dec. 31, 2009",466.00M
"Sept. 30, 2009",551.00M
"June 30, 2009",642.00M
"March 31, 2009",687.00M
"Dec. 31, 2008",703.00M
"Sept. 30, 2008",668.00M
"June 30, 2008",712.00M
"March 31, 2008",731.00M
"Dec. 31, 2007",745.00M
"Sept. 30, 2007",865.00M
"June 30, 2007",954.00M
"March 31, 2007",1.124B
"Dec. 31, 2006",1.208B
"Sept. 30, 2006",1.32B
"June 30, 2006",1.416B
"March 31, 2006",1.34B
"Dec. 31, 2005",1.283B
"Sept. 30, 2005",1.216B
"June 30, 2005",1.089B
"March 31, 2005",1.027B
"Dec. 31, 2004",977.00M
"Sept. 30, 2004",666.37M
"June 30, 2004",572.90M
"March 31, 2004",623.38M
"Dec. 31, 2003",573.00M
"Sept. 30, 2003",168.38M
"June 30, 2003",260.18M
"March 31, 2003",-57.99M
"Dec. 31, 2002",0.00
"Sept. 30, 2002",425.56M
"June 30, 2002",200.39M
"March 31, 2002",228.47M
