date,net_income_annual_cs_rev
"Dec. 31, 2019",7.03%
"Dec. 31, 2018",2.47%
"Dec. 31, 2017",16.26%
"Dec. 31, 2016",11.04%
"Dec. 31, 2015",10.55%
"Dec. 31, 2014",6.89%
"Dec. 31, 2013",3.09%
"Dec. 31, 2012",2.57%
"Dec. 31, 2011",1.91%
"Dec. 31, 2010",2.57%
"Dec. 31, 2009",1.77%
"Dec. 31, 2008",-2.51%
"Dec. 31, 2007",0.63%
"Dec. 31, 2006",-0.04%
"Dec. 31, 2005",-1.18%
"Dec. 31, 2004",3.64%
"Dec. 31, 2003",10.32%
"Dec. 31, 2002",8.66%
"Dec. 31, 2001",12.15%
"Dec. 31, 2000",-20.39%
