date,return_on_assets
"Dec. 31, 2019",5.03%
"Sept. 30, 2019",5.28%
"June 30, 2019",4.13%
"March 31, 2019",1.35%
"Dec. 31, 2018",1.86%
"Sept. 30, 2018",6.96%
"June 30, 2018",8.37%
"March 31, 2018",11.83%
"Dec. 31, 2017",11.92%
"Sept. 30, 2017",6.41%
"June 30, 2017",6.61%
"March 31, 2017",6.42%
"Dec. 31, 2016",7.89%
"Sept. 30, 2016",8.57%
"June 30, 2016",8.80%
"March 31, 2016",8.70%
"Dec. 31, 2015",8.12%
"Sept. 30, 2015",7.05%
"June 30, 2015",5.72%
"March 31, 2015",6.81%
"Dec. 31, 2014",5.24%
"Sept. 30, 2014",4.76%
"June 30, 2014",4.70%
"March 31, 2014",2.13%
"Dec. 31, 2013",2.30%
"Sept. 30, 2013",1.68%
"June 30, 2013",1.34%
"March 31, 2013",1.57%
"Dec. 31, 2012",1.80%
"Sept. 30, 2012",2.12%
"June 30, 2012",1.99%
"March 31, 2012",1.62%
"Dec. 31, 2011",1.25%
"Sept. 30, 2011",1.05%
"June 30, 2011",1.42%
"March 31, 2011",1.52%
"Dec. 31, 2010",1.48%
"Sept. 30, 2010",1.52%
"June 30, 2010",0.86%
"March 31, 2010",0.70%
"Dec. 31, 2009",0.91%
"Sept. 30, 2009",-0.18%
"June 30, 2009",-0.54%
"March 31, 2009",-1.02%
"Dec. 31, 2008",-1.41%
"Sept. 30, 2008",-0.52%
"June 30, 2008",0.00%
"March 31, 2008",0.54%
"Dec. 31, 2007",0.34%
"Sept. 30, 2007",0.77%
"June 30, 2007",0.33%
"March 31, 2007",0.20%
"Dec. 31, 2006",-0.02%
"Sept. 30, 2006",-1.48%
"June 30, 2006",-1.48%
"March 31, 2006",-1.60%
"Dec. 31, 2005",-0.59%
"Sept. 30, 2005",0.75%
"June 30, 2005",0.97%
"March 31, 2005",1.36%
"Dec. 31, 2004",1.84%
"Sept. 30, 2004",2.71%
"June 30, 2004",3.97%
"March 31, 2004",5.30%
"Dec. 31, 2003",6.03%
"Sept. 30, 2003",6.59%
"June 30, 2003",6.26%
"March 31, 2003",5.09%
"Dec. 31, 2002",4.97%
